SH, 23, 1979032806,   , XRQA,   0,  76S, 1770E,  15,    0, DB
SH, 23, 1979032812,   , XRQA,   0,  77S, 1758E,  15,    0, DB
SH, 23, 1979032818,   , XRQA,   0,  79S, 1748E,  15,    0, DB
SH, 23, 1979032900,   , XRQA,   0,  81S, 1740E,  20,    0, DB
SH, 23, 1979032906,   , XRQA,   0,  85S, 1735E,  20,    0, DB
SH, 23, 1979032912,   , XRQA,   0,  91S, 1729E,  20,    0, DB
SH, 23, 1979032918,   , XRQA,   0,  97S, 1722E,  25,    0, TD
SH, 23, 1979033000,   , XRQA,   0, 107S, 1710E,  25,    0, TD
SH, 23, 1979033006,   , XRQA,   0, 114S, 1695E,  30,    0, TD
SH, 23, 1979033012,   , XRQA,   0, 120S, 1682E,  35,    0, TS
SH, 23, 1979033018,   , XRQA,   0, 142S, 1669E,  40,    0, TS
SH, 23, 1979033100,   , XRQA,   0, 160S, 1660E,  35,    0, MD
SH, 23, 1979033106,   , XRQA,   0, 173S, 1665E,  30,    0, MD
SH, 23, 1979033112,   , XRQA,   0, 185S, 1671E,  35,    0, MD
SH, 23, 1979033118,   , XRQA,   0, 196S, 1679E,  40,    0, MD
SH, 23, 1979040100,   , XRQA,   0, 206S, 1690E,  35,    0, TS
SH, 23, 1979040106,   , XRQA,   0, 213S, 1702E,  35,    0, TS
SH, 23, 1979040112,   , XRQA,   0, 217S, 1715E,  30,    0, TD
SH, 23, 1979040118,   , XRQA,   0, 220S, 1729E,  30,    0, TD
SH, 23, 1979040200,   , XRQA,   0, 222S, 1743E,  35,    0, MD
SH, 23, 1979040206,   , XRQA,   0, 223S, 1756E,  35,    0, MD
SH, 23, 1979040212,   , XRQA,   0, 224S, 1768E,  30,    0, MD
SH, 23, 1979040218,   , XRQA,   0, 224S, 1782E,  30,    0, TD
SH, 23, 1979040300,   , XRQA,   0, 223S, 1798E,  25,    0, TD
SH, 23, 1979040306,   , XRQA,   0, 222S, 1781W,  25,    0, TD
SH, 23, 1979040312,   , XRQA,   0, 220S, 1765W,  25,    0, TD
SH, 23, 1979040318,   , XRQA,   0, 215S, 1745W,  20,    0, DB
SH, 23, 1979040400,   , XRQA,   0, 207S, 1729W,  20,    0, DB
SH, 23, 1979040406,   , XRQA,   0, 201S, 1720W,  20,    0, DB
SH, 23, 1979040412,   , XRQA,   0, 199S, 1715W,  20,    0, DB
SH, 23, 1979040418,   , XRQA,   0, 203S, 1711W,  20,    0, DB
SH, 23, 1979040500,   , XRQA,   0, 210S, 1706W,  25,    0, TD
SH, 23, 1979040506,   , XRQA,   0, 225S, 1695W,  25,    0, TD
SH, 23, 1979040512,   , XRQA,   0, 240S, 1673W,  25,    0, TD
SH, 23, 1979040518,   , XRQA,   0, 258S, 1649W,  25,    0, EX
SH, 23, 1979040600,   , XRQA,   0, 274S, 1615W,  30,    0, EX
SH, 23, 1979040606,   , XRQA,   0, 297S, 1581W,  35,    0, EX
SH, 23, 1979040612,   , XRQA,   0, 310S, 1555W,  35,    0, EX
