SH, 25, 1979040200,   , XRQA,   0, 105S,  658E,  15,    0, DB
SH, 25, 1979040206,   , XRQA,   0, 106S,  670E,  15,    0, DB
SH, 25, 1979040212,   , XRQA,   0, 106S,  682E,  20,    0, DB
SH, 25, 1979040218,   , XRQA,   0, 107S,  695E,  20,    0, DB
SH, 25, 1979040300,   , XRQA,   0, 109S,  705E,  25,    0, TD
SH, 25, 1979040306,   , XRQA,   0, 111S,  713E,  30,    0, TD
SH, 25, 1979040312,   , XRQA,   0, 110S,  720E,  30,    0, TD
SH, 25, 1979040318,   , XRQA,   0, 105S,  723E,  35,    0, TS
SH, 25, 1979040400,   , XRQA,   0, 102S,  725E,  40,    0, TS
SH, 25, 1979040406,   , XRQA,   0, 100S,  728E,  45,    0, TS
SH, 25, 1979040412,   , XRQA,   0,  99S,  731E,  50,    0, TS
SH, 25, 1979040418,   , XRQA,   0,  98S,  735E,  60,    0, TS
SH, 25, 1979040500,   , XRQA,   0,  99S,  738E,  65,    0, TY
SH, 25, 1979040506,   , XRQA,   0, 100S,  740E,  60,    0, TS
SH, 25, 1979040512,   , XRQA,   0, 103S,  743E,  70,    0, TY
SH, 25, 1979040518,   , XRQA,   0, 108S,  744E,  75,    0, TY
SH, 25, 1979040600,   , XRQA,   0, 117S,  744E,  80,    0, TY
SH, 25, 1979040606,   , XRQA,   0, 124S,  741E,  85,    0, TY
SH, 25, 1979040612,   , XRQA,   0, 130S,  733E,  90,    0, TY
SH, 25, 1979040618,   , XRQA,   0, 135S,  727E, 105,    0, TY
SH, 25, 1979040700,   , XRQA,   0, 137S,  719E, 120,    0, TY
SH, 25, 1979040706,   , XRQA,   0, 134S,  711E, 125,    0, TY
SH, 25, 1979040712,   , XRQA,   0, 131S,  704E, 130,    0, ST
SH, 25, 1979040718,   , XRQA,   0, 130S,  700E, 120,    0, TY
SH, 25, 1979040800,   , XRQA,   0, 133S,  695E, 110,    0, TY
SH, 25, 1979040806,   , XRQA,   0, 136S,  691E, 105,    0, TY
SH, 25, 1979040812,   , XRQA,   0, 138S,  688E,  95,    0, TY
SH, 25, 1979040818,   , XRQA,   0, 142S,  688E,  95,    0, TY
SH, 25, 1979040900,   , XRQA,   0, 143S,  688E,  90,    0, TY
SH, 25, 1979040906,   , XRQA,   0, 146S,  689E,  95,    0, TY
SH, 25, 1979040912,   , XRQA,   0, 149S,  690E, 105,    0, TY
SH, 25, 1979040918,   , XRQA,   0, 155S,  694E, 115,    0, TY
SH, 25, 1979041000,   , XRQA,   0, 160S,  701E, 105,    0, TY
SH, 25, 1979041006,   , XRQA,   0, 166S,  708E, 100,    0, TY
SH, 25, 1979041012,   , XRQA,   0, 169S,  715E,  95,    0, TY
SH, 25, 1979041018,   , XRQA,   0, 172S,  721E, 115,    0, TY
SH, 25, 1979041100,   , XRQA,   0, 174S,  729E, 105,    0, TY
SH, 25, 1979041106,   , XRQA,   0, 174S,  737E, 105,    0, TY
SH, 25, 1979041112,   , XRQA,   0, 177S,  748E, 110,    0, TY
SH, 25, 1979041118,   , XRQA,   0, 181S,  755E, 110,    0, TY
SH, 25, 1979041200,   , XRQA,   0, 184S,  763E, 100,    0, TY
SH, 25, 1979041206,   , XRQA,   0, 186S,  769E,  90,    0, TY
SH, 25, 1979041212,   , XRQA,   0, 188S,  777E,  85,    0, TY
SH, 25, 1979041218,   , XRQA,   0, 195S,  789E,  85,    0, TY
