WP, 26, 1979112700,   , XRQA,   0,  55N, 1630E,  15,    0, DB
WP, 26, 1979112706,   , XRQA,   0,  60N, 1617E,  15,    0, DB
WP, 26, 1979112712,   , XRQA,   0,  66N, 1605E,  15,    0, DB
WP, 26, 1979112718,   , XRQA,   0,  74N, 1590E,  15,    0, DB
WP, 26, 1979112800,   , XRQA,   0,  85N, 1573E,  15,    0, DB
WP, 26, 1979112806,   , XRQA,   0,  96N, 1556E,  15,    0, DB
WP, 26, 1979112812,   , XRQA,   0, 106N, 1542E,  20,    0, DB
WP, 26, 1979112818,   , XRQA,   0, 113N, 1530E,  20,    0, DB
WP, 26, 1979112900,   , XRQA,   0, 118N, 1524E,  25,    0, TD
WP, 26, 1979112906,   , XRQA,   0, 121N, 1526E,  25,    0, TD
WP, 26, 1979112912,   , XRQA,   0, 126N, 1531E,  20,    0, DB
WP, 26, 1979112918,   , XRQA,   0, 131N, 1538E,  20,    0, DB
WP, 26, 1979113000,   , XRQA,   0, 137N, 1543E,  25,    0, TD
WP, 26, 1979113006,   , XRQA,   0, 150N, 1545E,  30,    0, TD
WP, 26, 1979113012,   , XRQA,   0, 162N, 1541E,  35,    0, TS
WP, 26, 1979113018,   , XRQA,   0, 173N, 1534E,  35,    0, TS
WP, 26, 1979120100,   , XRQA,   0, 186N, 1524E,  40,    0, TS
WP, 26, 1979120106,   , XRQA,   0, 197N, 1515E,  45,    0, TS
WP, 26, 1979120112,   , XRQA,   0, 210N, 1509E,  40,    0, TS
WP, 26, 1979120118,   , XRQA,   0, 225N, 1501E,  35,    0, TS
WP, 26, 1979120200,   , XRQA,   0, 243N, 1498E,  30,    0, TD
WP, 26, 1979120206,   , XRQA,   0, 264N, 1505E,  30,    0, TD
WP, 26, 1979120212,   , XRQA,   0, 278N, 1521E,  25,    0, TD
WP, 26, 1979120218,   , XRQA,   0, 295N, 1545E,  25,    0, EX
WP, 26, 1979120300,   , XRQA,   0, 317N, 1577E,  25,    0, EX
WP, 26, 1979120306,   , XRQA,   0, 342N, 1631E,  30,    0, EX
WP, 26, 1979120312,   , XRQA,   0, 363N, 1687E,  35,    0, EX
WP, 26, 1979120318,   , XRQA,   0, 391N, 1742E,  35,    0, EX
