SH, 01, 1978111712,   , XRQA,   0,  98S, 1027E,  15,    0, DB
SH, 01, 1978111718,   , XRQA,   0,  97S, 1023E,  15,    0, DB
SH, 01, 1978111800,   , XRQA,   0,  95S, 1016E,  20,    0, DB
SH, 01, 1978111806,   , XRQA,   0,  94S, 1010E,  20,    0, DB
SH, 01, 1978111812,   , XRQA,   0,  94S, 1000E,  20,    0, DB
SH, 01, 1978111818,   , XRQA,   0,  95S,  988E,  25,    0, TD
SH, 01, 1978111900,   , XRQA,   0,  98S,  980E,  25,    0, TD
SH, 01, 1978111906,   , XRQA,   0, 100S,  974E,  30,    0, TD
SH, 01, 1978111912,   , XRQA,   0, 103S,  970E,  35,    0, TS
SH, 01, 1978111918,   , XRQA,   0, 107S,  965E,  35,    0, TS
SH, 01, 1978112000,   , XRQA,   0, 112S,  959E,  40,    0, TS
SH, 01, 1978112006,   , XRQA,   0, 119S,  952E,  40,    0, TS
SH, 01, 1978112012,   , XRQA,   0, 125S,  945E,  40,    0, TS
SH, 01, 1978112018,   , XRQA,   0, 130S,  939E,  35,    0, TS
SH, 01, 1978112100,   , XRQA,   0, 133S,  931E,  40,    0, TS
SH, 01, 1978112106,   , XRQA,   0, 136S,  921E,  45,    0, TS
SH, 01, 1978112112,   , XRQA,   0, 140S,  911E,  45,    0, TS
SH, 01, 1978112118,   , XRQA,   0, 143S,  898E,  40,    0, TS
SH, 01, 1978112200,   , XRQA,   0, 150S,  887E,  35,    0, TS
SH, 01, 1978112206,   , XRQA,   0, 161S,  883E,  40,    0, TS
SH, 01, 1978112212,   , XRQA,   0, 174S,  885E,  35,    0, TS
SH, 01, 1978112218,   , XRQA,   0, 185S,  889E,  30,    0, TD
SH, 01, 1978112300,   , XRQA,   0, 197S,  891E,  25,    0, TD
SH, 01, 1978112306,   , XRQA,   0, 211S,  897E,  25,    0, TD
SH, 01, 1978112312,   , XRQA,   0, 226S,  903E,  20,    0, DB
SH, 01, 1978112318,   , XRQA,   0, 242S,  907E,  20,    0, DB
