SH, 11, 1979013106,   , XRQA,   0, 227S, 1517E,  15,    0, DB
SH, 11, 1979013112,   , XRQA,   0, 220S, 1507E,  15,    0, DB
SH, 11, 1979013118,   , XRQA,   0, 212S, 1500E,  15,    0, DB
SH, 11, 1979020100,   , XRQA,   0, 201S, 1496E,  20,    0, DB
SH, 11, 1979020106,   , XRQA,   0, 190S, 1499E,  20,    0, DB
SH, 11, 1979020112,   , XRQA,   0, 177S, 1505E,  20,    0, DB
SH, 11, 1979020118,   , XRQA,   0, 166S, 1514E,  25,    0, TD
SH, 11, 1979020200,   , XRQA,   0, 153S, 1525E,  25,    0, TD
SH, 11, 1979020206,   , XRQA,   0, 142S, 1537E,  30,    0, TD
SH, 11, 1979020212,   , XRQA,   0, 132S, 1550E,  35,    0, TS
SH, 11, 1979020218,   , XRQA,   0, 125S, 1563E,  45,    0, TS
SH, 11, 1979020300,   , XRQA,   0, 122S, 1578E,  55,    0, TS
SH, 11, 1979020306,   , XRQA,   0, 123S, 1601E,  45,    0, TS
SH, 11, 1979020312,   , XRQA,   0, 131S, 1627E,  45,    0, TS
SH, 11, 1979020318,   , XRQA,   0, 145S, 1647E,  55,    0, TS
SH, 11, 1979020400,   , XRQA,   0, 160S, 1662E,  60,    0, TS
SH, 11, 1979020406,   , XRQA,   0, 177S, 1670E,  45,    0, TS
SH, 11, 1979020412,   , XRQA,   0, 193S, 1673E,  45,    0, TS
SH, 11, 1979020418,   , XRQA,   0, 207S, 1675E,  50,    0, TS
SH, 11, 1979020500,   , XRQA,   0, 218S, 1672E,  45,    0, TS
SH, 11, 1979020506,   , XRQA,   0, 226S, 1662E,  35,    0, TS
SH, 11, 1979020512,   , XRQA,   0, 232S, 1650E,  30,    0, TD
SH, 11, 1979020518,   , XRQA,   0, 236S, 1638E,  25,    0, TD
SH, 11, 1979020600,   , XRQA,   0, 239S, 1625E,  25,    0, TD
SH, 11, 1979020606,   , XRQA,   0, 241S, 1613E,  25,    0, SD
SH, 11, 1979020612,   , XRQA,   0, 243S, 1600E,  25,    0, SD
SH, 11, 1979020618,   , XRQA,   0, 246S, 1586E,  25,    0, SD
SH, 11, 1979020700,   , XRQA,   0, 251S, 1570E,  25,    0, SD
SH, 11, 1979020706,   , XRQA,   0, 257S, 1558E,  20,    0, DB
SH, 11, 1979020712,   , XRQA,   0, 265S, 1550E,  20,    0, DB
SH, 11, 1979020718,   , XRQA,   0, 275S, 1545E,  15,    0, DB
