SH, 16, 1979021100,   , XRQA,   0,  90S, 1662E,  15,    0, DB
SH, 16, 1979021106,   , XRQA,   0,  95S, 1648E,  15,    0, DB
SH, 16, 1979021112,   , XRQA,   0, 103S, 1632E,  15,    0, DB
SH, 16, 1979021118,   , XRQA,   0, 109S, 1619E,  15,    0, DB
SH, 16, 1979021200,   , XRQA,   0, 113S, 1607E,  15,    0, DB
SH, 16, 1979021206,   , XRQA,   0, 124S, 1592E,  15,    0, DB
SH, 16, 1979021212,   , XRQA,   0, 130S, 1578E,  20,    0, DB
SH, 16, 1979021218,   , XRQA,   0, 125S, 1568E,  20,    0, DB
SH, 16, 1979021300,   , XRQA,   0, 118S, 1558E,  20,    0, DB
SH, 16, 1979021306,   , XRQA,   0, 113S, 1545E,  20,    0, DB
SH, 16, 1979021312,   , XRQA,   0, 108S, 1533E,  20,    0, DB
SH, 16, 1979021318,   , XRQA,   0, 105S, 1527E,  25,    0, TD
SH, 16, 1979021400,   , XRQA,   0, 103S, 1520E,  25,    0, TD
SH, 16, 1979021406,   , XRQA,   0, 106S, 1508E,  25,    0, MD
SH, 16, 1979021412,   , XRQA,   0, 110S, 1496E,  30,    0, MD
SH, 16, 1979021418,   , XRQA,   0, 112S, 1488E,  35,    0, MD
SH, 16, 1979021500,   , XRQA,   0, 114S, 1480E,  35,    0, MD
SH, 16, 1979021506,   , XRQA,   0, 119S, 1472E,  30,    0, TD
SH, 16, 1979021512,   , XRQA,   0, 124S, 1464E,  25,    0, TD
SH, 16, 1979021518,   , XRQA,   0, 126S, 1458E,  25,    0, TD
SH, 16, 1979021600,   , XRQA,   0, 128S, 1451E,  25,    0, TD
SH, 16, 1979021606,   , XRQA,   0, 130S, 1441E,  30,    0, TD
SH, 16, 1979021612,   , XRQA,   0, 133S, 1428E,  25,    0, TD
SH, 16, 1979021618,   , XRQA,   0, 137S, 1418E,  25,    0, TD
SH, 16, 1979021700,   , XRQA,   0, 143S, 1403E,  30,    0, TD
SH, 16, 1979021706,   , XRQA,   0, 147S, 1392E,  30,    0, TD
SH, 16, 1979021712,   , XRQA,   0, 150S, 1384E,  30,    0, TD
SH, 16, 1979021718,   , XRQA,   0, 151S, 1378E,  40,    0, TS
SH, 16, 1979021800,   , XRQA,   0, 153S, 1375E,  35,    0, TS
SH, 16, 1979021806,   , XRQA,   0, 155S, 1373E,  45,    0, TS
SH, 16, 1979021812,   , XRQA,   0, 158S, 1372E,  40,    0, TS
SH, 16, 1979021818,   , XRQA,   0, 160S, 1373E,  50,    0, TS
SH, 16, 1979021900,   , XRQA,   0, 161S, 1376E,  65,    0, TY
SH, 16, 1979021906,   , XRQA,   0, 161S, 1382E,  45,    0, TS
SH, 16, 1979021912,   , XRQA,   0, 160S, 1388E,  40,    0, TS
SH, 16, 1979021918,   , XRQA,   0, 158S, 1392E,  35,    0, TS
SH, 16, 1979022000,   , XRQA,   0, 157S, 1397E,  35,    0, TS
SH, 16, 1979022006,   , XRQA,   0, 158S, 1400E,  35,    0, TS
SH, 16, 1979022012,   , XRQA,   0, 160S, 1401E,  40,    0, TS
SH, 16, 1979022018,   , XRQA,   0, 161S, 1400E,  40,    0, TS
SH, 16, 1979022100,   , XRQA,   0, 163S, 1398E,  35,    0, TS
SH, 16, 1979022106,   , XRQA,   0, 162S, 1395E,  35,    0, TS
SH, 16, 1979022112,   , XRQA,   0, 160S, 1391E,  30,    0, TD
SH, 16, 1979022118,   , XRQA,   0, 157S, 1389E,  35,    0, TS
SH, 16, 1979022200,   , XRQA,   0, 155S, 1386E,  30,    0, TD
