SH, 05, 1978122800,   , XRQA,   0,  80S, 1355E,  15,    0, DB
SH, 05, 1978122806,   , XRQA,   0,  83S, 1350E,  15,    0, DB
SH, 05, 1978122812,   , XRQA,   0,  85S, 1348E,  20,    0, DB
SH, 05, 1978122818,   , XRQA,   0,  91S, 1350E,  25,    0, TD
SH, 05, 1978122900,   , XRQA,   0, 100S, 1356E,  25,    0, TD
SH, 05, 1978122906,   , XRQA,   0, 112S, 1365E,  30,    0, TD
SH, 05, 1978122912,   , XRQA,   0, 121S, 1372E,  40,    0, TS
SH, 05, 1978122918,   , XRQA,   0, 126S, 1378E,  45,    0, TS
SH, 05, 1978123000,   , XRQA,   0, 129S, 1385E,  50,    0, TS
SH, 05, 1978123006,   , XRQA,   0, 131S, 1389E,  55,    0, TS
SH, 05, 1978123012,   , XRQA,   0, 134S, 1393E,  65,    0, TY
SH, 05, 1978123018,   , XRQA,   0, 137S, 1398E,  70,    0, TY
SH, 05, 1978123100,   , XRQA,   0, 141S, 1404E,  85,    0, TY
SH, 05, 1978123106,   , XRQA,   0, 144S, 1411E,  90,    0, TY
SH, 05, 1978123112,   , XRQA,   0, 147S, 1417E, 100,    0, TY
SH, 05, 1978123118,   , XRQA,   0, 150S, 1427E,  70,    0, TY
SH, 05, 1979010100,   , XRQA,   0, 152S, 1437E,  45,    0, TS
SH, 05, 1979010106,   , XRQA,   0, 154S, 1444E,  40,    0, TS
SH, 05, 1979010112,   , XRQA,   0, 155S, 1451E,  35,    0, TS
SH, 05, 1979010118,   , XRQA,   0, 157S, 1456E,  35,    0, TS
SH, 05, 1979010200,   , XRQA,   0, 158S, 1459E,  35,    0, TS
SH, 05, 1979010206,   , XRQA,   0, 156S, 1457E,  30,    0, TD
SH, 05, 1979010212,   , XRQA,   0, 155S, 1455E,  25,    0, TD
SH, 05, 1979010218,   , XRQA,   0, 153S, 1454E,  25,    0, TD
SH, 05, 1979010300,   , XRQA,   0, 151S, 1456E,  25,    0, TD
SH, 05, 1979010306,   , XRQA,   0, 152S, 1454E,  25,    0, TD
SH, 05, 1979010312,   , XRQA,   0, 153S, 1455E,  20,    0, DB
SH, 05, 1979010318,   , XRQA,   0, 147S, 1463E,  20,    0, DB
SH, 05, 1979010400,   , XRQA,   0, 144S, 1455E,  20,    0, DB
SH, 05, 1979010406,   , XRQA,   0, 139S, 1450E,  15,    0, DB
SH, 05, 1979010412,   , XRQA,   0, 132S, 1446E,  15,    0, DB
SH, 05, 1979010418,   , XRQA,   0, 127S, 1438E,  15,    0, DB
