WP, 11, 1969091506,   , XRQA,   0, 105N, 1734E,  15,    0, DB
WP, 11, 1969091512,   , XRQA,   0, 111N, 1729E,  15,    0, DB
WP, 11, 1969091518,   , XRQA,   0, 115N, 1722E,  15,    0, DB
WP, 11, 1969091600,   , XRQA,   0, 115N, 1712E,  20,    0, DB
WP, 11, 1969091606,   , XRQA,   0, 117N, 1702E,  20,    0, DB
WP, 11, 1969091612,   , XRQA,   0, 121N, 1692E,  20,    0, DB
WP, 11, 1969091618,   , XRQA,   0, 124N, 1684E,  25,    0, TD
WP, 11, 1969091700,   , XRQA,   0, 127N, 1676E,  25,    0, TD
WP, 11, 1969091706,   , XRQA,   0, 133N, 1671E,  30,    0, TD
WP, 11, 1969091712,   , XRQA,   0, 141N, 1667E,  30,    0, TD
WP, 11, 1969091718,   , XRQA,   0, 150N, 1665E,  30,    0, TD
WP, 11, 1969091800,   , XRQA,   0, 158N, 1662E,  35,    0, TS
WP, 11, 1969091806,   , XRQA,   0, 165N, 1659E,  40,    0, TS
WP, 11, 1969091812,   , XRQA,   0, 170N, 1654E,  35,    0, TS
WP, 11, 1969091818,   , XRQA,   0, 174N, 1650E,  40,    0, TS
WP, 11, 1969091900,   , XRQA,   0, 177N, 1646E,  45,    0, TS
WP, 11, 1969091906,   , XRQA,   0, 179N, 1642E,  45,    0, TS
WP, 11, 1969091912,   , XRQA,   0, 178N, 1639E,  50,    0, TS
WP, 11, 1969091918,   , XRQA,   0, 177N, 1634E,  50,    0, TS
WP, 11, 1969092000,   , XRQA,   0, 174N, 1626E,  55,    0, TS
WP, 11, 1969092006,   , XRQA,   0, 172N, 1615E,  65,    0, TY
WP, 11, 1969092012,   , XRQA,   0, 168N, 1604E,  70,    0, TY
WP, 11, 1969092018,   , XRQA,   0, 167N, 1589E,  70,    0, TY
WP, 11, 1969092100,   , XRQA,   0, 166N, 1575E,  75,    0, TY
WP, 11, 1969092106,   , XRQA,   0, 164N, 1561E,  85,    0, TY
WP, 11, 1969092112,   , XRQA,   0, 163N, 1547E,  90,    0, TY
WP, 11, 1969092118,   , XRQA,   0, 164N, 1532E, 105,    0, TY
WP, 11, 1969092200,   , XRQA,   0, 165N, 1516E, 115,    0, TY
WP, 11, 1969092206,   , XRQA,   0, 167N, 1499E, 105,    0, TY
WP, 11, 1969092212,   , XRQA,   0, 169N, 1482E, 120,    0, TY
WP, 11, 1969092218,   , XRQA,   0, 173N, 1466E, 145,    0, ST
WP, 11, 1969092300,   , XRQA,   0, 178N, 1450E, 155,    0, ST
WP, 11, 1969092306,   , XRQA,   0, 182N, 1431E, 145,    0, ST
WP, 11, 1969092312,   , XRQA,   0, 187N, 1414E, 135,    0, ST
WP, 11, 1969092318,   , XRQA,   0, 193N, 1398E, 145,    0, ST
WP, 11, 1969092400,   , XRQA,   0, 199N, 1381E, 160,    0, ST
WP, 11, 1969092406,   , XRQA,   0, 205N, 1365E, 150,    0, ST
WP, 11, 1969092412,   , XRQA,   0, 211N, 1350E, 140,    0, ST
WP, 11, 1969092418,   , XRQA,   0, 217N, 1335E, 130,    0, ST
WP, 11, 1969092500,   , XRQA,   0, 221N, 1321E, 125,    0, TY
WP, 11, 1969092506,   , XRQA,   0, 226N, 1306E, 115,    0, TY
WP, 11, 1969092512,   , XRQA,   0, 229N, 1290E, 110,    0, TY
WP, 11, 1969092518,   , XRQA,   0, 232N, 1276E, 130,    0, ST
WP, 11, 1969092600,   , XRQA,   0, 235N, 1261E, 125,    0, TY
