WP, 02, 1980040300,   , XRQA,   0,  23N, 1785E,  25,    0, TD
WP, 02, 1980040306,   , XRQA,   0,  28N, 1792E,  25,    0, TD
WP, 02, 1980040312,   , XRQA,   0,  33N, 1800E,  25,    0, TD
WP, 02, 1980040318,   , XRQA,   0,  39N, 1792W,  25,    0, TD
WP, 02, 1980040400,   , XRQA,   0,  47N, 1786W,  30,    0, TD
WP, 02, 1980040406,   , XRQA,   0,  60N, 1788W,  35,    0, TS
WP, 02, 1980040412,   , XRQA,   0,  72N, 1790W,  35,    0, TS
WP, 02, 1980040418,   , XRQA,   0,  83N, 1796W,  40,    0, TS
WP, 02, 1980040500,   , XRQA,   0,  93N, 1796E,  50,    0, TS
WP, 02, 1980040506,   , XRQA,   0, 103N, 1786E,  50,    0, TS
WP, 02, 1980040512,   , XRQA,   0, 116N, 1779E,  55,    0, TS
WP, 02, 1980040518,   , XRQA,   0, 132N, 1773E,  60,    0, TS
WP, 02, 1980040600,   , XRQA,   0, 146N, 1771E,  65,    0, TS
WP, 02, 1980040606,   , XRQA,   0, 160N, 1772E,  65,    0, TS
WP, 02, 1980040612,   , XRQA,   0, 170N, 1777E,  75,    0, TS
WP, 02, 1980040618,   , XRQA,   0, 179N, 1783E,  60,    0, TS
WP, 02, 1980040700,   , XRQA,   0, 187N, 1790E,  50,    0, TS
WP, 02, 1980040706,   , XRQA,   0, 194N, 1797E,  40,    0, TS
WP, 02, 1980040712,   , XRQA,   0, 197N, 1800E,  35,    0, TS
WP, 02, 1980040718,   , XRQA,   0, 200N, 1797W,  30,    0, SD
WP, 02, 1980040800,   , XRQA,   0, 203N, 1795W,  30,    0, SD
WP, 02, 1980040806,   , XRQA,   0, 206N, 1792W,  30,    0, SD
WP, 02, 1980040812,   , XRQA,   0, 209N, 1787W,  30,    0, SD
WP, 02, 1980040818,   , XRQA,   0, 213N, 1782W,  30,    0, SD
WP, 02, 1980040900,   , XRQA,   0, 215N, 1779W,  30,    0, SD
WP, 02, 1980040906,   , XRQA,   0, 217N, 1769W,  30,    0, SD
WP, 02, 1980040912,   , XRQA,   0, 220N, 1759W,  30,    0, EX
WP, 02, 1980040918,   , XRQA,   0, 225N, 1752W,  30,    0, EX
WP, 02, 1980041000,   , XRQA,   0, 229N, 1752W,  30,    0, EX
WP, 02, 1980041006,   , XRQA,   0, 229N, 1765W,  30,    0, EX
WP, 02, 1980041012,   , XRQA,   0, 225N, 1783W,  30,    0, EX
WP, 02, 1980041018,   , XRQA,   0, 218N, 1796W,  30,    0, EX
WP, 02, 1980041100,   , XRQA,   0, 210N, 1790E,  30,    0, EX
WP, 02, 1980041106,   , XRQA,   0, 202N, 1774E,  30,    0, SD
WP, 02, 1980041112,   , XRQA,   0, 195N, 1753E,  30,    0, SD
WP, 02, 1980041118,   , XRQA,   0, 188N, 1725E,  30,    0, SD
WP, 02, 1980041200,   , XRQA,   0, 182N, 1695E,  30,    0, SD
