WP, 08, 1980070500,   , XRQA,   0,  87N, 1455E,  25,    0, TD
WP, 08, 1980070506,   , XRQA,   0,  92N, 1447E,  30,    0, TD
WP, 08, 1980070512,   , XRQA,   0, 102N, 1432E,  30,    0, TD
WP, 08, 1980070518,   , XRQA,   0, 110N, 1418E,  30,    0, TD
WP, 08, 1980070600,   , XRQA,   0, 116N, 1408E,  30,    0, TD
WP, 08, 1980070606,   , XRQA,   0, 123N, 1398E,  35,    0, TS
WP, 08, 1980070612,   , XRQA,   0, 131N, 1387E,  40,    0, TS
WP, 08, 1980070618,   , XRQA,   0, 138N, 1375E,  45,    0, TS
WP, 08, 1980070700,   , XRQA,   0, 146N, 1364E,  45,    0, TS
WP, 08, 1980070706,   , XRQA,   0, 156N, 1352E,  50,    0, TS
WP, 08, 1980070712,   , XRQA,   0, 165N, 1336E,  50,    0, TS
WP, 08, 1980070718,   , XRQA,   0, 171N, 1318E,  50,    0, TS
WP, 08, 1980070800,   , XRQA,   0, 177N, 1301E,  55,    0, TS
WP, 08, 1980070806,   , XRQA,   0, 182N, 1286E,  60,    0, TS
WP, 08, 1980070812,   , XRQA,   0, 185N, 1271E,  60,    0, TS
WP, 08, 1980070818,   , XRQA,   0, 189N, 1258E,  65,    0, TY
WP, 08, 1980070900,   , XRQA,   0, 192N, 1244E,  65,    0, TY
WP, 08, 1980070906,   , XRQA,   0, 197N, 1232E,  65,    0, TY
WP, 08, 1980070912,   , XRQA,   0, 202N, 1222E,  60,    0, TS
WP, 08, 1980070918,   , XRQA,   0, 206N, 1214E,  60,    0, TS
WP, 08, 1980071000,   , XRQA,   0, 209N, 1206E,  55,    0, TS
WP, 08, 1980071006,   , XRQA,   0, 213N, 1197E,  60,    0, TS
WP, 08, 1980071012,   , XRQA,   0, 217N, 1189E,  65,    0, TY
WP, 08, 1980071018,   , XRQA,   0, 220N, 1182E,  60,    0, TS
WP, 08, 1980071100,   , XRQA,   0, 223N, 1177E,  60,    0, TS
WP, 08, 1980071106,   , XRQA,   0, 226N, 1171E,  55,    0, TS
WP, 08, 1980071112,   , XRQA,   0, 238N, 1161E,  55,    0, TS
WP, 08, 1980071118,   , XRQA,   0, 246N, 1154E,  45,    0, TS
WP, 08, 1980071200,   , XRQA,   0, 257N, 1155E,  40,    0, TS
WP, 08, 1980071206,   , XRQA,   0, 271N, 1160E,  35,    0, TS
WP, 08, 1980071212,   , XRQA,   0, 283N, 1173E,  30,    0, TD
WP, 08, 1980071218,   , XRQA,   0, 292N, 1189E,  30,    0, TD
WP, 08, 1980071300,   , XRQA,   0, 307N, 1205E,  30,    0, TD
WP, 08, 1980071306,   , XRQA,   0, 329N, 1222E,  30,    0, TD
WP, 08, 1980071312,   , XRQA,   0, 349N, 1245E,  25,    0, TD
WP, 08, 1980071318,   , XRQA,   0, 359N, 1274E,  25,    0, TD
WP, 08, 1980071400,   , XRQA,   0, 367N, 1299E,  25,    0, TD
WP, 08, 1980071406,   , XRQA,   0, 375N, 1332E,  25,    0, TD
WP, 08, 1980071412,   , XRQA,   0, 382N, 1349E,  25,    0, TD
WP, 08, 1980071418,   , XRQA,   0, 385N, 1365E,  25,    0, TD
