WP, 09, 2003071300,   , XRQA,   0,  35N, 1570E,  15,    0, DB
WP, 09, 2003071306,   , XRQA,   0,  36N, 1562E,  15,    0, DB
WP, 09, 2003071312,   , XRQA,   0,  37N, 1552E,  15,    0, DB
WP, 09, 2003071318,   , XRQA,   0,  37N, 1542E,  15,    0, DB
WP, 09, 2003071400,   , XRQA,   0,  37N, 1532E,  15,    0, DB
WP, 09, 2003071406,   , XRQA,   0,  38N, 1525E,  20,    0, DB
WP, 09, 2003071412,   , XRQA,   0,  38N, 1518E,  20,    0, DB
WP, 09, 2003071418,   , XRQA,   0,  41N, 1511E,  20,    0, DB
WP, 09, 2003071500,   , XRQA,   0,  48N, 1504E,  25,    0, TD
WP, 09, 2003071506,   , XRQA,   0,  59N, 1498E,  25,    0, TD
WP, 09, 2003071512,   , XRQA,   0,  62N, 1483E,  25,    0, TD
WP, 09, 2003071518,   , XRQA,   0,  61N, 1468E,  30,    0, TD
WP, 09, 2003071600,   , XRQA,   0,  59N, 1456E,  30,    0, TD
WP, 09, 2003071606,   , XRQA,   0,  56N, 1439E,  35,    0, MD
WP, 09, 2003071612,   , XRQA,   0,  60N, 1432E,  35,    0, MD
WP, 09, 2003071618,   , XRQA,   0,  69N, 1425E,  35,    0, MD
WP, 09, 2003071700,   , XRQA,   0,  73N, 1419E,  35,    0, MD
WP, 09, 2003071706,   , XRQA,   0,  83N, 1410E,  35,    0, TS
WP, 09, 2003071712,   , XRQA,   0,  88N, 1401E,  45,    0, TS
WP, 09, 2003071718,   , XRQA,   0,  93N, 1394E,  50,    0, TS
WP, 09, 2003071800,   , XRQA,   0,  98N, 1383E,  55,    0, TS
WP, 09, 2003071806,   , XRQA,   0, 100N, 1375E,  55,    0, TS
WP, 09, 2003071812,   , XRQA,   0, 102N, 1371E,  60,    0, TS
WP, 09, 2003071818,   , XRQA,   0, 105N, 1363E,  65,    0, TY
WP, 09, 2003071900,   , XRQA,   0, 105N, 1355E,  80,    0, TY
WP, 09, 2003071906,   , XRQA,   0, 105N, 1347E,  85,    0, TY
WP, 09, 2003071912,   , XRQA,   0, 106N, 1341E,  90,    0, TY
WP, 09, 2003071918,   , XRQA,   0, 110N, 1333E,  95,    0, TY
WP, 09, 2003072000,   , XRQA,   0, 116N, 1326E, 100,    0, TY
WP, 09, 2003072006,   , XRQA,   0, 121N, 1316E, 115,    0, TY
WP, 09, 2003072012,   , XRQA,   0, 126N, 1307E, 130,    0, ST
WP, 09, 2003072018,   , XRQA,   0, 132N, 1296E, 135,    0, ST
WP, 09, 2003072100,   , XRQA,   0, 136N, 1282E, 125,    0, TY
WP, 09, 2003072106,   , XRQA,   0, 142N, 1271E, 115,    0, TY
WP, 09, 2003072112,   , XRQA,   0, 150N, 1259E, 105,    0, TY
WP, 09, 2003072118,   , XRQA,   0, 157N, 1245E,  95,    0, TY
WP, 09, 2003072200,   , XRQA,   0, 164N, 1230E,  90,    0, TY
WP, 09, 2003072206,   , XRQA,   0, 170N, 1214E,  75,    0, TY
WP, 09, 2003072212,   , XRQA,   0, 177N, 1197E,  65,    0, TY
WP, 09, 2003072218,   , XRQA,   0, 180N, 1184E,  70,    0, TY
WP, 09, 2003072300,   , XRQA,   0, 184N, 1169E,  70,    0, TY
WP, 09, 2003072306,   , XRQA,   0, 188N, 1154E,  75,    0, TY
WP, 09, 2003072312,   , XRQA,   0, 194N, 1142E,  75,    0, TY
WP, 09, 2003072318,   , XRQA,   0, 199N, 1130E,  70,    0, TY
WP, 09, 2003072400,   , XRQA,   0, 211N, 1119E,  75,    0, TY
WP, 09, 2003072406,   , XRQA,   0, 221N, 1102E,  55,    0, TS
WP, 09, 2003072412,   , XRQA,   0, 228N, 1088E,  40,    0, TS
WP, 09, 2003072418,   , XRQA,   0, 234N, 1074E,  35,    0, TS
WP, 09, 2003072500,   , XRQA,   0, 237N, 1061E,  30,    0, TD
WP, 09, 2003072506,   , XRQA,   0, 240N, 1049E,  25,    0, TD
WP, 09, 2003072512,   , XRQA,   0, 242N, 1041E,  20,    0, DB
WP, 09, 2003072518,   , XRQA,   0, 245N, 1031E,  15,    0, DB
