CP, 01, 2015072218,   , XRQA,   0, 241N, 1368E,  95,    0, TY
CP, 01, 2015072300,   , XRQA,   0, 244N, 1359E,  95,    0, TY
CP, 01, 2015072306,   , XRQA,   0, 246N, 1351E,  85,    0, TY
CP, 01, 2015072312,   , XRQA,   0, 246N, 1343E,  85,    0, TY
CP, 01, 2015072318,   , XRQA,   0, 247N, 1334E,  85,    0, TY
CP, 01, 2015072400,   , XRQA,   0, 248N, 1327E,  85,    0, TY
CP, 01, 2015072406,   , XRQA,   0, 249N, 1318E,  85,    0, TY
CP, 01, 2015072412,   , XRQA,   0, 250N, 1311E,  75,    0, TY
CP, 01, 2015072418,   , XRQA,   0, 255N, 1306E,  70,    0, TY
CP, 01, 2015072500,   , XRQA,   0, 262N, 1300E,  75,    0, TY
CP, 01, 2015072506,   , XRQA,   0, 273N, 1295E,  65,    0, TY
CP, 01, 2015072512,   , XRQA,   0, 284N, 1292E,  55,    0, TS
CP, 01, 2015072518,   , XRQA,   0, 297N, 1291E,  45,    0, TS
CP, 01, 2015072600,   , XRQA,   0, 310N, 1292E,  50,    0, TS
CP, 01, 2015072606,   , XRQA,   0, 322N, 1294E,  45,    0, TS
CP, 01, 2015072612,   , XRQA,   0, 335N, 1300E,  30,    0, TD
CP, 01, 2015072618,   , XRQA,   0, 348N, 1308E,  25,    0, TD
CP, 01, 2015072700,   , XRQA,   0, 358N, 1317E,  20,    0, EX
CP, 01, 2015072706,   , XRQA,   0, 365N, 1327E,  20,    0, EX
CP, 01, 2015072712,   , XRQA,   0, 372N, 1341E,  25,    0, EX
CP, 01, 2015072718,   , XRQA,   0, 380N, 1358E,  25,    0, EX
