WP, 04, 2005052700,   , XRQA,   0,  54N, 1574E,  25,    0, TD
WP, 04, 2005052706,   , XRQA,   0,  54N, 1569E,  25,    0, TD
WP, 04, 2005052712,   , XRQA,   0,  55N, 1563E,  25,    0, TD
WP, 04, 2005052718,   , XRQA,   0,  56N, 1557E,  25,    0, TD
WP, 04, 2005052800,   , XRQA,   0,  56N, 1550E,  25,    0, TD
WP, 04, 2005052806,   , XRQA,   0,  58N, 1540E,  25,    0, TD
WP, 04, 2005052812,   , XRQA,   0,  63N, 1530E,  30,    0, TD
WP, 04, 2005052818,   , XRQA,   0,  70N, 1521E,  30,    0, TD
WP, 04, 2005052900,   , XRQA,   0,  75N, 1512E,  30,    0, TD
WP, 04, 2005052906,   , XRQA,   0,  80N, 1504E,  30,    0, TD
WP, 04, 2005052912,   , XRQA,   0,  85N, 1496E,  30,    0, TD
WP, 04, 2005052918,   , XRQA,   0,  88N, 1488E,  35,    0, TS
WP, 04, 2005053000,   , XRQA,   0,  89N, 1482E,  40,    0, TS
WP, 04, 2005053006,   , XRQA,   0,  91N, 1474E,  40,    0, TS
WP, 04, 2005053012,   , XRQA,   0,  93N, 1467E,  45,    0, TS
WP, 04, 2005053018,   , XRQA,   0,  95N, 1462E,  50,    0, TS
WP, 04, 2005053100,   , XRQA,   0,  97N, 1457E,  45,    0, TS
WP, 04, 2005053106,   , XRQA,   0, 100N, 1452E,  45,    0, TS
WP, 04, 2005053112,   , XRQA,   0, 103N, 1446E,  50,    0, TS
WP, 04, 2005053118,   , XRQA,   0, 105N, 1439E,  55,    0, TS
WP, 04, 2005060100,   , XRQA,   0, 106N, 1429E,  65,    0, TY
WP, 04, 2005060106,   , XRQA,   0, 107N, 1416E,  65,    0, TY
WP, 04, 2005060112,   , XRQA,   0, 107N, 1404E,  80,    0, TY
WP, 04, 2005060118,   , XRQA,   0, 108N, 1395E, 100,    0, TY
WP, 04, 2005060200,   , XRQA,   0, 111N, 1384E, 140,    0, ST
WP, 04, 2005060206,   , XRQA,   0, 114N, 1374E, 130,    0, ST
WP, 04, 2005060212,   , XRQA,   0, 117N, 1363E,  95,    0, TY
WP, 04, 2005060218,   , XRQA,   0, 120N, 1353E,  80,    0, TY
WP, 04, 2005060300,   , XRQA,   0, 123N, 1344E,  90,    0, TY
WP, 04, 2005060306,   , XRQA,   0, 129N, 1336E, 115,    0, TY
WP, 04, 2005060312,   , XRQA,   0, 137N, 1326E, 105,    0, TY
WP, 04, 2005060318,   , XRQA,   0, 141N, 1318E, 125,    0, TY
WP, 04, 2005060400,   , XRQA,   0, 145N, 1313E, 130,    0, ST
WP, 04, 2005060406,   , XRQA,   0, 151N, 1309E, 125,    0, TY
WP, 04, 2005060412,   , XRQA,   0, 157N, 1306E, 105,    0, TY
WP, 04, 2005060418,   , XRQA,   0, 164N, 1304E,  80,    0, TY
WP, 04, 2005060500,   , XRQA,   0, 173N, 1304E,  85,    0, TY
WP, 04, 2005060506,   , XRQA,   0, 181N, 1308E,  90,    0, TY
WP, 04, 2005060512,   , XRQA,   0, 189N, 1313E,  90,    0, TY
WP, 04, 2005060518,   , XRQA,   0, 197N, 1320E,  90,    0, TY
WP, 04, 2005060600,   , XRQA,   0, 205N, 1325E, 100,    0, TY
WP, 04, 2005060606,   , XRQA,   0, 212N, 1334E, 115,    0, TY
WP, 04, 2005060612,   , XRQA,   0, 218N, 1338E, 110,    0, TY
WP, 04, 2005060618,   , XRQA,   0, 223N, 1341E, 105,    0, TY
WP, 04, 2005060700,   , XRQA,   0, 229N, 1342E, 100,    0, TY
WP, 04, 2005060706,   , XRQA,   0, 234N, 1341E, 100,    0, TY
WP, 04, 2005060712,   , XRQA,   0, 238N, 1338E,  90,    0, TY
WP, 04, 2005060718,   , XRQA,   0, 244N, 1337E,  80,    0, TY
WP, 04, 2005060800,   , XRQA,   0, 249N, 1339E,  70,    0, TY
WP, 04, 2005060806,   , XRQA,   0, 255N, 1343E,  75,    0, TY
WP, 04, 2005060812,   , XRQA,   0, 261N, 1352E,  65,    0, TY
WP, 04, 2005060818,   , XRQA,   0, 268N, 1358E,  55,    0, TS
WP, 04, 2005060900,   , XRQA,   0, 275N, 1365E,  45,    0, TS
WP, 04, 2005060906,   , XRQA,   0, 284N, 1371E,  50,    0, TS
WP, 04, 2005060912,   , XRQA,   0, 291N, 1377E,  55,    0, TS
WP, 04, 2005060918,   , XRQA,   0, 297N, 1382E,  50,    0, TS
WP, 04, 2005061000,   , XRQA,   0, 304N, 1388E,  45,    0, TS
WP, 04, 2005061006,   , XRQA,   0, 311N, 1395E,  45,    0, TS
WP, 04, 2005061012,   , XRQA,   0, 319N, 1411E,  40,    0, TS
WP, 04, 2005061018,   , XRQA,   0, 328N, 1424E,  40,    0, TS
WP, 04, 2005061100,   , XRQA,   0, 345N, 1450E,  45,    0, EX
WP, 04, 2005061106,   , XRQA,   0, 366N, 1474E,  45,    0, EX
WP, 04, 2005061112,   , XRQA,   0, 382N, 1491E,  35,    0, EX
WP, 04, 2005061118,   , XRQA,   0, 404N, 1512E,  30,    0, EX
