WP, 63, 1949101400,   , XRQA,   0, 102N, 1393E,  15,    0, DB
WP, 63, 1949101406,   , XRQA,   0, 108N, 1387E,  15,    0, DB
WP, 63, 1949101412,   , XRQA,   0, 114N, 1380E,  15,    0, DB
WP, 63, 1949101418,   , XRQA,   0, 121N, 1374E,  20,    0, DB
WP, 63, 1949101500,   , XRQA,   0, 127N, 1366E,  20,    0, DB
WP, 63, 1949101506,   , XRQA,   0, 132N, 1357E,  20,    0, DB
WP, 63, 1949101512,   , XRQA,   0, 137N, 1347E,  25,    0, TD
WP, 63, 1949101518,   , XRQA,   0, 142N, 1339E,  25,    0, TD
WP, 63, 1949101600,   , XRQA,   0, 146N, 1331E,  25,    0, TD
WP, 63, 1949101606,   , XRQA,   0, 150N, 1323E,  30,    0, TD
WP, 63, 1949101612,   , XRQA,   0, 154N, 1315E,  30,    0, TD
WP, 63, 1949101618,   , XRQA,   0, 158N, 1307E,  35,    0, TS
WP, 63, 1949101700,   , XRQA,   0, 161N, 1301E,  35,    0, TS
WP, 63, 1949101706,   , XRQA,   0, 164N, 1295E,  30,    0, TD
WP, 63, 1949101712,   , XRQA,   0, 166N, 1291E,  30,    0, TD
WP, 63, 1949101718,   , XRQA,   0, 168N, 1286E,  30,    0, TD
WP, 63, 1949101800,   , XRQA,   0, 170N, 1281E,  35,    0, TS
WP, 63, 1949101806,   , XRQA,   0, 172N, 1277E,  40,    0, TS
WP, 63, 1949101812,   , XRQA,   0, 174N, 1273E,  35,    0, TS
WP, 63, 1949101818,   , XRQA,   0, 176N, 1268E,  40,    0, TS
WP, 63, 1949101900,   , XRQA,   0, 177N, 1264E,  40,    0, TS
WP, 63, 1949101906,   , XRQA,   0, 178N, 1260E,  35,    0, TS
WP, 63, 1949101912,   , XRQA,   0, 179N, 1255E,  30,    0, TD
WP, 63, 1949101918,   , XRQA,   0, 181N, 1250E,  30,    0, TD
WP, 63, 1949102000,   , XRQA,   0, 183N, 1244E,  30,    0, TD
WP, 63, 1949102006,   , XRQA,   0, 186N, 1238E,  35,    0, TS
WP, 63, 1949102012,   , XRQA,   0, 190N, 1231E,  45,    0, TS
WP, 63, 1949102018,   , XRQA,   0, 194N, 1223E,  45,    0, TS
WP, 63, 1949102100,   , XRQA,   0, 197N, 1213E,  50,    0, TS
WP, 63, 1949102106,   , XRQA,   0, 199N, 1202E,  55,    0, TS
WP, 63, 1949102112,   , XRQA,   0, 199N, 1191E,  55,    0, TS
WP, 63, 1949102118,   , XRQA,   0, 198N, 1182E,  50,    0, TS
WP, 63, 1949102200,   , XRQA,   0, 196N, 1176E,  45,    0, TS
WP, 63, 1949102206,   , XRQA,   0, 194N, 1168E,  35,    0, TS
WP, 63, 1949102212,   , XRQA,   0, 191N, 1157E,  30,    0, TD
WP, 63, 1949102218,   , XRQA,   0, 185N, 1146E,  25,    0, TD
WP, 63, 1949102300,   , XRQA,   0, 175N, 1137E,  25,    0, TD
WP, 63, 1949102306,   , XRQA,   0, 163N, 1130E,  25,    0, TD
WP, 63, 1949102312,   , XRQA,   0, 154N, 1131E,  25,    0, TD
WP, 63, 1949102318,   , XRQA,   0, 146N, 1133E,  20,    0, DB
WP, 63, 1949102400,   , XRQA,   0, 137N, 1137E,  20,    0, DB
WP, 63, 1949102406,   , XRQA,   0, 129N, 1144E,  20,    0, DB
WP, 63, 1949102412,   , XRQA,   0, 126N, 1153E,  25,    0, TD
WP, 63, 1949102418,   , XRQA,   0, 124N, 1161E,  25,    0, TD
WP, 63, 1949102500,   , XRQA,   0, 123N, 1168E,  25,    0, TD
WP, 63, 1949102506,   , XRQA,   0, 122N, 1174E,  20,    0, DB
WP, 63, 1949102512,   , XRQA,   0, 120N, 1179E,  20,    0, DB
WP, 63, 1949102518,   , XRQA,   0, 118N, 1182E,  20,    0, DB
WP, 63, 1949102600,   , XRQA,   0, 117N, 1185E,  20,    0, DB
