WP, 22, 1985100800,   , XRQA,   0,  19N, 1440E,  15,    0, DB
WP, 22, 1985100806,   , XRQA,   0,  27N, 1426E,  15,    0, DB
WP, 22, 1985100812,   , XRQA,   0,  35N, 1410E,  15,    0, DB
WP, 22, 1985100818,   , XRQA,   0,  43N, 1392E,  15,    0, DB
WP, 22, 1985100900,   , XRQA,   0,  50N, 1376E,  15,    0, DB
WP, 22, 1985100906,   , XRQA,   0,  55N, 1366E,  15,    0, DB
WP, 22, 1985100912,   , XRQA,   0,  60N, 1357E,  20,    0, DB
WP, 22, 1985100918,   , XRQA,   0,  67N, 1345E,  20,    0, DB
WP, 22, 1985101000,   , XRQA,   0,  73N, 1332E,  20,    0, DB
WP, 22, 1985101006,   , XRQA,   0,  77N, 1321E,  20,    0, DB
WP, 22, 1985101012,   , XRQA,   0,  80N, 1310E,  25,    0, TD
WP, 22, 1985101018,   , XRQA,   0,  84N, 1299E,  25,    0, TD
WP, 22, 1985101100,   , XRQA,   0,  88N, 1287E,  30,    0, TD
WP, 22, 1985101106,   , XRQA,   0,  91N, 1269E,  30,    0, TD
WP, 22, 1985101112,   , XRQA,   0,  95N, 1250E,  30,    0, TD
WP, 22, 1985101118,   , XRQA,   0,  99N, 1234E,  35,    0, TS
WP, 22, 1985101200,   , XRQA,   0, 103N, 1216E,  45,    0, TS
WP, 22, 1985101206,   , XRQA,   0, 107N, 1202E,  45,    0, TS
WP, 22, 1985101212,   , XRQA,   0, 111N, 1190E,  50,    0, TS
WP, 22, 1985101218,   , XRQA,   0, 114N, 1178E,  55,    0, TS
WP, 22, 1985101300,   , XRQA,   0, 118N, 1170E,  60,    0, TS
WP, 22, 1985101306,   , XRQA,   0, 121N, 1165E,  60,    0, TS
WP, 22, 1985101312,   , XRQA,   0, 125N, 1159E,  65,    0, TY
WP, 22, 1985101318,   , XRQA,   0, 129N, 1153E,  80,    0, TY
WP, 22, 1985101400,   , XRQA,   0, 134N, 1149E,  85,    0, TY
WP, 22, 1985101406,   , XRQA,   0, 139N, 1142E,  85,    0, TY
WP, 22, 1985101412,   , XRQA,   0, 144N, 1135E,  90,    0, TY
WP, 22, 1985101418,   , XRQA,   0, 148N, 1127E,  90,    0, TY
WP, 22, 1985101500,   , XRQA,   0, 154N, 1117E,  95,    0, TY
WP, 22, 1985101506,   , XRQA,   0, 159N, 1106E, 100,    0, TY
WP, 22, 1985101512,   , XRQA,   0, 165N, 1094E, 105,    0, TY
WP, 22, 1985101518,   , XRQA,   0, 169N, 1081E, 105,    0, TY
WP, 22, 1985101600,   , XRQA,   0, 171N, 1067E,  85,    0, TY
WP, 22, 1985101606,   , XRQA,   0, 172N, 1053E,  50,    0, TS
WP, 22, 1985101612,   , XRQA,   0, 176N, 1041E,  35,    0, TS
WP, 22, 1985101618,   , XRQA,   0, 177N, 1025E,  30,    0, TD
WP, 22, 1985101700,   , XRQA,   0, 175N, 1010E,  25,    0, TD
WP, 22, 1985101706,   , XRQA,   0, 173N, 1000E,  25,    0, TD
WP, 22, 1985101712,   , XRQA,   0, 171N,  990E,  20,    0, DB
WP, 22, 1985101718,   , XRQA,   0, 170N,  980E,  15,    0, DB
