WP, 60, 1956072106,   , XRQA,   0, 207N, 1435E,  15,    0, DB
WP, 60, 1956072112,   , XRQA,   0, 206N, 1428E,  15,    0, DB
WP, 60, 1956072118,   , XRQA,   0, 205N, 1420E,  15,    0, DB
WP, 60, 1956072200,   , XRQA,   0, 202N, 1410E,  20,    0, DB
WP, 60, 1956072206,   , XRQA,   0, 200N, 1398E,  20,    0, DB
WP, 60, 1956072212,   , XRQA,   0, 197N, 1384E,  25,    0, TD
WP, 60, 1956072218,   , XRQA,   0, 194N, 1370E,  30,    0, TD
WP, 60, 1956072300,   , XRQA,   0, 192N, 1358E,  35,    0, TS
WP, 60, 1956072306,   , XRQA,   0, 190N, 1345E,  40,    0, TS
WP, 60, 1956072312,   , XRQA,   0, 189N, 1330E,  35,    0, TS
WP, 60, 1956072318,   , XRQA,   0, 191N, 1317E,  40,    0, TS
WP, 60, 1956072400,   , XRQA,   0, 193N, 1306E,  40,    0, TS
WP, 60, 1956072406,   , XRQA,   0, 194N, 1298E,  35,    0, TS
WP, 60, 1956072412,   , XRQA,   0, 198N, 1290E,  30,    0, TD
WP, 60, 1956072418,   , XRQA,   0, 202N, 1281E,  30,    0, TD
WP, 60, 1956072500,   , XRQA,   0, 207N, 1274E,  25,    0, TD
WP, 60, 1956072506,   , XRQA,   0, 213N, 1263E,  30,    0, TD
WP, 60, 1956072512,   , XRQA,   0, 220N, 1251E,  35,    0, TS
WP, 60, 1956072518,   , XRQA,   0, 227N, 1241E,  40,    0, TS
WP, 60, 1956072600,   , XRQA,   0, 234N, 1233E,  45,    0, TS
WP, 60, 1956072606,   , XRQA,   0, 241N, 1229E,  40,    0, TS
WP, 60, 1956072602,   , XRQA,   0, 248N, 1224E,  35,    0, TS
WP, 60, 1956072608,   , XRQA,   0, 255N, 1219E,  30,    0, TD
WP, 60, 1956072700,   , XRQA,   0, 260N, 1211E,  30,    0, TD
WP, 60, 1956072706,   , XRQA,   0, 263N, 1204E,  25,    0, TD
WP, 60, 1956072712,   , XRQA,   0, 265N, 1195E,  25,    0, TD
WP, 60, 1956072718,   , XRQA,   0, 269N, 1186E,  20,    0, DB
WP, 60, 1956072800,   , XRQA,   0, 273N, 1178E,  20,    0, DB
WP, 60, 1956072806,   , XRQA,   0, 279N, 1170E,  20,    0, DB
WP, 60, 1956072812,   , XRQA,   0, 284N, 1163E,  20,    0, DB
