WP, 23, 1956120412,   , XRQA,   0,  79N, 1358E,  15,    0, DB
WP, 23, 1956120418,   , XRQA,   0,  84N, 1352E,  15,    0, DB
WP, 23, 1956120500,   , XRQA,   0,  90N, 1346E,  20,    0, DB
WP, 23, 1956120506,   , XRQA,   0,  97N, 1340E,  25,    0, TD
WP, 23, 1956120512,   , XRQA,   0, 101N, 1333E,  25,    0, TD
WP, 23, 1956120518,   , XRQA,   0, 108N, 1325E,  30,    0, TD
WP, 23, 1956120600,   , XRQA,   0, 115N, 1318E,  35,    0, TS
WP, 23, 1956120606,   , XRQA,   0, 121N, 1312E,  40,    0, TS
WP, 23, 1956120612,   , XRQA,   0, 127N, 1305E,  45,    0, TS
WP, 23, 1956120618,   , XRQA,   0, 131N, 1299E,  40,    0, TS
WP, 23, 1956120700,   , XRQA,   0, 134N, 1292E,  50,    0, TS
WP, 23, 1956120706,   , XRQA,   0, 136N, 1285E,  50,    0, TS
WP, 23, 1956120712,   , XRQA,   0, 141N, 1277E,  55,    0, TS
WP, 23, 1956120718,   , XRQA,   0, 144N, 1271E,  65,    0, TY
WP, 23, 1956120800,   , XRQA,   0, 145N, 1264E,  75,    0, TY
WP, 23, 1956120806,   , XRQA,   0, 143N, 1259E,  70,    0, TY
WP, 23, 1956120812,   , XRQA,   0, 141N, 1254E,  65,    0, TY
WP, 23, 1956120818,   , XRQA,   0, 138N, 1249E,  55,    0, TS
WP, 23, 1956120900,   , XRQA,   0, 136N, 1243E,  45,    0, TS
WP, 23, 1956120906,   , XRQA,   0, 137N, 1236E,  50,    0, TS
WP, 23, 1956120912,   , XRQA,   0, 138N, 1229E,  40,    0, TS
WP, 23, 1956120918,   , XRQA,   0, 137N, 1222E,  35,    0, TS
WP, 23, 1956121000,   , XRQA,   0, 136N, 1214E,  30,    0, TD
WP, 23, 1956121006,   , XRQA,   0, 135N, 1209E,  25,    0, TD
WP, 23, 1956121012,   , XRQA,   0, 134N, 1202E,  25,    0, TD
WP, 23, 1956121018,   , XRQA,   0, 133N, 1195E,  25,    0, TD
WP, 23, 1956121100,   , XRQA,   0, 131N, 1189E,  20,    0, DB
WP, 23, 1956121106,   , XRQA,   0, 127N, 1183E,  20,    0, DB
WP, 23, 1956121112,   , XRQA,   0, 122N, 1178E,  20,    0, DB
