WP, 60, 2006081200,   , XRQA,   0, 295N, 1734E,  20,    0, SS
WP, 60, 2006081206,   , XRQA,   0, 298N, 1730E,  20,    0, SS
WP, 60, 2006081212,   , XRQA,   0, 301N, 1725E,  20,    0, SS
WP, 60, 2006081218,   , XRQA,   0, 301N, 1717E,  20,    0, SS
WP, 60, 2006081300,   , XRQA,   0, 300N, 1709E,  20,    0, SS
WP, 60, 2006081306,   , XRQA,   0, 298N, 1703E,  25,    0, SS
WP, 60, 2006081312,   , XRQA,   0, 297N, 1697E,  25,    0, SS
WP, 60, 2006081318,   , XRQA,   0, 297N, 1691E,  30,    0, TD
WP, 60, 2006081400,   , XRQA,   0, 296N, 1685E,  30,    0, TD
WP, 60, 2006081406,   , XRQA,   0, 294N, 1681E,  35,    0, TS
WP, 60, 2006081412,   , XRQA,   0, 289N, 1680E,  40,    0, TS
WP, 60, 2006081418,   , XRQA,   0, 286N, 1682E,  45,    0, TS
WP, 60, 2006081500,   , XRQA,   0, 288N, 1686E,  35,    0, TS
WP, 60, 2006081506,   , XRQA,   0, 291N, 1687E,  30,    0, TD
WP, 60, 2006081512,   , XRQA,   0, 292N, 1685E,  40,    0, TS
WP, 60, 2006081518,   , XRQA,   0, 292N, 1682E,  35,    0, TS
WP, 60, 2006081600,   , XRQA,   0, 290N, 1678E,  35,    0, TS
WP, 60, 2006081606,   , XRQA,   0, 286N, 1677E,  35,    0, TS
WP, 60, 2006081612,   , XRQA,   0, 283N, 1680E,  40,    0, TS
WP, 60, 2006081618,   , XRQA,   0, 285N, 1682E,  30,    0, TD
WP, 60, 2006081700,   , XRQA,   0, 287N, 1679E,  25,    0, TD
WP, 60, 2006081706,   , XRQA,   0, 289N, 1671E,  25,    0, TD
WP, 60, 2006081712,   , XRQA,   0, 290N, 1662E,  30,    0, TD
WP, 60, 2006081718,   , XRQA,   0, 291N, 1649E,  30,    0, TD
WP, 60, 2006081800,   , XRQA,   0, 291N, 1637E,  30,    0, TD
WP, 60, 2006081806,   , XRQA,   0, 293N, 1625E,  35,    0, MD
WP, 60, 2006081812,   , XRQA,   0, 295N, 1615E,  35,    0, MD
WP, 60, 2006081818,   , XRQA,   0, 294N, 1604E,  35,    0, MD
WP, 60, 2006081900,   , XRQA,   0, 292N, 1597E,  30,    0, TD
WP, 60, 2006081906,   , XRQA,   0, 290N, 1591E,  25,    0, TD
WP, 60, 2006081912,   , XRQA,   0, 287N, 1587E,  25,    0, TD
WP, 60, 2006081918,   , XRQA,   0, 285N, 1581E,  25,    0, TD
WP, 60, 2006082000,   , XRQA,   0, 285N, 1572E,  20,    0, DB
WP, 60, 2006082006,   , XRQA,   0, 286N, 1560E,  20,    0, DB
WP, 60, 2006082012,   , XRQA,   0, 288N, 1547E,  15,    0, DB
WP, 60, 2006082018,   , XRQA,   0, 290N, 1535E,  15,    0, DB
