WP, 28, 1978101400,   , XRQA,   0,  96N, 1720W,  15,    0, DB
WP, 28, 1978101406,   , XRQA,   0,  98N, 1729W,  15,    0, DB
WP, 28, 1978101412,   , XRQA,   0,  99N, 1736W,  15,    0, DB
WP, 28, 1978101418,   , XRQA,   0, 100N, 1743W,  20,    0, DB
WP, 28, 1978101500,   , XRQA,   0,  99N, 1750W,  20,    0, DB
WP, 28, 1978101506,   , XRQA,   0,  97N, 1758W,  25,    0, TD
WP, 28, 1978101512,   , XRQA,   0,  95N, 1766W,  25,    0, TD
WP, 28, 1978101518,   , XRQA,   0,  93N, 1775W,  30,    0, TD
WP, 28, 1978101600,   , XRQA,   0,  91N, 1784W,  35,    0, TS
WP, 28, 1978101606,   , XRQA,   0,  90N, 1794W,  40,    0, TS
WP, 28, 1978101612,   , XRQA,   0,  90N, 1797E,  35,    0, TS
WP, 28, 1978101618,   , XRQA,   0,  91N, 1791E,  30,    0, TD
WP, 28, 1978101700,   , XRQA,   0,  93N, 1785E,  30,    0, TD
WP, 28, 1978101706,   , XRQA,   0,  96N, 1775E,  35,    0, TS
WP, 28, 1978101712,   , XRQA,   0, 100N, 1765E,  45,    0, TS
WP, 28, 1978101718,   , XRQA,   0, 103N, 1754E,  45,    0, TS
WP, 28, 1978101800,   , XRQA,   0, 105N, 1743E,  40,    0, TS
WP, 28, 1978101806,   , XRQA,   0, 107N, 1732E,  45,    0, TS
WP, 28, 1978101812,   , XRQA,   0, 108N, 1722E,  50,    0, TS
WP, 28, 1978101818,   , XRQA,   0, 109N, 1711E,  50,    0, TS
WP, 28, 1978101900,   , XRQA,   0, 111N, 1700E,  55,    0, TS
WP, 28, 1978101906,   , XRQA,   0, 112N, 1687E,  65,    0, TY
WP, 28, 1978101912,   , XRQA,   0, 113N, 1673E,  70,    0, TY
WP, 28, 1978101918,   , XRQA,   0, 115N, 1659E,  90,    0, TY
WP, 28, 1978102000,   , XRQA,   0, 117N, 1644E, 105,    0, TY
WP, 28, 1978102006,   , XRQA,   0, 117N, 1628E,  95,    0, TY
WP, 28, 1978102012,   , XRQA,   0, 117N, 1612E,  90,    0, TY
WP, 28, 1978102018,   , XRQA,   0, 116N, 1595E, 125,    0, TY
WP, 28, 1978102100,   , XRQA,   0, 114N, 1581E, 135,    0, ST
WP, 28, 1978102106,   , XRQA,   0, 113N, 1568E, 120,    0, TY
WP, 28, 1978102109,   , XRQA,   0, 113N, 1561E, 110,    0, TY
WP, 28, 1978102112,   , XRQA,   0, 112N, 1556E, 130,    0, ST
WP, 28, 1978102118,   , XRQA,   0, 112N, 1545E, 145,    0, ST
WP, 28, 1978102200,   , XRQA,   0, 112N, 1535E, 155,    0, ST
WP, 28, 1978102206,   , XRQA,   0, 114N, 1523E, 160,    0, ST
WP, 28, 1978102212,   , XRQA,   0, 116N, 1512E, 145,    0, ST
WP, 28, 1978102218,   , XRQA,   0, 116N, 1500E, 165,    0, ST
WP, 28, 1978102300,   , XRQA,   0, 117N, 1485E, 175,    0, ST
WP, 28, 1978102306,   , XRQA,   0, 118N, 1471E, 165,    0, ST
WP, 28, 1978102312,   , XRQA,   0, 119N, 1455E, 160,    0, ST
WP, 28, 1978102318,   , XRQA,   0, 120N, 1436E, 145,    0, ST
WP, 28, 1978102400,   , XRQA,   0, 121N, 1418E, 135,    0, ST
WP, 28, 1978102406,   , XRQA,   0, 123N, 1398E, 155,    0, ST
WP, 28, 1978102412,   , XRQA,   0, 125N, 1377E, 165,    0, ST
WP, 28, 1978102418,   , XRQA,   0, 127N, 1354E, 180,    0, ST
WP, 28, 1978102500,   , XRQA,   0, 128N, 1332E, 175,    0, ST
WP, 28, 1978102506,   , XRQA,   0, 130N, 1311E, 165,    0, ST
WP, 28, 1978102512,   , XRQA,   0, 134N, 1290E, 160,    0, ST
WP, 28, 1978102518,   , XRQA,   0, 137N, 1270E, 155,    0, ST
WP, 28, 1978102600,   , XRQA,   0, 141N, 1253E, 145,    0, ST
WP, 28, 1978102606,   , XRQA,   0, 144N, 1238E, 130,    0, ST
WP, 28, 1978102612,   , XRQA,   0, 148N, 1225E, 120,    0, TY
WP, 28, 1978102615,   , XRQA,   0, 151N, 1219E, 135,    0, ST
WP, 28, 1978102618,   , XRQA,   0, 155N, 1213E, 130,    0, ST
WP, 28, 1978102700,   , XRQA,   0, 164N, 1199E,  65,    0, TY
WP, 28, 1978102706,   , XRQA,   0, 168N, 1184E,  50,    0, TS
WP, 28, 1978102712,   , XRQA,   0, 169N, 1173E,  50,    0, TS
WP, 28, 1978102718,   , XRQA,   0, 170N, 1164E,  55,    0, TS
WP, 28, 1978102800,   , XRQA,   0, 169N, 1156E,  50,    0, TS
WP, 28, 1978102806,   , XRQA,   0, 167N, 1151E,  45,    0, TS
WP, 28, 1978102812,   , XRQA,   0, 164N, 1148E,  45,    0, TS
WP, 28, 1978102818,   , XRQA,   0, 158N, 1142E,  40,    0, TS
WP, 28, 1978102900,   , XRQA,   0, 152N, 1135E,  40,    0, TS
WP, 28, 1978102906,   , XRQA,   0, 145N, 1125E,  35,    0, TS
WP, 28, 1978102912,   , XRQA,   0, 138N, 1114E,  30,    0, TD
WP, 28, 1978102918,   , XRQA,   0, 133N, 1105E,  25,    0, TD
WP, 28, 1978103000,   , XRQA,   0, 125N, 1097E,  35,    0, TS
WP, 28, 1978103006,   , XRQA,   0, 119N, 1091E,  30,    0, TD
WP, 28, 1978103012,   , XRQA,   0, 114N, 1084E,  25,    0, TD
WP, 28, 1978103018,   , XRQA,   0, 110N, 1077E,  20,    0, DB
