EP, 10, 1994082606,   , XRQA,   0, 171N, 1699W,  90,    0, TY
EP, 10, 1994082612,   , XRQA,   0, 175N, 1711W,  90,    0, TY
EP, 10, 1994082618,   , XRQA,   0, 180N, 1724W,  80,    0, TY
EP, 10, 1994082621,   , XRQA,   0, 182N, 1730W,  90,    0, TY
EP, 10, 1994082700,   , XRQA,   0, 185N, 1737W, 105,    0, TY
EP, 10, 1994082706,   , XRQA,   0, 190N, 1750W, 100,    0, TY
EP, 10, 1994082712,   , XRQA,   0, 197N, 1761W, 115,    0, TY
EP, 10, 1994082718,   , XRQA,   0, 203N, 1772W, 110,    0, TY
EP, 10, 1994082800,   , XRQA,   0, 208N, 1785W,  95,    0, TY
EP, 10, 1994082803,   , XRQA,   0, 212N, 1790W, 100,    0, TY
EP, 10, 1994082806,   , XRQA,   0, 216N, 1796W, 105,    0, TY
EP, 10, 1994082809,   , XRQA,   0, 219N, 1798E,  95,    0, TY
EP, 10, 1994082812,   , XRQA,   0, 222N, 1792E,  90,    0, TY
EP, 10, 1994082815,   , XRQA,   0, 225N, 1787E, 100,    0, TY
EP, 10, 1994082818,   , XRQA,   0, 228N, 1782E, 115,    0, TY
EP, 10, 1994082821,   , XRQA,   0, 231N, 1777E, 125,    0, TY
EP, 10, 1994082900,   , XRQA,   0, 233N, 1772E, 115,    0, TY
EP, 10, 1994082906,   , XRQA,   0, 237N, 1763E, 105,    0, TY
EP, 10, 1994082912,   , XRQA,   0, 242N, 1755E, 100,    0, TY
EP, 10, 1994082918,   , XRQA,   0, 247N, 1749E,  85,    0, TY
EP, 10, 1994083000,   , XRQA,   0, 250N, 1744E,  85,    0, TY
EP, 10, 1994083006,   , XRQA,   0, 254N, 1740E,  80,    0, TY
EP, 10, 1994083012,   , XRQA,   0, 259N, 1737E,  60,    0, TS
EP, 10, 1994083018,   , XRQA,   0, 264N, 1733E,  50,    0, TS
EP, 10, 1994083100,   , XRQA,   0, 268N, 1730E,  55,    0, TS
EP, 10, 1994083106,   , XRQA,   0, 272N, 1729E,  65,    0, TY
EP, 10, 1994083112,   , XRQA,   0, 276N, 1730E,  60,    0, TS
EP, 10, 1994083118,   , XRQA,   0, 278N, 1733E,  45,    0, TS
EP, 10, 1994090100,   , XRQA,   0, 277N, 1736E,  50,    0, TS
EP, 10, 1994090106,   , XRQA,   0, 277N, 1738E,  45,    0, TS
EP, 10, 1994090112,   , XRQA,   0, 276N, 1741E,  30,    0, TD
EP, 10, 1994090118,   , XRQA,   0, 275N, 1744E,  30,    0, TD
EP, 10, 1994090200,   , XRQA,   0, 275N, 1748E,  30,    0, TD
EP, 10, 1994090206,   , XRQA,   0, 275N, 1753E,  35,    0, TS
EP, 10, 1994090212,   , XRQA,   0, 274N, 1758E,  35,    0, TS
EP, 10, 1994090218,   , XRQA,   0, 273N, 1762E,  40,    0, TS
EP, 10, 1994090300,   , XRQA,   0, 272N, 1767E,  35,    0, TS
EP, 10, 1994090306,   , XRQA,   0, 270N, 1771E,  40,    0, TS
EP, 10, 1994090312,   , XRQA,   0, 268N, 1774E,  45,    0, TS
EP, 10, 1994090318,   , XRQA,   0, 266N, 1777E,  50,    0, TS
EP, 10, 1994090400,   , XRQA,   0, 264N, 1780E,  50,    0, TS
EP, 10, 1994090406,   , XRQA,   0, 263N, 1783E,  50,    0, TS
