WP, 15, 1952092312,   , XRQA,   0,  95N, 1607E,  15,    0, DB
WP, 15, 1952092318,   , XRQA,   0,  97N, 1593E,  15,    0, DB
WP, 15, 1952092400,   , XRQA,   0, 100N, 1580E,  15,    0, DB
WP, 15, 1952092406,   , XRQA,   0, 104N, 1567E,  20,    0, DB
WP, 15, 1952092412,   , XRQA,   0, 109N, 1555E,  20,    0, DB
WP, 15, 1952092418,   , XRQA,   0, 115N, 1549E,  20,    0, DB
WP, 15, 1952092500,   , XRQA,   0, 120N, 1541E,  20,    0, DB
WP, 15, 1952092506,   , XRQA,   0, 124N, 1531E,  25,    0, TD
WP, 15, 1952092512,   , XRQA,   0, 128N, 1519E,  25,    0, TD
WP, 15, 1952092518,   , XRQA,   0, 131N, 1509E,  25,    0, TD
WP, 15, 1952092600,   , XRQA,   0, 134N, 1498E,  30,    0, TD
WP, 15, 1952092606,   , XRQA,   0, 137N, 1488E,  30,    0, TD
WP, 15, 1952092612,   , XRQA,   0, 138N, 1480E,  30,    0, TD
WP, 15, 1952092618,   , XRQA,   0, 139N, 1471E,  35,    0, TS
WP, 15, 1952092700,   , XRQA,   0, 141N, 1460E,  40,    0, TS
WP, 15, 1952092706,   , XRQA,   0, 148N, 1448E,  40,    0, TS
WP, 15, 1952092712,   , XRQA,   0, 156N, 1438E,  45,    0, TS
WP, 15, 1952092718,   , XRQA,   0, 164N, 1429E,  40,    0, TS
WP, 15, 1952092800,   , XRQA,   0, 174N, 1422E,  40,    0, TS
WP, 15, 1952092806,   , XRQA,   0, 184N, 1421E,  45,    0, TS
WP, 15, 1952092812,   , XRQA,   0, 193N, 1421E,  45,    0, TS
WP, 15, 1952092818,   , XRQA,   0, 202N, 1420E,  50,    0, TS
WP, 15, 1952092900,   , XRQA,   0, 209N, 1419E,  50,    0, TS
WP, 15, 1952092906,   , XRQA,   0, 223N, 1416E,  50,    0, TS
WP, 15, 1952092912,   , XRQA,   0, 237N, 1412E,  55,    0, TS
WP, 15, 1952092918,   , XRQA,   0, 248N, 1409E,  55,    0, TS
WP, 15, 1952093000,   , XRQA,   0, 258N, 1408E,  60,    0, TS
WP, 15, 1952093006,   , XRQA,   0, 269N, 1409E,  65,    0, TY
WP, 15, 1952093012,   , XRQA,   0, 286N, 1413E,  70,    0, TY
WP, 15, 1952093018,   , XRQA,   0, 303N, 1420E,  70,    0, TY
WP, 15, 1952100100,   , XRQA,   0, 324N, 1430E,  65,    0, TY
WP, 15, 1952100106,   , XRQA,   0, 345N, 1442E,  55,    0, TS
WP, 15, 1952100112,   , XRQA,   0, 360N, 1456E,  50,    0, TS
WP, 15, 1952100118,   , XRQA,   0, 367N, 1469E,  50,    0, TS
WP, 15, 1952100200,   , XRQA,   0, 371N, 1482E,  45,    0, TS
WP, 15, 1952100206,   , XRQA,   0, 375N, 1502E,  45,    0, EX
WP, 15, 1952100212,   , XRQA,   0, 383N, 1523E,  45,    0, EX
WP, 15, 1952100218,   , XRQA,   0, 386N, 1551E,  45,    0, EX
WP, 15, 1952100300,   , XRQA,   0, 386N, 1568E,  45,    0, EX
WP, 15, 1952100306,   , XRQA,   0, 385N, 1579E,  45,    0, EX
WP, 15, 1952100312,   , XRQA,   0, 380N, 1595E,  45,    0, EX
WP, 15, 1952100318,   , XRQA,   0, 375N, 1606E,  45,    0, EX
WP, 15, 1952100400,   , XRQA,   0, 373N, 1625E,  45,    0, EX
WP, 15, 1952100406,   , XRQA,   0, 369N, 1641E,  45,    0, EX
WP, 15, 1952100412,   , XRQA,   0, 365N, 1660E,  45,    0, EX
WP, 15, 1952100418,   , XRQA,   0, 362N, 1680E,  45,    0, EX
WP, 15, 1952100500,   , XRQA,   0, 363N, 1694E,  45,    0, EX
WP, 15, 1952100506,   , XRQA,   0, 368N, 1708E,  45,    0, EX
WP, 15, 1952100512,   , XRQA,   0, 371N, 1714E,  45,    0, EX
WP, 15, 1952100518,   , XRQA,   0, 375N, 1721E,  45,    0, EX
WP, 15, 1952100600,   , XRQA,   0, 378N, 1730E,  45,    0, EX
