CP, 01, 1993082700,   , XRQA,   0, 355N, 1583E,  35,    0, TS
CP, 01, 1993082706,   , XRQA,   0, 361N, 1584E,  45,    0, TS
CP, 01, 1993082712,   , XRQA,   0, 367N, 1587E,  45,    0, TS
CP, 01, 1993082718,   , XRQA,   0, 370N, 1593E,  40,    0, TS
CP, 01, 1993082800,   , XRQA,   0, 371N, 1602E,  45,    0, TS
CP, 01, 1993082806,   , XRQA,   0, 370N, 1616E,  50,    0, TS
CP, 01, 1993082812,   , XRQA,   0, 365N, 1627E,  45,    0, SS
CP, 01, 1993082818,   , XRQA,   0, 360N, 1638E,  40,    0, SS
CP, 01, 1993082900,   , XRQA,   0, 353N, 1649E,  40,    0, SS
CP, 01, 1993082906,   , XRQA,   0, 347N, 1657E,  40,    0, SS
CP, 01, 1993082912,   , XRQA,   0, 341N, 1663E,  40,    0, SS
CP, 01, 1993082918,   , XRQA,   0, 331N, 1668E,  40,    0, SS
CP, 01, 1993083000,   , XRQA,   0, 319N, 1667E,  40,    0, SS
CP, 01, 1993083006,   , XRQA,   0, 310N, 1666E,  35,    0, SS
CP, 01, 1993083012,   , XRQA,   0, 300N, 1664E,  35,    0, SS
CP, 01, 1993083018,   , XRQA,   0, 289N, 1658E,  35,    0, TS
CP, 01, 1993083100,   , XRQA,   0, 282N, 1651E,  30,    0, TD
CP, 01, 1993083106,   , XRQA,   0, 279N, 1642E,  30,    0, TD
CP, 01, 1993083112,   , XRQA,   0, 278N, 1633E,  30,    0, TD
CP, 01, 1993083118,   , XRQA,   0, 279N, 1627E,  35,    0, TS
CP, 01, 1993090100,   , XRQA,   0, 282N, 1623E,  30,    0, TD
CP, 01, 1993090106,   , XRQA,   0, 283N, 1621E,  30,    0, TD
CP, 01, 1993090112,   , XRQA,   0, 289N, 1622E,  30,    0, TD
CP, 01, 1993090118,   , XRQA,   0, 289N, 1623E,  35,    0, TS
CP, 01, 1993090200,   , XRQA,   0, 287N, 1624E,  30,    0, TD
CP, 01, 1993090206,   , XRQA,   0, 287N, 1627E,  30,    0, SD
CP, 01, 1993090212,   , XRQA,   0, 290N, 1628E,  30,    0, SD
CP, 01, 1993090218,   , XRQA,   0, 290N, 1631E,  30,    0, SD
CP, 01, 1993090300,   , XRQA,   0, 291N, 1640E,  35,    0, SS
CP, 01, 1993090306,   , XRQA,   0, 292N, 1650E,  35,    0, SS
CP, 01, 1993090312,   , XRQA,   0, 293N, 1658E,  35,    0, SS
CP, 01, 1993090318,   , XRQA,   0, 294N, 1666E,  30,    0, SD
CP, 01, 1993090400,   , XRQA,   0, 295N, 1674E,  30,    0, SD
CP, 01, 1993090406,   , XRQA,   0, 296N, 1682E,  30,    0, SD
CP, 01, 1993090412,   , XRQA,   0, 298N, 1689E,  25,    0, SD
CP, 01, 1993090418,   , XRQA,   0, 301N, 1699E,  25,    0, SD
CP, 01, 1993090500,   , XRQA,   0, 304N, 1713E,  25,    0, SD
CP, 01, 1993090506,   , XRQA,   0, 308N, 1728E,  25,    0, EX
CP, 01, 1993090512,   , XRQA,   0, 314N, 1745E,  30,    0, EX
CP, 01, 1993090518,   , XRQA,   0, 321N, 1765E,  30,    0, EX
CP, 01, 1993090600,   , XRQA,   0, 330N, 1788E,  35,    0, EX
CP, 01, 1993090606,   , XRQA,   0, 342N, 1788W,  35,    0, EX
CP, 01, 1993090612,   , XRQA,   0, 355N, 1762W,  35,    0, EX
