WP, 06, 1993061300,   , XRQA,   0,  40N, 1604E,  25,    0, TD
WP, 06, 1993061306,   , XRQA,   0,  40N, 1600E,  25,    0, TD
WP, 06, 1993061312,   , XRQA,   0,  40N, 1596E,  25,    0, TD
WP, 06, 1993061318,   , XRQA,   0,  41N, 1592E,  25,    0, TD
WP, 06, 1993061400,   , XRQA,   0,  42N, 1587E,  25,    0, TD
WP, 06, 1993061406,   , XRQA,   0,  43N, 1583E,  25,    0, TD
WP, 06, 1993061412,   , XRQA,   0,  43N, 1579E,  25,    0, TD
WP, 06, 1993061418,   , XRQA,   0,  44N, 1576E,  25,    0, TD
WP, 06, 1993061500,   , XRQA,   0,  45N, 1573E,  25,    0, TD
WP, 06, 1993061506,   , XRQA,   0,  46N, 1570E,  25,    0, TD
WP, 06, 1993061512,   , XRQA,   0,  47N, 1568E,  25,    0, TD
WP, 06, 1993061518,   , XRQA,   0,  47N, 1566E,  25,    0, TD
WP, 06, 1993061600,   , XRQA,   0,  48N, 1567E,  25,    0, TD
WP, 06, 1993061606,   , XRQA,   0,  51N, 1569E,  25,    0, TD
WP, 06, 1993061612,   , XRQA,   0,  57N, 1569E,  25,    0, TD
WP, 06, 1993061618,   , XRQA,   0,  63N, 1568E,  25,    0, TD
WP, 06, 1993061700,   , XRQA,   0,  66N, 1565E,  25,    0, TD
WP, 06, 1993061706,   , XRQA,   0,  69N, 1560E,  30,    0, TD
WP, 06, 1993061712,   , XRQA,   0,  70N, 1554E,  30,    0, TD
WP, 06, 1993061718,   , XRQA,   0,  73N, 1549E,  30,    0, TD
WP, 06, 1993061800,   , XRQA,   0,  74N, 1544E,  30,    0, TD
WP, 06, 1993061806,   , XRQA,   0,  75N, 1539E,  30,    0, TD
WP, 06, 1993061812,   , XRQA,   0,  76N, 1532E,  30,    0, TD
WP, 06, 1993061818,   , XRQA,   0,  77N, 1521E,  30,    0, TD
WP, 06, 1993061900,   , XRQA,   0,  76N, 1510E,  35,    0, TS
WP, 06, 1993061906,   , XRQA,   0,  75N, 1501E,  35,    0, TS
WP, 06, 1993061912,   , XRQA,   0,  73N, 1491E,  35,    0, TS
WP, 06, 1993061918,   , XRQA,   0,  72N, 1480E,  30,    0, TD
WP, 06, 1993062000,   , XRQA,   0,  72N, 1474E,  35,    0, TS
WP, 06, 1993062006,   , XRQA,   0,  72N, 1468E,  35,    0, TS
WP, 06, 1993062012,   , XRQA,   0,  72N, 1463E,  40,    0, TS
WP, 06, 1993062018,   , XRQA,   0,  73N, 1458E,  45,    0, TS
WP, 06, 1993062100,   , XRQA,   0,  74N, 1451E,  45,    0, TS
WP, 06, 1993062106,   , XRQA,   0,  78N, 1438E,  40,    0, TS
WP, 06, 1993062112,   , XRQA,   0,  84N, 1427E,  50,    0, TS
WP, 06, 1993062118,   , XRQA,   0,  91N, 1415E,  60,    0, TS
WP, 06, 1993062200,   , XRQA,   0,  98N, 1401E,  70,    0, TY
WP, 06, 1993062206,   , XRQA,   0, 103N, 1390E,  70,    0, TY
WP, 06, 1993062212,   , XRQA,   0, 107N, 1379E,  80,    0, TY
WP, 06, 1993062218,   , XRQA,   0, 112N, 1366E,  85,    0, TY
WP, 06, 1993062300,   , XRQA,   0, 117N, 1352E,  95,    0, TY
WP, 06, 1993062306,   , XRQA,   0, 122N, 1343E, 115,    0, TY
WP, 06, 1993062312,   , XRQA,   0, 127N, 1332E, 130,    0, ST
WP, 06, 1993062318,   , XRQA,   0, 131N, 1321E, 145,    0, ST
WP, 06, 1993062400,   , XRQA,   0, 134N, 1309E, 160,    0, ST
WP, 06, 1993062406,   , XRQA,   0, 136N, 1298E, 155,    0, ST
WP, 06, 1993062412,   , XRQA,   0, 140N, 1287E, 165,    0, ST
WP, 06, 1993062418,   , XRQA,   0, 144N, 1274E, 145,    0, ST
WP, 06, 1993062500,   , XRQA,   0, 150N, 1263E, 110,    0, TY
WP, 06, 1993062506,   , XRQA,   0, 155N, 1251E, 120,    0, TY
WP, 06, 1993062512,   , XRQA,   0, 163N, 1240E, 130,    0, ST
WP, 06, 1993062515,   , XRQA,   0, 166N, 1233E, 140,    0, ST
WP, 06, 1993062518,   , XRQA,   0, 169N, 1226E, 125,    0, TY
WP, 06, 1993062600,   , XRQA,   0, 173N, 1212E,  80,    0, TY
WP, 06, 1993062606,   , XRQA,   0, 180N, 1200E,  65,    0, TY
WP, 06, 1993062612,   , XRQA,   0, 190N, 1186E,  60,    0, TS
WP, 06, 1993062618,   , XRQA,   0, 196N, 1169E,  65,    0, TY
WP, 06, 1993062700,   , XRQA,   0, 200N, 1153E,  70,    0, TY
WP, 06, 1993062706,   , XRQA,   0, 205N, 1140E,  75,    0, TY
WP, 06, 1993062712,   , XRQA,   0, 213N, 1127E,  65,    0, TY
WP, 06, 1993062718,   , XRQA,   0, 218N, 1111E,  50,    0, TS
WP, 06, 1993062800,   , XRQA,   0, 222N, 1096E,  40,    0, TS
WP, 06, 1993062806,   , XRQA,   0, 223N, 1078E,  35,    0, TS
WP, 06, 1993062812,   , XRQA,   0, 223N, 1062E,  30,    0, TD
WP, 06, 1993062818,   , XRQA,   0, 226N, 1056E,  30,    0, TD
WP, 06, 1993062900,   , XRQA,   0, 230N, 1043E,  25,    0, TD
WP, 06, 1993062906,   , XRQA,   0, 233N, 1029E,  25,    0, TD
WP, 06, 1993062912,   , XRQA,   0, 235N, 1016E,  25,    0, TD
