WP, 02, 1993030500,   , XRQA,   0,  31N, 1737E,  25,    0, TD
WP, 02, 1993030506,   , XRQA,   0,  32N, 1728E,  25,    0, TD
WP, 02, 1993030512,   , XRQA,   0,  33N, 1719E,  25,    0, TD
WP, 02, 1993030518,   , XRQA,   0,  34N, 1710E,  25,    0, TD
WP, 02, 1993030600,   , XRQA,   0,  35N, 1702E,  25,    0, TD
WP, 02, 1993030606,   , XRQA,   0,  36N, 1694E,  25,    0, TD
WP, 02, 1993030612,   , XRQA,   0,  36N, 1688E,  25,    0, TD
WP, 02, 1993030618,   , XRQA,   0,  37N, 1682E,  25,    0, TD
WP, 02, 1993030700,   , XRQA,   0,  37N, 1676E,  25,    0, TD
WP, 02, 1993030706,   , XRQA,   0,  37N, 1672E,  25,    0, TD
WP, 02, 1993030712,   , XRQA,   0,  38N, 1668E,  25,    0, TD
WP, 02, 1993030718,   , XRQA,   0,  39N, 1664E,  25,    0, TD
WP, 02, 1993030800,   , XRQA,   0,  40N, 1661E,  25,    0, TD
WP, 02, 1993030806,   , XRQA,   0,  42N, 1658E,  25,    0, TD
WP, 02, 1993030812,   , XRQA,   0,  44N, 1655E,  25,    0, TD
WP, 02, 1993030818,   , XRQA,   0,  46N, 1652E,  25,    0, TD
WP, 02, 1993030900,   , XRQA,   0,  49N, 1649E,  25,    0, TD
WP, 02, 1993030906,   , XRQA,   0,  51N, 1647E,  25,    0, TD
WP, 02, 1993030912,   , XRQA,   0,  51N, 1645E,  30,    0, TD
WP, 02, 1993030918,   , XRQA,   0,  52N, 1642E,  30,    0, TD
WP, 02, 1993031000,   , XRQA,   0,  52N, 1639E,  30,    0, TD
WP, 02, 1993031006,   , XRQA,   0,  53N, 1636E,  30,    0, TD
WP, 02, 1993031012,   , XRQA,   0,  53N, 1633E,  30,    0, TD
WP, 02, 1993031018,   , XRQA,   0,  52N, 1630E,  30,    0, TD
WP, 02, 1993031100,   , XRQA,   0,  51N, 1627E,  30,    0, TD
WP, 02, 1993031106,   , XRQA,   0,  51N, 1625E,  30,    0, TD
WP, 02, 1993031112,   , XRQA,   0,  47N, 1623E,  30,    0, TD
WP, 02, 1993031118,   , XRQA,   0,  44N, 1624E,  35,    0, TS
WP, 02, 1993031200,   , XRQA,   0,  44N, 1626E,  30,    0, TD
WP, 02, 1993031206,   , XRQA,   0,  46N, 1623E,  30,    0, TD
WP, 02, 1993031212,   , XRQA,   0,  51N, 1617E,  30,    0, TD
WP, 02, 1993031218,   , XRQA,   0,  55N, 1608E,  35,    0, TS
WP, 02, 1993031300,   , XRQA,   0,  64N, 1597E,  40,    0, TS
WP, 02, 1993031306,   , XRQA,   0,  76N, 1584E,  50,    0, TS
WP, 02, 1993031312,   , XRQA,   0,  88N, 1570E,  55,    0, TS
WP, 02, 1993031318,   , XRQA,   0, 100N, 1557E,  65,    0, TY
WP, 02, 1993031400,   , XRQA,   0, 110N, 1545E,  55,    0, TS
WP, 02, 1993031406,   , XRQA,   0, 118N, 1532E,  45,    0, TS
WP, 02, 1993031412,   , XRQA,   0, 123N, 1523E,  40,    0, TS
WP, 02, 1993031418,   , XRQA,   0, 127N, 1514E,  45,    0, TS
WP, 02, 1993031500,   , XRQA,   0, 132N, 1505E,  50,    0, TS
WP, 02, 1993031506,   , XRQA,   0, 136N, 1499E,  55,    0, TS
WP, 02, 1993031512,   , XRQA,   0, 144N, 1496E,  60,    0, TS
WP, 02, 1993031518,   , XRQA,   0, 152N, 1497E,  65,    0, TY
WP, 02, 1993031600,   , XRQA,   0, 160N, 1500E,  55,    0, TS
WP, 02, 1993031606,   , XRQA,   0, 166N, 1505E,  50,    0, TS
WP, 02, 1993031612,   , XRQA,   0, 170N, 1509E,  40,    0, TS
WP, 02, 1993031618,   , XRQA,   0, 173N, 1512E,  35,    0, TS
WP, 02, 1993031700,   , XRQA,   0, 175N, 1514E,  30,    0, TD
WP, 02, 1993031706,   , XRQA,   0, 176N, 1516E,  30,    0, TD
WP, 02, 1993031712,   , XRQA,   0, 178N, 1518E,  30,    0, TD
WP, 02, 1993031718,   , XRQA,   0, 179N, 1520E,  30,    0, TD
WP, 02, 1993031800,   , XRQA,   0, 181N, 1521E,  25,    0, TD
WP, 02, 1993031806,   , XRQA,   0, 183N, 1521E,  25,    0, TD
WP, 02, 1993031812,   , XRQA,   0, 186N, 1524E,  25,    0, TD
WP, 02, 1993031818,   , XRQA,   0, 190N, 1527E,  25,    0, TD
WP, 02, 1993031900,   , XRQA,   0, 194N, 1530E,  25,    0, TD
