WP, 12, 2016081500,   , XRQA,   0, 171N, 1599E,  15,    0, DB
WP, 12, 2016081506,   , XRQA,   0, 177N, 1608E,  15,    0, DB
WP, 12, 2016081512,   , XRQA,   0, 187N, 1615E,  20,    0, DB
WP, 12, 2016081518,   , XRQA,   0, 198N, 1620E,  25,    0, TD
WP, 12, 2016081600,   , XRQA,   0, 211N, 1623E,  25,    0, TD
WP, 12, 2016081606,   , XRQA,   0, 225N, 1621E,  35,    0, MD
WP, 12, 2016081612,   , XRQA,   0, 237N, 1614E,  35,    0, MD
WP, 12, 2016081618,   , XRQA,   0, 249N, 1602E,  30,    0, MD
WP, 12, 2016081700,   , XRQA,   0, 260N, 1589E,  35,    0, TS
WP, 12, 2016081706,   , XRQA,   0, 271N, 1571E,  40,    0, TS
WP, 12, 2016081712,   , XRQA,   0, 276N, 1554E,  45,    0, TS
WP, 12, 2016081718,   , XRQA,   0, 283N, 1537E,  50,    0, TS
WP, 12, 2016081800,   , XRQA,   0, 292N, 1520E,  40,    0, SS
WP, 12, 2016081806,   , XRQA,   0, 303N, 1502E,  45,    0, TS
WP, 12, 2016081812,   , XRQA,   0, 312N, 1486E,  45,    0, TS
WP, 12, 2016081818,   , XRQA,   0, 322N, 1468E,  45,    0, TS
WP, 12, 2016081900,   , XRQA,   0, 328N, 1448E,  45,    0, SS
WP, 12, 2016081906,   , XRQA,   0, 331N, 1428E,  40,    0, SS
WP, 12, 2016081912,   , XRQA,   0, 329N, 1413E,  40,    0, SS
WP, 12, 2016081918,   , XRQA,   0, 324N, 1398E,  35,    0, TS
WP, 12, 2016082000,   , XRQA,   0, 316N, 1385E,  45,    0, TS
WP, 12, 2016082006,   , XRQA,   0, 311N, 1375E,  50,    0, TS
WP, 12, 2016082012,   , XRQA,   0, 305N, 1367E,  45,    0, TS
WP, 12, 2016082018,   , XRQA,   0, 302N, 1356E,  35,    0, TS
WP, 12, 2016082100,   , XRQA,   0, 299N, 1344E,  40,    0, TS
WP, 12, 2016082106,   , XRQA,   0, 295N, 1337E,  35,    0, TS
WP, 12, 2016082112,   , XRQA,   0, 291N, 1333E,  50,    0, TS
WP, 12, 2016082118,   , XRQA,   0, 289N, 1332E,  55,    0, TS
WP, 12, 2016082200,   , XRQA,   0, 288N, 1333E,  60,    0, TS
WP, 12, 2016082206,   , XRQA,   0, 287N, 1336E,  65,    0, TY
WP, 12, 2016082212,   , XRQA,   0, 285N, 1341E,  55,    0, TS
WP, 12, 2016082218,   , XRQA,   0, 282N, 1343E,  60,    0, TS
WP, 12, 2016082300,   , XRQA,   0, 278N, 1344E,  65,    0, TY
WP, 12, 2016082306,   , XRQA,   0, 274N, 1342E,  65,    0, TY
WP, 12, 2016082312,   , XRQA,   0, 267N, 1340E,  75,    0, TY
WP, 12, 2016082318,   , XRQA,   0, 260N, 1333E,  85,    0, TY
WP, 12, 2016082400,   , XRQA,   0, 253N, 1328E,  90,    0, TY
WP, 12, 2016082406,   , XRQA,   0, 249N, 1323E, 105,    0, TY
WP, 12, 2016082412,   , XRQA,   0, 244N, 1318E, 115,    0, TY
WP, 12, 2016082418,   , XRQA,   0, 239N, 1314E, 125,    0, TY
WP, 12, 2016082500,   , XRQA,   0, 236N, 1311E, 115,    0, TY
WP, 12, 2016082506,   , XRQA,   0, 235N, 1309E, 105,    0, TY
WP, 12, 2016082512,   , XRQA,   0, 234N, 1308E,  90,    0, TY
WP, 12, 2016082518,   , XRQA,   0, 231N, 1306E,  90,    0, TY
WP, 12, 2016082600,   , XRQA,   0, 230N, 1310E,  85,    0, TY
WP, 12, 2016082606,   , XRQA,   0, 231N, 1314E,  80,    0, TY
WP, 12, 2016082612,   , XRQA,   0, 233N, 1319E,  85,    0, TY
WP, 12, 2016082618,   , XRQA,   0, 235N, 1325E,  90,    0, TY
WP, 12, 2016082700,   , XRQA,   0, 237N, 1331E,  95,    0, TY
WP, 12, 2016082706,   , XRQA,   0, 240N, 1338E, 100,    0, TY
WP, 12, 2016082712,   , XRQA,   0, 245N, 1346E, 105,    0, TY
WP, 12, 2016082718,   , XRQA,   0, 251N, 1356E, 105,    0, TY
WP, 12, 2016082800,   , XRQA,   0, 261N, 1366E, 115,    0, TY
WP, 12, 2016082806,   , XRQA,   0, 274N, 1378E, 115,    0, TY
WP, 12, 2016082812,   , XRQA,   0, 285N, 1388E, 105,    0, TY
WP, 12, 2016082818,   , XRQA,   0, 294N, 1405E,  95,    0, TY
WP, 12, 2016082900,   , XRQA,   0, 305N, 1417E,  85,    0, TY
WP, 12, 2016082906,   , XRQA,   0, 314N, 1427E,  80,    0, TY
WP, 12, 2016082912,   , XRQA,   0, 326N, 1434E,  70,    0, TY
WP, 12, 2016082918,   , XRQA,   0, 340N, 1436E,  65,    0, TY
WP, 12, 2016083000,   , XRQA,   0, 359N, 1426E,  50,    0, TS
WP, 12, 2016083006,   , XRQA,   0, 378N, 1420E,  45,    0, TS
WP, 12, 2016083012,   , XRQA,   0, 412N, 1398E,  45,    0, TS
WP, 12, 2016083018,   , XRQA,   0, 438N, 1359E,  35,    0, EX
WP, 12, 2016083100,   , XRQA,   0, 451N, 1344E,  35,    0, EX
WP, 12, 2016083106,   , XRQA,   0, 455N, 1327E,  35,    0, EX
WP, 12, 2016083112,   , XRQA,   0, 454N, 1311E,  30,    0, EX
WP, 12, 2016083118,   , XRQA,   0, 450N, 1288E,  30,    0, EX
