WP, 25, 1963121700,   , XRQA,   0,  24N, 1785E,  15,    0, DB
WP, 25, 1963121706,   , XRQA,   0,  25N, 1773E,  15,    0, DB
WP, 25, 1963121712,   , XRQA,   0,  26N, 1760E,  15,    0, DB
WP, 25, 1963121718,   , XRQA,   0,  27N, 1748E,  20,    0, DB
WP, 25, 1963121800,   , XRQA,   0,  29N, 1738E,  20,    0, DB
WP, 25, 1963121806,   , XRQA,   0,  32N, 1729E,  25,    0, TD
WP, 25, 1963121812,   , XRQA,   0,  36N, 1720E,  25,    0, TD
WP, 25, 1963121818,   , XRQA,   0,  42N, 1714E,  30,    0, TD
WP, 25, 1963121900,   , XRQA,   0,  46N, 1708E,  30,    0, TD
WP, 25, 1963121906,   , XRQA,   0,  51N, 1701E,  35,    0, TS
WP, 25, 1963121912,   , XRQA,   0,  56N, 1696E,  40,    0, TS
WP, 25, 1963121918,   , XRQA,   0,  62N, 1691E,  35,    0, TS
WP, 25, 1963122000,   , XRQA,   0,  69N, 1687E,  40,    0, TS
WP, 25, 1963122006,   , XRQA,   0,  75N, 1682E,  45,    0, TS
WP, 25, 1963122012,   , XRQA,   0,  79N, 1673E,  45,    0, TS
WP, 25, 1963122018,   , XRQA,   0,  81N, 1661E,  45,    0, TS
WP, 25, 1963122100,   , XRQA,   0,  84N, 1649E,  50,    0, TS
WP, 25, 1963122106,   , XRQA,   0,  87N, 1639E,  50,    0, TS
WP, 25, 1963122112,   , XRQA,   0,  89N, 1629E,  55,    0, TS
WP, 25, 1963122118,   , XRQA,   0,  90N, 1618E,  65,    0, TY
WP, 25, 1963122200,   , XRQA,   0,  91N, 1605E,  55,    0, TS
WP, 25, 1963122206,   , XRQA,   0,  95N, 1592E,  50,    0, TS
WP, 25, 1963122212,   , XRQA,   0,  99N, 1577E,  55,    0, TS
WP, 25, 1963122218,   , XRQA,   0, 105N, 1564E,  65,    0, TY
WP, 25, 1963122300,   , XRQA,   0, 111N, 1552E,  65,    0, TY
WP, 25, 1963122306,   , XRQA,   0, 117N, 1542E,  50,    0, TS
WP, 25, 1963122312,   , XRQA,   0, 124N, 1529E,  55,    0, TS
WP, 25, 1963122318,   , XRQA,   0, 128N, 1514E,  65,    0, TY
WP, 25, 1963122400,   , XRQA,   0, 132N, 1497E,  70,    0, TY
WP, 25, 1963122406,   , XRQA,   0, 137N, 1484E,  80,    0, TY
WP, 25, 1963122412,   , XRQA,   0, 141N, 1470E,  90,    0, TY
WP, 25, 1963122418,   , XRQA,   0, 144N, 1458E, 115,    0, TY
WP, 25, 1963122500,   , XRQA,   0, 146N, 1447E, 105,    0, TY
WP, 25, 1963122506,   , XRQA,   0, 149N, 1435E,  90,    0, TY
WP, 25, 1963122512,   , XRQA,   0, 154N, 1422E,  85,    0, TY
WP, 25, 1963122518,   , XRQA,   0, 157N, 1411E,  95,    0, TY
WP, 25, 1963122600,   , XRQA,   0, 161N, 1401E, 120,    0, TY
WP, 25, 1963122606,   , XRQA,   0, 165N, 1393E, 125,    0, TY
WP, 25, 1963122612,   , XRQA,   0, 169N, 1386E, 125,    0, TY
WP, 25, 1963122618,   , XRQA,   0, 176N, 1386E, 120,    0, TY
WP, 25, 1963122700,   , XRQA,   0, 182N, 1389E, 115,    0, TY
WP, 25, 1963122706,   , XRQA,   0, 189N, 1394E, 110,    0, TY
WP, 25, 1963122712,   , XRQA,   0, 199N, 1404E,  95,    0, TY
WP, 25, 1963122718,   , XRQA,   0, 209N, 1421E, 110,    0, TY
WP, 25, 1963122800,   , XRQA,   0, 222N, 1444E, 100,    0, TY
WP, 25, 1963122806,   , XRQA,   0, 233N, 1471E,  90,    0, TY
WP, 25, 1963122812,   , XRQA,   0, 240N, 1506E,  75,    0, TY
WP, 25, 1963122818,   , XRQA,   0, 246N, 1543E,  60,    0, TS
WP, 25, 1963122900,   , XRQA,   0, 252N, 1568E,  50,    0, TS
WP, 25, 1963122906,   , XRQA,   0, 261N, 1591E,  35,    0, TS
WP, 25, 1963122912,   , XRQA,   0, 276N, 1625E,  30,    0, TD
WP, 25, 1963122918,   , XRQA,   0, 293N, 1664E,  25,    0, TD
WP, 25, 1963123000,   , XRQA,   0, 302N, 1705E,  30,    0, EX
WP, 25, 1963123006,   , XRQA,   0, 309N, 1743E,  35,    0, EX
WP, 25, 1963123012,   , XRQA,   0, 315N, 1785E,  35,    0, EX
WP, 25, 1963123018,   , XRQA,   0, 322N, 1776W,  35,    0, EX
