WP, 61, 2009090200,   , XRQA,   0, 116N, 1441E,  15,    0, DB
WP, 61, 2009090206,   , XRQA,   0, 124N, 1446E,  15,    0, DB
WP, 61, 2009090212,   , XRQA,   0, 136N, 1450E,  15,    0, DB
WP, 61, 2009090218,   , XRQA,   0, 149N, 1455E,  20,    0, DB
WP, 61, 2009090300,   , XRQA,   0, 156N, 1462E,  20,    0, DB
WP, 61, 2009090306,   , XRQA,   0, 164N, 1469E,  20,    0, DB
WP, 61, 2009090312,   , XRQA,   0, 169N, 1475E,  25,    0, TD
WP, 61, 2009090318,   , XRQA,   0, 174N, 1483E,  25,    0, TD
WP, 61, 2009090400,   , XRQA,   0, 178N, 1488E,  30,    0, TD
WP, 61, 2009090406,   , XRQA,   0, 184N, 1492E,  30,    0, TD
WP, 61, 2009090412,   , XRQA,   0, 192N, 1497E,  35,    0, MD
WP, 61, 2009090418,   , XRQA,   0, 205N, 1501E,  40,    0, MD
WP, 61, 2009090500,   , XRQA,   0, 219N, 1508E,  45,    0, TS
WP, 61, 2009090506,   , XRQA,   0, 234N, 1514E,  45,    0, TS
WP, 61, 2009090512,   , XRQA,   0, 249N, 1525E,  40,    0, TS
WP, 61, 2009090518,   , XRQA,   0, 266N, 1534E,  35,    0, TS
WP, 61, 2009090600,   , XRQA,   0, 276N, 1540E,  35,    0, TS
WP, 61, 2009090606,   , XRQA,   0, 284N, 1543E,  35,    0, TS
WP, 61, 2009090612,   , XRQA,   0, 291N, 1542E,  30,    0, TD
WP, 61, 2009090618,   , XRQA,   0, 299N, 1539E,  35,    0, SS
WP, 61, 2009090700,   , XRQA,   0, 307N, 1537E,  30,    0, SS
WP, 61, 2009090706,   , XRQA,   0, 315N, 1533E,  30,    0, SS
WP, 61, 2009090712,   , XRQA,   0, 326N, 1529E,  25,    0, SS
WP, 61, 2009090718,   , XRQA,   0, 334N, 1527E,  25,    0, SS
WP, 61, 2009090800,   , XRQA,   0, 347N, 1533E,  25,    0, EX
WP, 61, 2009090806,   , XRQA,   0, 361N, 1543E,  35,    0, EX
WP, 61, 2009090812,   , XRQA,   0, 377N, 1564E,  35,    0, EX
WP, 61, 2009090818,   , XRQA,   0, 393N, 1591E,  35,    0, EX
