SH, 04, 1981112900,   , XRQA,   0, 161S, 1336E,  15,    0, DB
SH, 04, 1981112906,   , XRQA,   0, 165S, 1343E,  15,    0, DB
SH, 04, 1981112912,   , XRQA,   0, 167S, 1355E,  20,    0, DB
SH, 04, 1981112918,   , XRQA,   0, 168S, 1368E,  20,    0, DB
SH, 04, 1981113000,   , XRQA,   0, 167S, 1378E,  25,    0, MD
SH, 04, 1981113006,   , XRQA,   0, 165S, 1386E,  25,    0, MD
SH, 04, 1981113012,   , XRQA,   0, 162S, 1392E,  30,    0, MD
SH, 04, 1981113018,   , XRQA,   0, 157S, 1392E,  30,    0, MD
SH, 04, 1981120100,   , XRQA,   0, 152S, 1389E,  35,    0, TS
SH, 04, 1981120106,   , XRQA,   0, 149S, 1381E,  30,    0, TD
SH, 04, 1981120112,   , XRQA,   0, 145S, 1373E,  25,    0, TD
SH, 04, 1981120118,   , XRQA,   0, 142S, 1366E,  25,    0, TD
SH, 04, 1981120200,   , XRQA,   0, 138S, 1360E,  25,    0, TD
SH, 04, 1981120206,   , XRQA,   0, 132S, 1355E,  30,    0, TD
SH, 04, 1981120212,   , XRQA,   0, 124S, 1349E,  35,    0, MD
SH, 04, 1981120218,   , XRQA,   0, 118S, 1342E,  35,    0, MD
SH, 04, 1981120300,   , XRQA,   0, 114S, 1333E,  30,    0, MD
SH, 04, 1981120306,   , XRQA,   0, 116S, 1324E,  25,    0, MD
SH, 04, 1981120312,   , XRQA,   0, 120S, 1314E,  25,    0, TD
SH, 04, 1981120318,   , XRQA,   0, 118S, 1304E,  35,    0, TS
SH, 04, 1981120400,   , XRQA,   0, 113S, 1293E,  30,    0, TD
SH, 04, 1981120406,   , XRQA,   0, 113S, 1282E,  25,    0, TD
SH, 04, 1981120412,   , XRQA,   0, 116S, 1274E,  25,    0, MD
SH, 04, 1981120418,   , XRQA,   0, 120S, 1265E,  30,    0, MD
SH, 04, 1981120500,   , XRQA,   0, 122S, 1259E,  35,    0, MD
SH, 04, 1981120506,   , XRQA,   0, 127S, 1254E,  30,    0, MD
SH, 04, 1981120512,   , XRQA,   0, 133S, 1243E,  30,    0, MD
SH, 04, 1981120518,   , XRQA,   0, 137S, 1234E,  35,    0, MD
SH, 04, 1981120600,   , XRQA,   0, 143S, 1223E,  35,    0, TS
SH, 04, 1981120606,   , XRQA,   0, 151S, 1211E,  30,    0, TD
SH, 04, 1981120612,   , XRQA,   0, 163S, 1201E,  25,    0, TD
SH, 04, 1981120618,   , XRQA,   0, 177S, 1193E,  25,    0, TD
SH, 04, 1981120700,   , XRQA,   0, 191S, 1190E,  20,    0, DB
SH, 04, 1981120706,   , XRQA,   0, 204S, 1194E,  20,    0, DB
