SH, 66, 1982041300,   , XRQA,   0,  51S, 1635E,  15,    0, DB
SH, 66, 1982041306,   , XRQA,   0,  49S, 1624E,  15,    0, DB
SH, 66, 1982041312,   , XRQA,   0,  48S, 1611E,  15,    0, DB
SH, 66, 1982041318,   , XRQA,   0,  50S, 1599E,  15,    0, DB
SH, 66, 1982041400,   , XRQA,   0,  53S, 1587E,  15,    0, DB
SH, 66, 1982041406,   , XRQA,   0,  57S, 1580E,  15,    0, DB
SH, 66, 1982041412,   , XRQA,   0,  63S, 1575E,  20,    0, DB
SH, 66, 1982041418,   , XRQA,   0,  68S, 1571E,  20,    0, DB
SH, 66, 1982041500,   , XRQA,   0,  75S, 1567E,  20,    0, DB
SH, 66, 1982041506,   , XRQA,   0,  82S, 1565E,  20,    0, DB
SH, 66, 1982041512,   , XRQA,   0,  90S, 1563E,  20,    0, DB
SH, 66, 1982041518,   , XRQA,   0,  98S, 1563E,  25,    0, TD
SH, 66, 1982041600,   , XRQA,   0, 104S, 1564E,  25,    0, TD
SH, 66, 1982041606,   , XRQA,   0, 111S, 1565E,  30,    0, TD
SH, 66, 1982041612,   , XRQA,   0, 118S, 1566E,  35,    0, TS
SH, 66, 1982041618,   , XRQA,   0, 128S, 1568E,  35,    0, TS
SH, 66, 1982041700,   , XRQA,   0, 140S, 1572E,  35,    0, TS
SH, 66, 1982041706,   , XRQA,   0, 151S, 1577E,  40,    0, TS
SH, 66, 1982041712,   , XRQA,   0, 166S, 1583E,  35,    0, TS
SH, 66, 1982041718,   , XRQA,   0, 180S, 1589E,  30,    0, TD
SH, 66, 1982041800,   , XRQA,   0, 197S, 1596E,  30,    0, TD
SH, 66, 1982041806,   , XRQA,   0, 214S, 1607E,  25,    0, TD
SH, 66, 1982041812,   , XRQA,   0, 231S, 1620E,  25,    0, SD
SH, 66, 1982041818,   , XRQA,   0, 250S, 1640E,  30,    0, SD
SH, 66, 1982041900,   , XRQA,   0, 274S, 1667E,  35,    0, EX
SH, 66, 1982041906,   , XRQA,   0, 301S, 1694E,  35,    0, EX
SH, 66, 1982041912,   , XRQA,   0, 330S, 1730E,  35,    0, EX
