SH, 25, 1982033006,   , XRQA,   0,  22S, 1623E,  15,    0, DB
SH, 25, 1982033012,   , XRQA,   0,  24S, 1615E,  15,    0, DB
SH, 25, 1982033018,   , XRQA,   0,  25S, 1607E,  20,    0, DB
SH, 25, 1982033100,   , XRQA,   0,  26S, 1601E,  25,    0, TD
SH, 25, 1982033106,   , XRQA,   0,  28S, 1597E,  25,    0, TD
SH, 25, 1982033112,   , XRQA,   0,  31S, 1595E,  30,    0, TD
SH, 25, 1982033118,   , XRQA,   0,  36S, 1592E,  35,    0, TS
SH, 25, 1982040100,   , XRQA,   0,  44S, 1584E,  40,    0, TS
SH, 25, 1982040106,   , XRQA,   0,  55S, 1583E,  45,    0, TS
SH, 25, 1982040112,   , XRQA,   0,  64S, 1584E,  45,    0, TS
SH, 25, 1982040118,   , XRQA,   0,  73S, 1584E,  50,    0, TS
SH, 25, 1982040200,   , XRQA,   0,  82S, 1584E,  40,    0, MD
SH, 25, 1982040206,   , XRQA,   0,  90S, 1585E,  35,    0, TS
SH, 25, 1982040212,   , XRQA,   0,  95S, 1584E,  40,    0, TS
SH, 25, 1982040218,   , XRQA,   0, 100S, 1583E,  50,    0, TS
SH, 25, 1982040300,   , XRQA,   0, 104S, 1582E,  55,    0, TS
SH, 25, 1982040306,   , XRQA,   0, 108S, 1580E,  55,    0, TS
SH, 25, 1982040312,   , XRQA,   0, 112S, 1578E,  60,    0, TS
SH, 25, 1982040318,   , XRQA,   0, 117S, 1576E,  65,    0, TY
SH, 25, 1982040400,   , XRQA,   0, 123S, 1573E,  75,    0, TY
SH, 25, 1982040406,   , XRQA,   0, 132S, 1570E,  80,    0, TY
SH, 25, 1982040412,   , XRQA,   0, 142S, 1567E,  85,    0, TY
SH, 25, 1982040418,   , XRQA,   0, 153S, 1565E,  90,    0, TY
SH, 25, 1982040500,   , XRQA,   0, 165S, 1564E,  95,    0, TY
SH, 25, 1982040506,   , XRQA,   0, 176S, 1566E, 110,    0, TY
SH, 25, 1982040512,   , XRQA,   0, 186S, 1569E, 115,    0, TY
SH, 25, 1982040518,   , XRQA,   0, 195S, 1575E, 110,    0, TY
SH, 25, 1982040600,   , XRQA,   0, 203S, 1583E, 110,    0, TY
SH, 25, 1982040606,   , XRQA,   0, 211S, 1591E, 105,    0, TY
SH, 25, 1982040612,   , XRQA,   0, 218S, 1599E,  95,    0, TY
SH, 25, 1982040618,   , XRQA,   0, 226S, 1608E,  95,    0, TY
SH, 25, 1982040700,   , XRQA,   0, 234S, 1619E,  90,    0, TY
SH, 25, 1982040706,   , XRQA,   0, 244S, 1632E,  85,    0, TY
SH, 25, 1982040712,   , XRQA,   0, 254S, 1646E,  65,    0, TY
SH, 25, 1982040718,   , XRQA,   0, 264S, 1661E,  50,    0, TS
SH, 25, 1982040800,   , XRQA,   0, 274S, 1678E,  45,    0, EX
SH, 25, 1982040806,   , XRQA,   0, 285S, 1697E,  45,    0, EX
SH, 25, 1982040812,   , XRQA,   0, 298S, 1718E,  40,    0, EX
SH, 25, 1982040818,   , XRQA,   0, 313S, 1741E,  45,    0, EX
SH, 25, 1982040900,   , XRQA,   0, 331S, 1766E,  45,    0, EX
SH, 25, 1982040906,   , XRQA,   0, 353S, 1790E,  50,    0, EX
SH, 25, 1982040912,   , XRQA,   0, 373S, 1793W,  55,    0, EX
SH, 25, 1982040918,   , XRQA,   0, 384S, 1776W,  55,    0, EX
SH, 25, 1982041000,   , XRQA,   0, 392S, 1762W,  65,    0, EX
SH, 25, 1982041006,   , XRQA,   0, 399S, 1750W,  65,    0, EX
SH, 25, 1982041012,   , XRQA,   0, 404S, 1740W,  65,    0, EX
SH, 25, 1982041018,   , XRQA,   0, 407S, 1732W,  65,    0, EX
