SH, 01, 1981072412,   , XRQA,   0, 107S,  882E,  15,    0, DB
SH, 01, 1981072418,   , XRQA,   0, 110S,  879E,  20,    0, DB
SH, 01, 1981072500,   , XRQA,   0, 113S,  875E,  25,    0, TD
SH, 01, 1981072506,   , XRQA,   0, 116S,  871E,  30,    0, TD
SH, 01, 1981072512,   , XRQA,   0, 118S,  867E,  35,    0, TS
SH, 01, 1981072518,   , XRQA,   0, 116S,  864E,  35,    0, TS
SH, 01, 1981072600,   , XRQA,   0, 113S,  862E,  40,    0, TS
SH, 01, 1981072606,   , XRQA,   0, 109S,  861E,  35,    0, TS
SH, 01, 1981072612,   , XRQA,   0, 104S,  860E,  30,    0, TD
SH, 01, 1981072618,   , XRQA,   0, 101S,  857E,  30,    0, TD
SH, 01, 1981072700,   , XRQA,   0, 100S,  853E,  25,    0, TD
SH, 01, 1981072706,   , XRQA,   0, 103S,  851E,  25,    0, TD
SH, 01, 1981072712,   , XRQA,   0, 107S,  849E,  25,    0, TD
SH, 01, 1981072718,   , XRQA,   0, 111S,  849E,  25,    0, TD
SH, 01, 1981072800,   , XRQA,   0, 116S,  848E,  25,    0, TD
SH, 01, 1981072806,   , XRQA,   0, 120S,  847E,  20,    0, DB
SH, 01, 1981072812,   , XRQA,   0, 125S,  846E,  20,    0, DB
SH, 01, 1981072818,   , XRQA,   0, 129S,  843E,  20,    0, DB
SH, 01, 1981072900,   , XRQA,   0, 134S,  840E,  20,    0, DB
SH, 01, 1981072906,   , XRQA,   0, 140S,  837E,  15,    0, DB
SH, 01, 1981072912,   , XRQA,   0, 147S,  835E,  15,    0, DB
SH, 01, 1981072918,   , XRQA,   0, 155S,  831E,  15,    0, DB
