SH, 18, 1982020212,   , XRQA,   0, 132S, 1397E,  15,    0, DB
SH, 18, 1982020218,   , XRQA,   0, 129S, 1392E,  15,    0, DB
SH, 18, 1982020300,   , XRQA,   0, 128S, 1388E,  15,    0, DB
SH, 18, 1982020306,   , XRQA,   0, 131S, 1389E,  20,    0, DB
SH, 18, 1982020312,   , XRQA,   0, 133S, 1392E,  20,    0, DB
SH, 18, 1982020318,   , XRQA,   0, 135S, 1398E,  25,    0, TD
SH, 18, 1982020400,   , XRQA,   0, 135S, 1403E,  25,    0, TD
SH, 18, 1982020406,   , XRQA,   0, 138S, 1405E,  30,    0, TD
SH, 18, 1982020412,   , XRQA,   0, 141S, 1399E,  35,    0, TS
SH, 18, 1982020418,   , XRQA,   0, 143S, 1394E,  45,    0, TS
SH, 18, 1982020500,   , XRQA,   0, 145S, 1383E,  50,    0, TS
SH, 18, 1982020506,   , XRQA,   0, 147S, 1371E,  65,    0, TY
SH, 18, 1982020512,   , XRQA,   0, 149S, 1359E,  60,    0, TS
SH, 18, 1982020518,   , XRQA,   0, 151S, 1351E,  50,    0, TS
SH, 18, 1982020600,   , XRQA,   0, 149S, 1343E,  35,    0, TS
SH, 18, 1982020606,   , XRQA,   0, 148S, 1338E,  30,    0, TD
SH, 18, 1982020612,   , XRQA,   0, 148S, 1328E,  25,    0, TD
SH, 18, 1982020618,   , XRQA,   0, 147S, 1320E,  25,    0, TD
SH, 18, 1982020700,   , XRQA,   0, 145S, 1315E,  25,    0, TD
SH, 18, 1982020706,   , XRQA,   0, 146S, 1309E,  20,    0, DB
SH, 18, 1982020712,   , XRQA,   0, 149S, 1305E,  20,    0, DB
SH, 18, 1982020718,   , XRQA,   0, 155S, 1297E,  15,    0, DB
SH, 18, 1982020800,   , XRQA,   0, 118S, 1290E,  15,    0, DB
SH, 18, 1982020806,   , XRQA,   0, 170S, 1279E,  20,    0, DB
SH, 18, 1982020812,   , XRQA,   0, 180S, 1265E,  20,    0, DB
SH, 18, 1982020818,   , XRQA,   0, 186S, 1251E,  20,    0, DB
SH, 18, 1982020900,   , XRQA,   0, 192S, 1237E,  20,    0, DB
SH, 18, 1982020906,   , XRQA,   0, 196S, 1231E,  20,    0, DB
SH, 18, 1982020912,   , XRQA,   0, 199S, 1227E,  25,    0, MD
SH, 18, 1982020918,   , XRQA,   0, 198S, 1224E,  25,    0, MD
SH, 18, 1982021000,   , XRQA,   0, 196S, 1223E,  30,    0, MD
SH, 18, 1982021006,   , XRQA,   0, 195S, 1226E,  30,    0, MD
SH, 18, 1982021012,   , XRQA,   0, 194S, 1231E,  25,    0, MD
SH, 18, 1982021018,   , XRQA,   0, 195S, 1238E,  25,    0, MD
SH, 18, 1982021100,   , XRQA,   0, 199S, 1250E,  25,    0, MD
SH, 18, 1982021106,   , XRQA,   0, 205S, 1257E,  20,    0, DB
SH, 18, 1982021112,   , XRQA,   0, 215S, 1263E,  20,    0, DB
SH, 18, 1982021118,   , XRQA,   0, 228S, 1266E,  15,    0, DB
SH, 18, 1982021200,   , XRQA,   0, 242S, 1264E,  15,    0, DB
SH, 18, 1982021206,   , XRQA,   0, 255S, 1260E,  15,    0, DB
