SH, 63, 1982020312,   , XRQA,   0, 137S,  613E,  15,    0, DB
SH, 63, 1982020318,   , XRQA,   0, 140S,  606E,  15,    0, DB
SH, 63, 1982020400,   , XRQA,   0, 141S,  599E,  20,    0, DB
SH, 63, 1982020406,   , XRQA,   0, 143S,  595E,  20,    0, DB
SH, 63, 1982020412,   , XRQA,   0, 149S,  598E,  25,    0, TD
SH, 63, 1982020418,   , XRQA,   0, 155S,  600E,  25,    0, TD
SH, 63, 1982020500,   , XRQA,   0, 159S,  605E,  30,    0, TD
SH, 63, 1982020506,   , XRQA,   0, 161S,  598E,  40,    0, TS
SH, 63, 1982020512,   , XRQA,   0, 170S,  588E,  40,    0, TS
SH, 63, 1982020518,   , XRQA,   0, 179S,  579E,  45,    0, TS
SH, 63, 1982020600,   , XRQA,   0, 187S,  571E,  45,    0, TS
SH, 63, 1982020606,   , XRQA,   0, 201S,  559E,  45,    0, TS
SH, 63, 1982020612,   , XRQA,   0, 208S,  550E,  50,    0, TS
SH, 63, 1982020618,   , XRQA,   0, 216S,  541E,  55,    0, TS
SH, 63, 1982020700,   , XRQA,   0, 224S,  535E,  45,    0, TS
SH, 63, 1982020706,   , XRQA,   0, 231S,  531E,  50,    0, TS
SH, 63, 1982020712,   , XRQA,   0, 240S,  523E,  55,    0, TS
SH, 63, 1982020718,   , XRQA,   0, 245S,  517E,  55,    0, TS
SH, 63, 1982020800,   , XRQA,   0, 248S,  508E,  55,    0, TS
SH, 63, 1982020806,   , XRQA,   0, 256S,  500E,  50,    0, TS
SH, 63, 1982020812,   , XRQA,   0, 262S,  497E,  55,    0, TS
SH, 63, 1982020818,   , XRQA,   0, 270S,  494E,  65,    0, TY
SH, 63, 1982020900,   , XRQA,   0, 277S,  490E,  65,    0, TY
SH, 63, 1982020906,   , XRQA,   0, 285S,  483E,  55,    0, TS
SH, 63, 1982020912,   , XRQA,   0, 290S,  476E,  50,    0, TS
SH, 63, 1982020918,   , XRQA,   0, 287S,  471E,  65,    0, TY
SH, 63, 1982021000,   , XRQA,   0, 289S,  469E,  60,    0, TS
SH, 63, 1982021006,   , XRQA,   0, 302S,  470E,  50,    0, TS
SH, 63, 1982021012,   , XRQA,   0, 319S,  473E,  45,    0, TS
SH, 63, 1982021018,   , XRQA,   0, 336S,  480E,  50,    0, TS
SH, 63, 1982021100,   , XRQA,   0, 352S,  495E,  50,    0, TS
SH, 63, 1982021106,   , XRQA,   0, 370S,  520E,  50,    0, TS
SH, 63, 1982021112,   , XRQA,   0, 395S,  551E,  40,    0, TS
SH, 63, 1982021118,   , XRQA,   0, 420S,  587E,  45,    0, EX
SH, 63, 1982021200,   , XRQA,   0, 435S,  615E,  45,    0, EX
SH, 63, 1982021206,   , XRQA,   0, 453S,  652E,  45,    0, EX
