SH, 26, 1982040306,   , XRQA,   0, 116S, 1390E,  15,    0, DB
SH, 26, 1982040312,   , XRQA,   0, 114S, 1385E,  15,    0, DB
SH, 26, 1982040318,   , XRQA,   0, 112S, 1381E,  20,    0, DB
SH, 26, 1982040400,   , XRQA,   0, 111S, 1378E,  25,    0, TD
SH, 26, 1982040406,   , XRQA,   0, 114S, 1380E,  25,    0, TD
SH, 26, 1982040412,   , XRQA,   0, 113S, 1383E,  30,    0, TD
SH, 26, 1982040418,   , XRQA,   0, 111S, 1386E,  35,    0, TS
SH, 26, 1982040500,   , XRQA,   0, 112S, 1390E,  45,    0, TS
SH, 26, 1982040506,   , XRQA,   0, 113S, 1391E,  60,    0, TS
SH, 26, 1982040512,   , XRQA,   0, 113S, 1393E,  75,    0, TY
SH, 26, 1982040518,   , XRQA,   0, 116S, 1394E,  80,    0, TY
SH, 26, 1982040600,   , XRQA,   0, 120S, 1395E,  75,    0, TY
SH, 26, 1982040606,   , XRQA,   0, 124S, 1396E,  75,    0, TY
SH, 26, 1982040612,   , XRQA,   0, 129S, 1398E,  90,    0, TY
SH, 26, 1982040618,   , XRQA,   0, 132S, 1400E,  90,    0, TY
SH, 26, 1982040700,   , XRQA,   0, 139S, 1403E,  95,    0, TY
SH, 26, 1982040706,   , XRQA,   0, 143S, 1407E, 125,    0, TY
SH, 26, 1982040709,   , XRQA,   0, 145S, 1410E, 130,    0, ST
SH, 26, 1982040712,   , XRQA,   0, 146S, 1414E, 100,    0, TY
SH, 26, 1982040718,   , XRQA,   0, 149S, 1423E,  60,    0, TS
SH, 26, 1982040800,   , XRQA,   0, 150S, 1432E,  30,    0, TD
SH, 26, 1982040806,   , XRQA,   0, 150S, 1442E,  25,    0, TD
SH, 26, 1982040812,   , XRQA,   0, 152S, 1454E,  25,    0, TD
SH, 26, 1982040818,   , XRQA,   0, 152S, 1462E,  25,    0, TD
SH, 26, 1982040900,   , XRQA,   0, 150S, 1470E,  25,    0, TD
SH, 26, 1982040906,   , XRQA,   0, 149S, 1479E,  25,    0, TD
SH, 26, 1982040912,   , XRQA,   0, 147S, 1488E,  25,    0, TD
SH, 26, 1982040918,   , XRQA,   0, 145S, 1495E,  25,    0, TD
SH, 26, 1982041000,   , XRQA,   0, 143S, 1502E,  25,    0, TD
SH, 26, 1982041006,   , XRQA,   0, 142S, 1508E,  25,    0, TD
SH, 26, 1982041012,   , XRQA,   0, 142S, 1513E,  30,    0, TD
SH, 26, 1982041018,   , XRQA,   0, 142S, 1518E,  30,    0, TD
SH, 26, 1982041100,   , XRQA,   0, 143S, 1521E,  30,    0, TD
SH, 26, 1982041106,   , XRQA,   0, 143S, 1524E,  30,    0, TD
SH, 26, 1982041112,   , XRQA,   0, 145S, 1527E,  35,    0, TS
SH, 26, 1982041118,   , XRQA,   0, 147S, 1528E,  35,    0, TS
SH, 26, 1982041200,   , XRQA,   0, 150S, 1526E,  35,    0, TS
SH, 26, 1982041206,   , XRQA,   0, 152S, 1524E,  35,    0, TS
SH, 26, 1982041212,   , XRQA,   0, 156S, 1521E,  45,    0, TS
SH, 26, 1982041218,   , XRQA,   0, 161S, 1517E,  45,    0, TS
SH, 26, 1982041300,   , XRQA,   0, 167S, 1511E,  30,    0, TD
SH, 26, 1982041306,   , XRQA,   0, 174S, 1500E,  30,    0, TD
SH, 26, 1982041312,   , XRQA,   0, 171S, 1484E,  25,    0, TD
SH, 26, 1982041318,   , XRQA,   0, 165S, 1468E,  25,    0, TD
SH, 26, 1982041400,   , XRQA,   0, 159S, 1461E,  20,    0, DB
SH, 26, 1982041406,   , XRQA,   0, 155S, 1453E,  20,    0, DB
SH, 26, 1982041412,   , XRQA,   0, 150S, 1449E,  15,    0, DB
SH, 26, 1982041418,   , XRQA,   0, 147S, 1446E,  15,    0, DB
