WP, 25, 2001100900,   , XRQA,   0, 111N, 1404E,  25,    0, DB
WP, 25, 2001100906,   , XRQA,   0, 115N, 1393E,  25,    0, DB
WP, 25, 2001100912,   , XRQA,   0, 120N, 1381E,  25,    0, DB
WP, 25, 2001100918,   , XRQA,   0, 127N, 1369E,  25,    0, DB
WP, 25, 2001101000,   , XRQA,   0, 135N, 1357E,  25,    0, DB
WP, 25, 2001101006,   , XRQA,   0, 143N, 1347E,  30,    0, TD
WP, 25, 2001101012,   , XRQA,   0, 150N, 1339E,  30,    0, TD
WP, 25, 2001101018,   , XRQA,   0, 154N, 1332E,  30,    0, TD
WP, 25, 2001101100,   , XRQA,   0, 158N, 1325E,  35,    0, TS
WP, 25, 2001101106,   , XRQA,   0, 161N, 1317E,  40,    0, TS
WP, 25, 2001101112,   , XRQA,   0, 164N, 1312E,  45,    0, TS
WP, 25, 2001101118,   , XRQA,   0, 168N, 1308E,  40,    0, TS
WP, 25, 2001101200,   , XRQA,   0, 170N, 1304E,  40,    0, TS
WP, 25, 2001101206,   , XRQA,   0, 172N, 1302E,  45,    0, TS
WP, 25, 2001101212,   , XRQA,   0, 174N, 1300E,  35,    0, TS
WP, 25, 2001101218,   , XRQA,   0, 177N, 1299E,  45,    0, TS
WP, 25, 2001101300,   , XRQA,   0, 181N, 1299E,  50,    0, TS
WP, 25, 2001101306,   , XRQA,   0, 183N, 1299E,  50,    0, TS
WP, 25, 2001101312,   , XRQA,   0, 184N, 1299E,  55,    0, TS
WP, 25, 2001101318,   , XRQA,   0, 188N, 1300E,  60,    0, TS
WP, 25, 2001101400,   , XRQA,   0, 194N, 1299E,  55,    0, TS
WP, 25, 2001101406,   , XRQA,   0, 203N, 1297E,  65,    0, TY
WP, 25, 2001101412,   , XRQA,   0, 211N, 1294E,  70,    0, TY
WP, 25, 2001101418,   , XRQA,   0, 218N, 1286E,  75,    0, TY
WP, 25, 2001101500,   , XRQA,   0, 223N, 1277E,  75,    0, TY
WP, 25, 2001101506,   , XRQA,   0, 227N, 1265E,  80,    0, TY
WP, 25, 2001101512,   , XRQA,   0, 232N, 1257E,  80,    0, TY
WP, 25, 2001101518,   , XRQA,   0, 239N, 1251E,  90,    0, TY
WP, 25, 2001101600,   , XRQA,   0, 245N, 1245E, 100,    0, TY
WP, 25, 2001101606,   , XRQA,   0, 254N, 1245E,  90,    0, TY
WP, 25, 2001101612,   , XRQA,   0, 263N, 1249E,  80,    0, TY
WP, 25, 2001101618,   , XRQA,   0, 270N, 1258E,  85,    0, TY
WP, 25, 2001101700,   , XRQA,   0, 277N, 1270E,  55,    0, TS
WP, 25, 2001101706,   , XRQA,   0, 282N, 1286E,  45,    0, TS
WP, 25, 2001101712,   , XRQA,   0, 290N, 1307E,  55,    0, TS
WP, 25, 2001101718,   , XRQA,   0, 295N, 1331E,  65,    0, TY
WP, 25, 2001101800,   , XRQA,   0, 307N, 1363E,  65,    0, TY
WP, 25, 2001101806,   , XRQA,   0, 324N, 1395E,  50,    0, TS
WP, 25, 2001101812,   , XRQA,   0, 335N, 1434E,  50,    0, TS
WP, 25, 2001101818,   , XRQA,   0, 346N, 1458E,  50,    0, EX
WP, 25, 2001101900,   , XRQA,   0, 358N, 1483E,  50,    0, EX
WP, 25, 2001101906,   , XRQA,   0, 372N, 1515E,  50,    0, EX
WP, 25, 2001101912,   , XRQA,   0, 388N, 1546E,  50,    0, EX
WP, 25, 2001101918,   , XRQA,   0, 412N, 1588E,  50,    0, EX
