WP, 19, 1987092300,   , XRQA,   0, 180N, 1660E,  15,    0, DB
WP, 19, 1987092306,   , XRQA,   0, 177N, 1652E,  15,    0, DB
WP, 19, 1987092312,   , XRQA,   0, 175N, 1644E,  15,    0, DB
WP, 19, 1987092318,   , XRQA,   0, 172N, 1637E,  15,    0, DB
WP, 19, 1987092400,   , XRQA,   0, 170N, 1631E,  20,    0, DB
WP, 19, 1987092406,   , XRQA,   0, 171N, 1625E,  20,    0, DB
WP, 19, 1987092412,   , XRQA,   0, 172N, 1619E,  20,    0, DB
WP, 19, 1987092418,   , XRQA,   0, 172N, 1613E,  25,    0, TD
WP, 19, 1987092500,   , XRQA,   0, 171N, 1607E,  30,    0, TD
WP, 19, 1987092506,   , XRQA,   0, 168N, 1598E,  25,    0, TD
WP, 19, 1987092512,   , XRQA,   0, 164N, 1586E,  30,    0, TD
WP, 19, 1987092518,   , XRQA,   0, 161N, 1579E,  25,    0, TD
WP, 19, 1987092600,   , XRQA,   0, 157N, 1575E,  20,    0, DB
WP, 19, 1987092606,   , XRQA,   0, 153N, 1572E,  20,    0, DB
WP, 19, 1987092612,   , XRQA,   0, 150N, 1575E,  15,    0, DB
WP, 19, 1987092618,   , XRQA,   0, 149N, 1582E,  15,    0, DB
WP, 19, 1987092700,   , XRQA,   0, 148N, 1590E,  20,    0, DB
WP, 19, 1987092706,   , XRQA,   0, 152N, 1597E,  25,    0, TD
WP, 19, 1987092712,   , XRQA,   0, 159N, 1592E,  30,    0, TD
WP, 19, 1987092718,   , XRQA,   0, 167N, 1588E,  40,    0, TS
WP, 19, 1987092800,   , XRQA,   0, 179N, 1583E,  45,    0, TS
WP, 19, 1987092806,   , XRQA,   0, 195N, 1586E,  55,    0, TS
WP, 19, 1987092812,   , XRQA,   0, 210N, 1583E,  50,    0, TS
WP, 19, 1987092818,   , XRQA,   0, 224N, 1571E,  50,    0, TS
WP, 19, 1987092900,   , XRQA,   0, 237N, 1557E,  45,    0, TS
WP, 19, 1987092906,   , XRQA,   0, 251N, 1550E,  40,    0, TS
WP, 19, 1987092912,   , XRQA,   0, 265N, 1538E,  40,    0, TS
WP, 19, 1987092918,   , XRQA,   0, 277N, 1519E,  45,    0, TS
WP, 19, 1987093000,   , XRQA,   0, 281N, 1494E,  45,    0, TS
WP, 19, 1987093006,   , XRQA,   0, 279N, 1486E,  40,    0, TS
WP, 19, 1987093012,   , XRQA,   0, 284N, 1486E,  35,    0, TS
WP, 19, 1987093018,   , XRQA,   0, 291N, 1487E,  30,    0, TD
WP, 19, 1987100100,   , XRQA,   0, 299N, 1491E,  30,    0, TD
WP, 19, 1987100106,   , XRQA,   0, 305N, 1497E,  30,    0, TD
WP, 19, 1987100112,   , XRQA,   0, 311N, 1504E,  35,    0, TS
WP, 19, 1987100118,   , XRQA,   0, 318N, 1509E,  35,    0, TS
WP, 19, 1987100200,   , XRQA,   0, 325N, 1514E,  35,    0, TS
WP, 19, 1987100206,   , XRQA,   0, 335N, 1535E,  35,    0, TS
WP, 19, 1987100212,   , XRQA,   0, 347N, 1561E,  35,    0, SS
WP, 19, 1987100218,   , XRQA,   0, 362N, 1594E,  35,    0, SS
WP, 19, 1987100300,   , XRQA,   0, 385N, 1633E,  30,    0, SD
WP, 19, 1987100306,   , XRQA,   0, 402N, 1675E,  30,    0, SD
WP, 19, 1987100312,   , XRQA,   0, 417N, 1724E,  30,    0, EX
WP, 19, 1987100318,   , XRQA,   0, 431N, 1766E,  30,    0, EX
