WP, 12, 1957090406,   , XRQA,   0, 122N, 1682W,  15,    0, DB
WP, 12, 1957090412,   , XRQA,   0, 125N, 1695W,  15,    0, DB
WP, 12, 1957090418,   , XRQA,   0, 128N, 1707W,  20,    0, DB
WP, 12, 1957090500,   , XRQA,   0, 132N, 1718W,  20,    0, DB
WP, 12, 1957090506,   , XRQA,   0, 138N, 1726W,  25,    0, TD
WP, 12, 1957090512,   , XRQA,   0, 145N, 1731W,  25,    0, TD
WP, 12, 1957090518,   , XRQA,   0, 151N, 1737W,  30,    0, TD
WP, 12, 1957090600,   , XRQA,   0, 156N, 1742W,  30,    0, TD
WP, 12, 1957090606,   , XRQA,   0, 162N, 1750W,  30,    0, TD
WP, 12, 1957090612,   , XRQA,   0, 165N, 1763W,  30,    0, TD
WP, 12, 1957090618,   , XRQA,   0, 167N, 1776W,  35,    0, TS
WP, 12, 1957090700,   , XRQA,   0, 170N, 1789W,  35,    0, TS
WP, 12, 1957090706,   , XRQA,   0, 173N, 1798E,  40,    0, TS
WP, 12, 1957090712,   , XRQA,   0, 178N, 1788E,  40,    0, TS
WP, 12, 1957090718,   , XRQA,   0, 184N, 1782E,  45,    0, TS
WP, 12, 1957090800,   , XRQA,   0, 190N, 1777E,  50,    0, TS
WP, 12, 1957090806,   , XRQA,   0, 196N, 1770E,  55,    0, TS
WP, 12, 1957090812,   , XRQA,   0, 197N, 1763E,  65,    0, TY
WP, 12, 1957090818,   , XRQA,   0, 199N, 1755E,  75,    0, TY
WP, 12, 1957090900,   , XRQA,   0, 198N, 1745E,  90,    0, TY
WP, 12, 1957090906,   , XRQA,   0, 198N, 1731E, 115,    0, TY
WP, 12, 1957090912,   , XRQA,   0, 197N, 1716E, 105,    0, TY
WP, 12, 1957090918,   , XRQA,   0, 194N, 1702E,  95,    0, TY
WP, 12, 1957091000,   , XRQA,   0, 192N, 1687E,  80,    0, TY
WP, 12, 1957091006,   , XRQA,   0, 191N, 1671E,  65,    0, TY
WP, 12, 1957091012,   , XRQA,   0, 188N, 1655E,  55,    0, TS
WP, 12, 1957091018,   , XRQA,   0, 185N, 1640E,  50,    0, TS
WP, 12, 1957091100,   , XRQA,   0, 183N, 1627E,  45,    0, TS
WP, 12, 1957091106,   , XRQA,   0, 181N, 1617E,  50,    0, TS
WP, 12, 1957091112,   , XRQA,   0, 179N, 1608E,  45,    0, TS
WP, 12, 1957091118,   , XRQA,   0, 176N, 1602E,  40,    0, TS
WP, 12, 1957091200,   , XRQA,   0, 172N, 1597E,  30,    0, TD
WP, 12, 1957091206,   , XRQA,   0, 165N, 1591E,  30,    0, TD
WP, 12, 1957091212,   , XRQA,   0, 161N, 1584E,  30,    0, TD
WP, 12, 1957091218,   , XRQA,   0, 157N, 1573E,  35,    0, TS
WP, 12, 1957091300,   , XRQA,   0, 155N, 1562E,  45,    0, TS
WP, 12, 1957091306,   , XRQA,   0, 154N, 1549E,  50,    0, TS
WP, 12, 1957091312,   , XRQA,   0, 155N, 1536E,  55,    0, TS
WP, 12, 1957091318,   , XRQA,   0, 156N, 1523E,  60,    0, TS
WP, 12, 1957091400,   , XRQA,   0, 157N, 1510E,  65,    0, TY
WP, 12, 1957091406,   , XRQA,   0, 159N, 1497E,  75,    0, TY
WP, 12, 1957091412,   , XRQA,   0, 162N, 1485E,  90,    0, TY
WP, 12, 1957091418,   , XRQA,   0, 168N, 1473E, 105,    0, TY
WP, 12, 1957091500,   , XRQA,   0, 173N, 1462E, 120,    0, TY
WP, 12, 1957091506,   , XRQA,   0, 179N, 1450E, 110,    0, TY
WP, 12, 1957091512,   , XRQA,   0, 184N, 1438E,  95,    0, TY
WP, 12, 1957091518,   , XRQA,   0, 189N, 1426E,  90,    0, TY
WP, 12, 1957091600,   , XRQA,   0, 196N, 1415E,  95,    0, TY
WP, 12, 1957091606,   , XRQA,   0, 205N, 1404E, 115,    0, TY
WP, 12, 1957091612,   , XRQA,   0, 216N, 1394E, 120,    0, TY
WP, 12, 1957091618,   , XRQA,   0, 227N, 1386E, 110,    0, TY
WP, 12, 1957091700,   , XRQA,   0, 237N, 1382E, 105,    0, TY
WP, 12, 1957091706,   , XRQA,   0, 248N, 1383E, 115,    0, TY
WP, 12, 1957091712,   , XRQA,   0, 256N, 1391E, 115,    0, TY
WP, 12, 1957091718,   , XRQA,   0, 267N, 1403E, 100,    0, TY
WP, 12, 1957091800,   , XRQA,   0, 281N, 1424E,  85,    0, TY
WP, 12, 1957091806,   , XRQA,   0, 296N, 1449E,  75,    0, TY
WP, 12, 1957091812,   , XRQA,   0, 315N, 1488E,  80,    0, TY
WP, 12, 1957091818,   , XRQA,   0, 338N, 1527E,  85,    0, TY
WP, 12, 1957091900,   , XRQA,   0, 365N, 1563E,  80,    0, TY
WP, 12, 1957091906,   , XRQA,   0, 383N, 1595E,  65,    0, TY
WP, 12, 1957091912,   , XRQA,   0, 408N, 1619E,  50,    0, TS
WP, 12, 1957091918,   , XRQA,   0, 419N, 1646E,  55,    0, EX
WP, 12, 1957092000,   , XRQA,   0, 422N, 1682E,  55,    0, EX
WP, 12, 1957092006,   , XRQA,   0, 424N, 1730E,  55,    0, EX
WP, 12, 1957092012,   , XRQA,   0, 431N, 1758E,  65,    0, EX
WP, 12, 1957092018,   , XRQA,   0, 439N, 1770E,  65,    0, EX
WP, 12, 1957092100,   , XRQA,   0, 445N, 1790E,  65,    0, EX
WP, 12, 1957092106,   , XRQA,   0, 451N, 1780W,  65,    0, EX
WP, 12, 1957092112,   , XRQA,   0, 455N, 1745W,  65,    0, EX
WP, 12, 1957092118,   , XRQA,   0, 458N, 1705W,  65,    0, EX
