WP, 28, 1996091700,   , XRQA,   0,  79N, 1746W,  15,    0, DB
WP, 28, 1996091706,   , XRQA,   0,  80N, 1757W,  15,    0, DB
WP, 28, 1996091712,   , XRQA,   0,  81N, 1769W,  15,    0, DB
WP, 28, 1996091718,   , XRQA,   0,  82N, 1782W,  15,    0, DB
WP, 28, 1996091800,   , XRQA,   0,  83N, 1796W,  15,    0, DB
WP, 28, 1996091806,   , XRQA,   0,  84N, 1789E,  15,    0, DB
WP, 28, 1996091812,   , XRQA,   0,  85N, 1774E,  20,    0, DB
WP, 28, 1996091818,   , XRQA,   0,  87N, 1759E,  20,    0, DB
WP, 28, 1996091900,   , XRQA,   0,  88N, 1743E,  20,    0, DB
WP, 28, 1996091906,   , XRQA,   0,  89N, 1728E,  20,    0, DB
WP, 28, 1996091912,   , XRQA,   0,  90N, 1713E,  20,    0, DB
WP, 28, 1996091918,   , XRQA,   0,  91N, 1698E,  20,    0, DB
WP, 28, 1996092000,   , XRQA,   0,  93N, 1684E,  20,    0, DB
WP, 28, 1996092006,   , XRQA,   0,  95N, 1672E,  20,    0, DB
WP, 28, 1996092012,   , XRQA,   0,  97N, 1660E,  20,    0, DB
WP, 28, 1996092018,   , XRQA,   0, 100N, 1650E,  25,    0, TD
WP, 28, 1996092100,   , XRQA,   0, 108N, 1647E,  25,    0, TD
WP, 28, 1996092106,   , XRQA,   0, 119N, 1644E,  25,    0, TD
WP, 28, 1996092112,   , XRQA,   0, 127N, 1639E,  25,    0, TD
WP, 28, 1996092118,   , XRQA,   0, 134N, 1631E,  30,    0, TD
WP, 28, 1996092200,   , XRQA,   0, 139N, 1623E,  30,    0, TD
WP, 28, 1996092206,   , XRQA,   0, 145N, 1611E,  35,    0, TS
WP, 28, 1996092212,   , XRQA,   0, 151N, 1598E,  45,    0, TS
WP, 28, 1996092218,   , XRQA,   0, 156N, 1586E,  55,    0, TS
WP, 28, 1996092300,   , XRQA,   0, 159N, 1572E,  65,    0, TY
WP, 28, 1996092306,   , XRQA,   0, 162N, 1561E,  80,    0, TY
WP, 28, 1996092312,   , XRQA,   0, 163N, 1550E, 110,    0, TY
WP, 28, 1996092318,   , XRQA,   0, 163N, 1539E, 130,    0, ST
WP, 28, 1996092400,   , XRQA,   0, 163N, 1527E, 120,    0, TY
WP, 28, 1996092406,   , XRQA,   0, 162N, 1515E, 100,    0, TY
WP, 28, 1996092412,   , XRQA,   0, 162N, 1502E,  90,    0, TY
WP, 28, 1996092418,   , XRQA,   0, 161N, 1490E, 105,    0, TY
WP, 28, 1996092500,   , XRQA,   0, 160N, 1479E, 115,    0, TY
WP, 28, 1996092506,   , XRQA,   0, 160N, 1466E, 105,    0, TY
WP, 28, 1996092512,   , XRQA,   0, 160N, 1456E, 100,    0, TY
WP, 28, 1996092518,   , XRQA,   0, 162N, 1447E,  85,    0, TY
WP, 28, 1996092600,   , XRQA,   0, 165N, 1439E, 105,    0, TY
WP, 28, 1996092606,   , XRQA,   0, 170N, 1432E, 115,    0, TY
WP, 28, 1996092612,   , XRQA,   0, 174N, 1424E, 120,    0, TY
WP, 28, 1996092618,   , XRQA,   0, 180N, 1418E, 100,    0, TY
WP, 28, 1996092700,   , XRQA,   0, 188N, 1411E,  95,    0, TY
WP, 28, 1996092706,   , XRQA,   0, 196N, 1403E, 110,    0, TY
WP, 28, 1996092712,   , XRQA,   0, 202N, 1396E, 120,    0, TY
WP, 28, 1996092718,   , XRQA,   0, 207N, 1389E, 115,    0, TY
WP, 28, 1996092800,   , XRQA,   0, 211N, 1385E, 125,    0, TY
WP, 28, 1996092806,   , XRQA,   0, 215N, 1381E, 115,    0, TY
WP, 28, 1996092812,   , XRQA,   0, 220N, 1378E, 100,    0, TY
WP, 28, 1996092818,   , XRQA,   0, 227N, 1377E,  90,    0, TY
WP, 28, 1996092900,   , XRQA,   0, 234N, 1381E, 100,    0, TY
WP, 28, 1996092906,   , XRQA,   0, 242N, 1384E,  95,    0, TY
WP, 28, 1996092912,   , XRQA,   0, 252N, 1388E,  75,    0, TY
WP, 28, 1996092918,   , XRQA,   0, 268N, 1395E,  75,    0, TY
WP, 28, 1996093000,   , XRQA,   0, 283N, 1403E,  85,    0, TY
WP, 28, 1996093006,   , XRQA,   0, 299N, 1418E,  70,    0, TY
WP, 28, 1996093012,   , XRQA,   0, 313N, 1441E,  55,    0, TS
WP, 28, 1996093018,   , XRQA,   0, 325N, 1467E,  50,    0, TS
WP, 28, 1996100100,   , XRQA,   0, 334N, 1494E,  40,    0, TS
WP, 28, 1996100106,   , XRQA,   0, 340N, 1523E,  35,    0, TS
WP, 28, 1996100112,   , XRQA,   0, 344N, 1560E,  35,    0, EX
WP, 28, 1996100118,   , XRQA,   0, 349N, 1597E,  35,    0, EX
WP, 28, 1996100200,   , XRQA,   0, 355N, 1632E,  35,    0, EX
WP, 28, 1996100206,   , XRQA,   0, 362N, 1666E,  35,    0, EX
WP, 28, 1996100212,   , XRQA,   0, 369N, 1701E,  35,    0, EX
WP, 28, 1996100218,   , XRQA,   0, 380N, 1734E,  35,    0, EX
WP, 28, 1996100300,   , XRQA,   0, 392N, 1764E,  35,    0, EX
WP, 28, 1996100306,   , XRQA,   0, 405N, 1790E,  35,    0, EX
WP, 28, 1996100312,   , XRQA,   0, 417N, 1775W,  35,    0, EX
WP, 28, 1996100318,   , XRQA,   0, 423N, 1750W,  35,    0, EX
