WP, 09, 1995081200,   , XRQA,   0, 100N, 1293E,  15,    0, DB
WP, 09, 1995081206,   , XRQA,   0, 103N, 1282E,  15,    0, DB
WP, 09, 1995081212,   , XRQA,   0, 105N, 1271E,  15,    0, DB
WP, 09, 1995081218,   , XRQA,   0, 109N, 1259E,  15,    0, DB
WP, 09, 1995081300,   , XRQA,   0, 112N, 1249E,  15,    0, DB
WP, 09, 1995081306,   , XRQA,   0, 116N, 1241E,  20,    0, DB
WP, 09, 1995081312,   , XRQA,   0, 120N, 1233E,  20,    0, DB
WP, 09, 1995081318,   , XRQA,   0, 124N, 1225E,  20,    0, DB
WP, 09, 1995081400,   , XRQA,   0, 127N, 1215E,  20,    0, DB
WP, 09, 1995081406,   , XRQA,   0, 128N, 1204E,  20,    0, DB
WP, 09, 1995081412,   , XRQA,   0, 129N, 1195E,  20,    0, DB
WP, 09, 1995081418,   , XRQA,   0, 130N, 1187E,  25,    0, TD
WP, 09, 1995081500,   , XRQA,   0, 131N, 1180E,  25,    0, TD
WP, 09, 1995081506,   , XRQA,   0, 132N, 1174E,  30,    0, TD
WP, 09, 1995081512,   , XRQA,   0, 133N, 1168E,  30,    0, TD
WP, 09, 1995081518,   , XRQA,   0, 134N, 1162E,  30,    0, TD
WP, 09, 1995081600,   , XRQA,   0, 136N, 1155E,  35,    0, TS
WP, 09, 1995081606,   , XRQA,   0, 140N, 1148E,  30,    0, TD
WP, 09, 1995081612,   , XRQA,   0, 145N, 1141E,  30,    0, TD
WP, 09, 1995081618,   , XRQA,   0, 150N, 1135E,  30,    0, TD
WP, 09, 1995081700,   , XRQA,   0, 155N, 1129E,  30,    0, TD
WP, 09, 1995081706,   , XRQA,   0, 160N, 1125E,  35,    0, TS
WP, 09, 1995081712,   , XRQA,   0, 165N, 1123E,  45,    0, TS
WP, 09, 1995081718,   , XRQA,   0, 171N, 1122E,  55,    0, TS
WP, 09, 1995081800,   , XRQA,   0, 178N, 1121E,  65,    0, TY
WP, 09, 1995081806,   , XRQA,   0, 185N, 1121E,  75,    0, TY
WP, 09, 1995081812,   , XRQA,   0, 189N, 1121E,  85,    0, TY
WP, 09, 1995081818,   , XRQA,   0, 193N, 1119E,  90,    0, TY
WP, 09, 1995081900,   , XRQA,   0, 196N, 1116E,  80,    0, TY
WP, 09, 1995081906,   , XRQA,   0, 199N, 1111E,  70,    0, TY
WP, 09, 1995081912,   , XRQA,   0, 204N, 1106E,  45,    0, TS
WP, 09, 1995081918,   , XRQA,   0, 207N, 1101E,  35,    0, TS
WP, 09, 1995082000,   , XRQA,   0, 212N, 1094E,  45,    0, TS
WP, 09, 1995082006,   , XRQA,   0, 218N, 1089E,  40,    0, TS
WP, 09, 1995082012,   , XRQA,   0, 222N, 1085E,  45,    0, TS
WP, 09, 1995082018,   , XRQA,   0, 229N, 1081E,  35,    0, TS
WP, 09, 1995082100,   , XRQA,   0, 230N, 1077E,  30,    0, TD
WP, 09, 1995082106,   , XRQA,   0, 232N, 1072E,  25,    0, TD
WP, 09, 1995082112,   , XRQA,   0, 229N, 1065E,  20,    0, DB
WP, 09, 1995082118,   , XRQA,   0, 227N, 1058E,  15,    0, DB
WP, 09, 1995082200,   , XRQA,   0, 225N, 1048E,  15,    0, DB
WP, 09, 1995082206,   , XRQA,   0, 223N, 1035E,  15,    0, DB
