WP, 61, 1976092012,   , XRQA,   0, 167N, 1688W,  15,    0, DB
WP, 61, 1976092018,   , XRQA,   0, 169N, 1698W,  20,    0, DB
WP, 61, 1976092100,   , XRQA,   0, 173N, 1706W,  20,    0, DB
WP, 61, 1976092106,   , XRQA,   0, 175N, 1713W,  25,    0, TD
WP, 61, 1976092112,   , XRQA,   0, 177N, 1721W,  30,    0, TD
WP, 61, 1976092118,   , XRQA,   0, 180N, 1728W,  35,    0, TS
WP, 61, 1976092200,   , XRQA,   0, 184N, 1735W,  40,    0, TS
WP, 61, 1976092206,   , XRQA,   0, 187N, 1743W,  30,    0, TD
WP, 61, 1976092212,   , XRQA,   0, 189N, 1752W,  25,    0, TD
WP, 61, 1976092218,   , XRQA,   0, 191N, 1762W,  20,    0, DB
WP, 61, 1976092300,   , XRQA,   0, 189N, 1775W,  20,    0, DB
WP, 61, 1976092306,   , XRQA,   0, 186N, 1788W,  25,    0, TD
WP, 61, 1976092312,   , XRQA,   0, 183N, 1800E,  30,    0, TD
WP, 61, 1976092318,   , XRQA,   0, 181N, 1787E,  30,    0, TD
WP, 61, 1976092400,   , XRQA,   0, 179N, 1774E,  35,    0, TS
WP, 61, 1976092406,   , XRQA,   0, 178N, 1760E,  45,    0, TS
WP, 61, 1976092412,   , XRQA,   0, 177N, 1747E,  40,    0, TS
WP, 61, 1976092418,   , XRQA,   0, 179N, 1737E,  35,    0, TS
WP, 61, 1976092500,   , XRQA,   0, 182N, 1729E,  30,    0, TD
WP, 61, 1976092506,   , XRQA,   0, 186N, 1720E,  25,    0, TD
WP, 61, 1976092512,   , XRQA,   0, 191N, 1711E,  20,    0, DB
WP, 61, 1976092518,   , XRQA,   0, 197N, 1704E,  20,    0, DB
WP, 61, 1976092600,   , XRQA,   0, 204N, 1697E,  25,    0, TD
WP, 61, 1976092606,   , XRQA,   0, 211N, 1691E,  30,    0, TD
WP, 61, 1976092612,   , XRQA,   0, 219N, 1685E,  35,    0, TS
WP, 61, 1976092618,   , XRQA,   0, 227N, 1679E,  40,    0, TS
WP, 61, 1976092700,   , XRQA,   0, 237N, 1675E,  30,    0, TD
WP, 61, 1976092706,   , XRQA,   0, 250N, 1673E,  25,    0, TD
WP, 61, 1976092712,   , XRQA,   0, 264N, 1674E,  25,    0, TD
WP, 61, 1976092718,   , XRQA,   0, 278N, 1677E,  25,    0, TD
WP, 61, 1976092800,   , XRQA,   0, 293N, 1682E,  20,    0, DB
WP, 61, 1976092806,   , XRQA,   0, 310N, 1692E,  20,    0, DB
WP, 61, 1976092812,   , XRQA,   0, 332N, 1705E,  20,    0, DB
