WP, 19, 1991090800,   , XRQA,   0, 119N, 1380E,  25,    0, TD
WP, 19, 1991090806,   , XRQA,   0, 111N, 1393E,  25,    0, TD
WP, 19, 1991090812,   , XRQA,   0, 110N, 1406E,  25,    0, TD
WP, 19, 1991090818,   , XRQA,   0, 113N, 1417E,  30,    0, TD
WP, 19, 1991090900,   , XRQA,   0, 118N, 1423E,  30,    0, TD
WP, 19, 1991090906,   , XRQA,   0, 125N, 1426E,  30,    0, TD
WP, 19, 1991090912,   , XRQA,   0, 132N, 1424E,  30,    0, TD
WP, 19, 1991090918,   , XRQA,   0, 140N, 1419E,  35,    0, TS
WP, 19, 1991091000,   , XRQA,   0, 146N, 1410E,  40,    0, TS
WP, 19, 1991091006,   , XRQA,   0, 154N, 1402E,  40,    0, TS
WP, 19, 1991091012,   , XRQA,   0, 166N, 1392E,  50,    0, TS
WP, 19, 1991091018,   , XRQA,   0, 179N, 1380E,  55,    0, TS
WP, 19, 1991091100,   , XRQA,   0, 191N, 1361E,  60,    0, TS
WP, 19, 1991091106,   , XRQA,   0, 202N, 1344E,  60,    0, TS
WP, 19, 1991091112,   , XRQA,   0, 211N, 1330E,  65,    0, TY
WP, 19, 1991091118,   , XRQA,   0, 221N, 1316E,  65,    0, TY
WP, 19, 1991091200,   , XRQA,   0, 229N, 1303E,  70,    0, TY
WP, 19, 1991091206,   , XRQA,   0, 240N, 1292E,  70,    0, TY
WP, 19, 1991091212,   , XRQA,   0, 248N, 1285E,  75,    0, TY
WP, 19, 1991091218,   , XRQA,   0, 255N, 1279E,  75,    0, TY
WP, 19, 1991091300,   , XRQA,   0, 267N, 1277E,  85,    0, TY
WP, 19, 1991091306,   , XRQA,   0, 283N, 1279E,  95,    0, TY
WP, 19, 1991091312,   , XRQA,   0, 299N, 1284E,  90,    0, TY
WP, 19, 1991091318,   , XRQA,   0, 318N, 1292E,  80,    0, TY
WP, 19, 1991091400,   , XRQA,   0, 341N, 1309E,  75,    0, TY
WP, 19, 1991091406,   , XRQA,   0, 361N, 1344E,  75,    0, EX
WP, 19, 1991091412,   , XRQA,   0, 379N, 1398E,  75,    0, EX
WP, 19, 1991091418,   , XRQA,   0, 390N, 1450E,  75,    0, EX
WP, 19, 1991091500,   , XRQA,   0, 407N, 1510E,  75,    0, EX
WP, 19, 1991091506,   , XRQA,   0, 410N, 1560E,  75,    0, EX
WP, 19, 1991091512,   , XRQA,   0, 410N, 1620E,  85,    0, EX
WP, 19, 1991091518,   , XRQA,   0, 410N, 1650E,  85,    0, EX
WP, 19, 1991091600,   , XRQA,   0, 410N, 1680E,  85,    0, EX
WP, 19, 1991091606,   , XRQA,   0, 410N, 1710E,  85,    0, EX
WP, 19, 1991091612,   , XRQA,   0, 410N, 1750E,  85,    0, EX
WP, 19, 1991091618,   , XRQA,   0, 410N, 1790E,  85,    0, EX
