WP, 16, 2018072900,   , XRQA,   0, 276N, 1542E,  25,    0, SS
WP, 16, 2018072906,   , XRQA,   0, 274N, 1530E,  25,    0, SS
WP, 16, 2018072912,   , XRQA,   0, 271N, 1522E,  25,    0, SS
WP, 16, 2018072918,   , XRQA,   0, 268N, 1519E,  25,    0, TD
WP, 16, 2018073000,   , XRQA,   0, 265N, 1523E,  25,    0, TD
WP, 16, 2018073006,   , XRQA,   0, 276N, 1526E,  30,    0, TD
WP, 16, 2018073012,   , XRQA,   0, 286N, 1524E,  30,    0, TD
WP, 16, 2018073018,   , XRQA,   0, 295N, 1522E,  30,    0, TD
WP, 16, 2018073100,   , XRQA,   0, 305N, 1519E,  30,    0, TD
WP, 16, 2018073106,   , XRQA,   0, 316N, 1513E,  35,    0, TS
WP, 16, 2018073112,   , XRQA,   0, 328N, 1506E,  40,    0, TS
WP, 16, 2018073118,   , XRQA,   0, 339N, 1500E,  40,    0, TS
WP, 16, 2018080100,   , XRQA,   0, 348N, 1495E,  35,    0, TS
WP, 16, 2018080106,   , XRQA,   0, 353N, 1496E,  30,    0, TD
WP, 16, 2018080112,   , XRQA,   0, 359N, 1502E,  30,    0, TD
WP, 16, 2018080118,   , XRQA,   0, 366N, 1513E,  30,    0, TD
WP, 16, 2018080200,   , XRQA,   0, 372N, 1525E,  35,    0, TS
WP, 16, 2018080206,   , XRQA,   0, 379N, 1540E,  30,    0, TD
WP, 16, 2018080212,   , XRQA,   0, 385N, 1557E,  30,    0, SS
WP, 16, 2018080218,   , XRQA,   0, 392N, 1575E,  30,    0, SS
WP, 16, 2018080300,   , XRQA,   0, 398N, 1597E,  35,    0, EX
WP, 16, 2018080306,   , XRQA,   0, 402N, 1622E,  35,    0, EX
WP, 16, 2018080312,   , XRQA,   0, 407N, 1651E,  35,    0, EX
