WP, 19, 2018080900,   , XRQA,   0, 138N, 1489E,  15,    0, DB
WP, 19, 2018080906,   , XRQA,   0, 142N, 1484E,  15,    0, DB
WP, 19, 2018080912,   , XRQA,   0, 147N, 1479E,  20,    0, DB
WP, 19, 2018080918,   , XRQA,   0, 153N, 1473E,  25,    0, TD
WP, 19, 2018081000,   , XRQA,   0, 161N, 1466E,  30,    0, TD
WP, 19, 2018081006,   , XRQA,   0, 169N, 1458E,  35,    0, TS
WP, 19, 2018081012,   , XRQA,   0, 175N, 1451E,  40,    0, TS
WP, 19, 2018081018,   , XRQA,   0, 180N, 1446E,  45,    0, TS
WP, 19, 2018081100,   , XRQA,   0, 185N, 1442E,  50,    0, TS
WP, 19, 2018081106,   , XRQA,   0, 191N, 1439E,  50,    0, TS
WP, 19, 2018081112,   , XRQA,   0, 199N, 1436E,  55,    0, TS
WP, 19, 2018081118,   , XRQA,   0, 208N, 1432E,  50,    0, TS
WP, 19, 2018081200,   , XRQA,   0, 216N, 1427E,  55,    0, TS
WP, 19, 2018081206,   , XRQA,   0, 227N, 1420E,  65,    0, TY
WP, 19, 2018081212,   , XRQA,   0, 235N, 1414E,  75,    0, TY
WP, 19, 2018081218,   , XRQA,   0, 245N, 1406E,  70,    0, TY
WP, 19, 2018081300,   , XRQA,   0, 255N, 1397E,  65,    0, TY
WP, 19, 2018081306,   , XRQA,   0, 264N, 1386E,  60,    0, TS
WP, 19, 2018081312,   , XRQA,   0, 272N, 1379E,  55,    0, TS
WP, 19, 2018081318,   , XRQA,   0, 283N, 1371E,  50,    0, TS
WP, 19, 2018081400,   , XRQA,   0, 293N, 1361E,  50,    0, TS
WP, 19, 2018081406,   , XRQA,   0, 305N, 1348E,  55,    0, TS
WP, 19, 2018081412,   , XRQA,   0, 314N, 1333E,  50,    0, TS
WP, 19, 2018081418,   , XRQA,   0, 325N, 1317E,  45,    0, TS
WP, 19, 2018081500,   , XRQA,   0, 337N, 1303E,  35,    0, TS
WP, 19, 2018081506,   , XRQA,   0, 348N, 1295E,  30,    0, TD
WP, 19, 2018081512,   , XRQA,   0, 358N, 1294E,  25,    0, TD
WP, 19, 2018081518,   , XRQA,   0, 366N, 1299E,  20,    0, DB
WP, 19, 2018081600,   , XRQA,   0, 374N, 1309E,  20,    0, DB
