WP, 01, 1990010800,   , XRQA,   0,  13N, 1720E,  25,    0, TD
WP, 01, 1990010806,   , XRQA,   0,  23N, 1711E,  25,    0, TD
WP, 01, 1990010812,   , XRQA,   0,  34N, 1701E,  25,    0, TD
WP, 01, 1990010818,   , XRQA,   0,  42N, 1690E,  30,    0, TD
WP, 01, 1990010900,   , XRQA,   0,  48N, 1678E,  25,    0, TD
WP, 01, 1990010906,   , XRQA,   0,  51N, 1664E,  25,    0, TD
WP, 01, 1990010912,   , XRQA,   0,  53N, 1652E,  25,    0, TD
WP, 01, 1990010918,   , XRQA,   0,  55N, 1638E,  30,    0, TD
WP, 01, 1990011000,   , XRQA,   0,  57N, 1624E,  30,    0, TD
WP, 01, 1990011006,   , XRQA,   0,  59N, 1612E,  30,    0, TD
WP, 01, 1990011012,   , XRQA,   0,  61N, 1600E,  30,    0, TD
WP, 01, 1990011018,   , XRQA,   0,  63N, 1589E,  30,    0, TD
WP, 01, 1990011200,   , XRQA,   0,  66N, 1576E,  35,    0, TS
WP, 01, 1990011206,   , XRQA,   0,  68N, 1564E,  40,    0, TS
WP, 01, 1990011212,   , XRQA,   0,  70N, 1552E,  35,    0, TS
WP, 01, 1990011218,   , XRQA,   0,  72N, 1540E,  45,    0, TS
WP, 01, 1990011300,   , XRQA,   0,  74N, 1528E,  45,    0, TS
WP, 01, 1990011306,   , XRQA,   0,  76N, 1521E,  50,    0, TS
WP, 01, 1990011312,   , XRQA,   0,  79N, 1513E,  55,    0, TS
WP, 01, 1990011318,   , XRQA,   0,  85N, 1503E,  60,    0, TS
WP, 01, 1990011400,   , XRQA,   0,  90N, 1492E,  65,    0, TY
WP, 01, 1990011406,   , XRQA,   0,  98N, 1480E,  65,    0, TY
WP, 01, 1990011412,   , XRQA,   0, 111N, 1467E,  70,    0, TY
WP, 01, 1990011418,   , XRQA,   0, 124N, 1458E,  75,    0, TY
WP, 01, 1990011500,   , XRQA,   0, 132N, 1456E,  70,    0, TY
WP, 01, 1990011506,   , XRQA,   0, 139N, 1455E,  75,    0, TY
WP, 01, 1990011512,   , XRQA,   0, 145N, 1455E,  60,    0, TS
WP, 01, 1990011518,   , XRQA,   0, 150N, 1456E,  55,    0, TS
WP, 01, 1990011600,   , XRQA,   0, 155N, 1458E,  60,    0, TS
WP, 01, 1990011606,   , XRQA,   0, 161N, 1460E,  45,    0, TS
WP, 01, 1990011612,   , XRQA,   0, 166N, 1461E,  40,    0, TS
WP, 01, 1990011618,   , XRQA,   0, 171N, 1462E,  35,    0, EX
WP, 01, 1990011700,   , XRQA,   0, 181N, 1462E,  35,    0, EX
WP, 01, 1990011706,   , XRQA,   0, 196N, 1467E,  35,    0, EX
WP, 01, 1990011712,   , XRQA,   0, 211N, 1475E,  35,    0, EX
WP, 01, 1990011718,   , XRQA,   0, 226N, 1490E,  35,    0, EX
WP, 01, 1990011800,   , XRQA,   0, 239N, 1512E,  25,    0, EX
WP, 01, 1990011806,   , XRQA,   0, 256N, 1546E,  25,    0, EX
WP, 01, 1990011812,   , XRQA,   0, 286N, 1594E,  25,    0, EX
WP, 01, 1990011818,   , XRQA,   0, 303N, 1655E,  25,    0, EX
