WP, 20, 1990090800,   , XRQA,   0,  55N, 1705E,  25,    0, TD
WP, 20, 1990090806,   , XRQA,   0,  61N, 1685E,  25,    0, TD
WP, 20, 1990090812,   , XRQA,   0,  68N, 1666E,  25,    0, TD
WP, 20, 1990090818,   , XRQA,   0,  75N, 1648E,  25,    0, TD
WP, 20, 1990090900,   , XRQA,   0,  80N, 1630E,  25,    0, TD
WP, 20, 1990090906,   , XRQA,   0,  82N, 1620E,  25,    0, TD
WP, 20, 1990090912,   , XRQA,   0,  84N, 1612E,  25,    0, TD
WP, 20, 1990090918,   , XRQA,   0,  87N, 1602E,  25,    0, TD
WP, 20, 1990091000,   , XRQA,   0,  90N, 1591E,  25,    0, TD
WP, 20, 1990091006,   , XRQA,   0,  92N, 1580E,  30,    0, TD
WP, 20, 1990091012,   , XRQA,   0,  93N, 1568E,  30,    0, TD
WP, 20, 1990091018,   , XRQA,   0,  93N, 1556E,  30,    0, TD
WP, 20, 1990091100,   , XRQA,   0,  93N, 1544E,  30,    0, TD
WP, 20, 1990091106,   , XRQA,   0,  94N, 1532E,  30,    0, TD
WP, 20, 1990091112,   , XRQA,   0,  96N, 1518E,  30,    0, TD
WP, 20, 1990091118,   , XRQA,   0,  99N, 1504E,  35,    0, TS
WP, 20, 1990091200,   , XRQA,   0, 106N, 1490E,  45,    0, TS
WP, 20, 1990091206,   , XRQA,   0, 114N, 1480E,  50,    0, TS
WP, 20, 1990091212,   , XRQA,   0, 125N, 1472E,  55,    0, TS
WP, 20, 1990091218,   , XRQA,   0, 135N, 1459E,  60,    0, TS
WP, 20, 1990091300,   , XRQA,   0, 144N, 1445E,  50,    0, TS
WP, 20, 1990091306,   , XRQA,   0, 151N, 1434E,  55,    0, TS
WP, 20, 1990091312,   , XRQA,   0, 157N, 1422E,  60,    0, TS
WP, 20, 1990091318,   , XRQA,   0, 164N, 1413E,  70,    0, TY
WP, 20, 1990091400,   , XRQA,   0, 172N, 1403E,  75,    0, TY
WP, 20, 1990091406,   , XRQA,   0, 181N, 1392E,  75,    0, TY
WP, 20, 1990091412,   , XRQA,   0, 188N, 1380E,  80,    0, TY
WP, 20, 1990091418,   , XRQA,   0, 195N, 1367E,  80,    0, TY
WP, 20, 1990091500,   , XRQA,   0, 202N, 1355E,  85,    0, TY
WP, 20, 1990091506,   , XRQA,   0, 210N, 1345E,  90,    0, TY
WP, 20, 1990091512,   , XRQA,   0, 216N, 1335E, 100,    0, TY
WP, 20, 1990091518,   , XRQA,   0, 222N, 1324E, 105,    0, TY
WP, 20, 1990091600,   , XRQA,   0, 227N, 1315E, 140,    0, ST
WP, 20, 1990091606,   , XRQA,   0, 233N, 1307E, 155,    0, ST
WP, 20, 1990091612,   , XRQA,   0, 237N, 1300E, 155,    0, ST
WP, 20, 1990091618,   , XRQA,   0, 242N, 1295E, 150,    0, ST
WP, 20, 1990091700,   , XRQA,   0, 249N, 1291E, 145,    0, ST
WP, 20, 1990091706,   , XRQA,   0, 256N, 1289E, 140,    0, ST
WP, 20, 1990091712,   , XRQA,   0, 262N, 1290E, 120,    0, TY
WP, 20, 1990091718,   , XRQA,   0, 268N, 1292E, 110,    0, TY
WP, 20, 1990091800,   , XRQA,   0, 276N, 1297E, 105,    0, TY
WP, 20, 1990091806,   , XRQA,   0, 285N, 1302E, 100,    0, TY
WP, 20, 1990091812,   , XRQA,   0, 294N, 1310E, 105,    0, TY
WP, 20, 1990091818,   , XRQA,   0, 303N, 1316E, 100,    0, TY
WP, 20, 1990091900,   , XRQA,   0, 312N, 1325E,  95,    0, TY
WP, 20, 1990091906,   , XRQA,   0, 324N, 1339E,  85,    0, TY
WP, 20, 1990091912,   , XRQA,   0, 339N, 1357E,  75,    0, TY
WP, 20, 1990091918,   , XRQA,   0, 360N, 1375E,  55,    0, TS
WP, 20, 1990092000,   , XRQA,   0, 386N, 1404E,  55,    0, EX
WP, 20, 1990092006,   , XRQA,   0, 401N, 1447E,  55,    0, EX
WP, 20, 1990092012,   , XRQA,   0, 413N, 1495E,  65,    0, EX
WP, 20, 1990092018,   , XRQA,   0, 430N, 1543E,  65,    0, EX
WP, 20, 1990092100,   , XRQA,   0, 446N, 1592E,  75,    0, EX
WP, 20, 1990092106,   , XRQA,   0, 457N, 1647E,  75,    0, EX
WP, 20, 1990092112,   , XRQA,   0, 462N, 1689E,  75,    0, EX
WP, 20, 1990092118,   , XRQA,   0, 466N, 1735E,  75,    0, EX
