WP, 02, 1990042700,   , XRQA,   0,  37N, 1522E,  25,    0, TD
WP, 02, 1990042706,   , XRQA,   0,  41N, 1521E,  25,    0, TD
WP, 02, 1990042712,   , XRQA,   0,  47N, 1520E,  25,    0, TD
WP, 02, 1990042718,   , XRQA,   0,  53N, 1520E,  30,    0, TD
WP, 02, 1990042800,   , XRQA,   0,  57N, 1521E,  30,    0, TD
WP, 02, 1990042806,   , XRQA,   0,  63N, 1520E,  30,    0, TD
WP, 02, 1990042812,   , XRQA,   0,  71N, 1518E,  40,    0, TS
WP, 02, 1990042818,   , XRQA,   0,  79N, 1511E,  50,    0, TS
WP, 02, 1990042900,   , XRQA,   0,  85N, 1506E,  50,    0, TS
WP, 02, 1990042906,   , XRQA,   0,  94N, 1505E,  50,    0, TS
WP, 02, 1990042912,   , XRQA,   0, 102N, 1506E,  30,    0, TD
WP, 02, 1990042918,   , XRQA,   0, 107N, 1507E,  35,    0, TS
WP, 02, 1990043000,   , XRQA,   0, 110N, 1508E,  40,    0, TS
WP, 02, 1990043006,   , XRQA,   0, 113N, 1510E,  30,    0, TD
WP, 02, 1990043012,   , XRQA,   0, 114N, 1511E,  30,    0, TD
WP, 02, 1990043018,   , XRQA,   0, 116N, 1515E,  30,    0, TD
WP, 02, 1990050100,   , XRQA,   0, 118N, 1518E,  35,    0, TS
WP, 02, 1990050106,   , XRQA,   0, 122N, 1521E,  40,    0, TS
WP, 02, 1990050112,   , XRQA,   0, 126N, 1524E,  30,    0, TD
WP, 02, 1990050118,   , XRQA,   0, 129N, 1524E,  30,    0, TD
WP, 02, 1990050200,   , XRQA,   0, 131N, 1523E,  30,    0, TD
WP, 02, 1990050206,   , XRQA,   0, 135N, 1520E,  30,    0, TD
WP, 02, 1990050212,   , XRQA,   0, 138N, 1517E,  25,    0, TD
WP, 02, 1990050218,   , XRQA,   0, 142N, 1514E,  25,    0, TD
WP, 02, 1990050300,   , XRQA,   0, 145N, 1509E,  25,    0, TD
WP, 02, 1990050306,   , XRQA,   0, 148N, 1503E,  25,    0, TD
WP, 02, 1990050312,   , XRQA,   0, 151N, 1495E,  25,    0, TD
WP, 02, 1990050318,   , XRQA,   0, 155N, 1488E,  30,    0, TD
WP, 02, 1990050400,   , XRQA,   0, 159N, 1481E,  30,    0, TD
WP, 02, 1990050406,   , XRQA,   0, 162N, 1474E,  30,    0, TD
WP, 02, 1990050412,   , XRQA,   0, 165N, 1466E,  30,    0, TD
WP, 02, 1990050418,   , XRQA,   0, 165N, 1456E,  25,    0, TD
WP, 02, 1990050500,   , XRQA,   0, 164N, 1444E,  25,    0, TD
WP, 02, 1990050506,   , XRQA,   0, 164N, 1432E,  25,    0, TD
WP, 02, 1990050512,   , XRQA,   0, 166N, 1420E,  25,    0, TD
WP, 02, 1990050518,   , XRQA,   0, 169N, 1409E,  25,    0, TD
WP, 02, 1990050600,   , XRQA,   0, 173N, 1397E,  25,    0, TD
WP, 02, 1990050606,   , XRQA,   0, 177N, 1384E,  25,    0, TD
WP, 02, 1990050612,   , XRQA,   0, 186N, 1369E,  25,    0, TD
WP, 02, 1990050618,   , XRQA,   0, 190N, 1355E,  25,    0, TD
WP, 02, 1990050700,   , XRQA,   0, 190N, 1342E,  25,    0, TD
