EP, 07, 1999082306,   , XRQA,   0, 265N, 1676E,  30,    0, TD
EP, 07, 1999082312,   , XRQA,   0, 273N, 1675E,  30,    0, TD
EP, 07, 1999082318,   , XRQA,   0, 278N, 1674E,  25,    0, TD
EP, 07, 1999082400,   , XRQA,   0, 280N, 1671E,  25,    0, TD
EP, 07, 1999082406,   , XRQA,   0, 282N, 1666E,  25,    0, TD
EP, 07, 1999082412,   , XRQA,   0, 292N, 1661E,  30,    0, TD
EP, 07, 1999082418,   , XRQA,   0, 305N, 1656E,  40,    0, TS
EP, 07, 1999082500,   , XRQA,   0, 323N, 1658E,  35,    0, TS
EP, 07, 1999082506,   , XRQA,   0, 341N, 1663E,  30,    0, TD
EP, 07, 1999082512,   , XRQA,   0, 356N, 1665E,  30,    0, TD
EP, 07, 1999082518,   , XRQA,   0, 372N, 1668E,  35,    0, TS
EP, 07, 1999082600,   , XRQA,   0, 389N, 1673E,  30,    0, TD
EP, 07, 1999082606,   , XRQA,   0, 407N, 1685E,  30,    0, TD
EP, 07, 1999082612,   , XRQA,   0, 424N, 1711E,  35,    0, EX
EP, 07, 1999082618,   , XRQA,   0, 435N, 1750E,  35,    0, EX
