WP, 39, 1966121312,   , XRQA,   0,  65N, 1585E,  15,    0, DB
WP, 39, 1966121318,   , XRQA,   0,  68N, 1572E,  15,    0, DB
WP, 39, 1966121400,   , XRQA,   0,  72N, 1557E,  15,    0, DB
WP, 39, 1966121406,   , XRQA,   0,  77N, 1540E,  20,    0, DB
WP, 39, 1966121412,   , XRQA,   0,  81N, 1523E,  20,    0, DB
WP, 39, 1966121418,   , XRQA,   0,  84N, 1505E,  20,    0, DB
WP, 39, 1966121500,   , XRQA,   0,  86N, 1485E,  25,    0, TD
WP, 39, 1966121506,   , XRQA,   0,  88N, 1466E,  25,    0, TD
WP, 39, 1966121512,   , XRQA,   0,  89N, 1445E,  30,    0, TD
WP, 39, 1966121518,   , XRQA,   0,  90N, 1426E,  30,    0, TD
WP, 39, 1966121600,   , XRQA,   0,  90N, 1412E,  35,    0, TS
WP, 39, 1966121606,   , XRQA,   0,  91N, 1398E,  40,    0, TS
WP, 39, 1966121612,   , XRQA,   0,  92N, 1388E,  40,    0, TS
WP, 39, 1966121618,   , XRQA,   0,  93N, 1376E,  35,    0, TS
WP, 39, 1966121700,   , XRQA,   0,  92N, 1361E,  40,    0, TS
WP, 39, 1966121706,   , XRQA,   0,  90N, 1346E,  40,    0, TS
WP, 39, 1966121712,   , XRQA,   0,  87N, 1333E,  45,    0, TS
WP, 39, 1966121718,   , XRQA,   0,  84N, 1320E,  40,    0, TS
WP, 39, 1966121800,   , XRQA,   0,  80N, 1302E,  35,    0, TS
WP, 39, 1966121806,   , XRQA,   0,  76N, 1289E,  40,    0, TS
WP, 39, 1966121812,   , XRQA,   0,  74N, 1277E,  45,    0, TS
WP, 39, 1966121818,   , XRQA,   0,  73N, 1266E,  40,    0, TS
WP, 39, 1966121900,   , XRQA,   0,  74N, 1255E,  30,    0, TD
WP, 39, 1966121906,   , XRQA,   0,  76N, 1242E,  30,    0, TD
WP, 39, 1966121912,   , XRQA,   0,  79N, 1229E,  30,    0, TD
WP, 39, 1966121918,   , XRQA,   0,  84N, 1215E,  35,    0, TS
WP, 39, 1966122000,   , XRQA,   0,  87N, 1200E,  40,    0, TS
WP, 39, 1966122006,   , XRQA,   0,  89N, 1187E,  35,    0, TS
WP, 39, 1966122012,   , XRQA,   0,  90N, 1174E,  30,    0, TD
WP, 39, 1966122018,   , XRQA,   0,  91N, 1161E,  30,    0, TD
WP, 39, 1966122100,   , XRQA,   0,  90N, 1150E,  35,    0, TS
WP, 39, 1966122106,   , XRQA,   0,  88N, 1141E,  30,    0, TD
WP, 39, 1966122112,   , XRQA,   0,  85N, 1134E,  30,    0, TD
WP, 39, 1966122118,   , XRQA,   0,  81N, 1127E,  25,    0, TD
WP, 39, 1966122200,   , XRQA,   0,  76N, 1121E,  20,    0, DB
WP, 39, 1966122206,   , XRQA,   0,  70N, 1117E,  15,    0, DB
WP, 39, 1966122212,   , XRQA,   0,  65N, 1114E,  15,    0, DB
