WP, 27, 1972101800,   , XRQA,   0,  65N, 1752W,  15,    0, DB
WP, 27, 1972101806,   , XRQA,   0,  67N, 1762W,  15,    0, DB
WP, 27, 1972101812,   , XRQA,   0,  69N, 1771W,  20,    0, DB
WP, 27, 1972101818,   , XRQA,   0,  70N, 1779W,  20,    0, DB
WP, 27, 1972101900,   , XRQA,   0,  69N, 1787W,  25,    0, TD
WP, 27, 1972101906,   , XRQA,   0,  67N, 1795W,  30,    0, TD
WP, 27, 1972101912,   , XRQA,   0,  66N, 1799E,  30,    0, TD
WP, 27, 1972101918,   , XRQA,   0,  66N, 1793E,  35,    0, TS
WP, 27, 1972102000,   , XRQA,   0,  67N, 1788E,  40,    0, TS
WP, 27, 1972102006,   , XRQA,   0,  69N, 1783E,  45,    0, TS
WP, 27, 1972102012,   , XRQA,   0,  71N, 1779E,  45,    0, TS
WP, 27, 1972102018,   , XRQA,   0,  75N, 1775E,  40,    0, TS
WP, 27, 1972102100,   , XRQA,   0,  78N, 1769E,  40,    0, TS
WP, 27, 1972102106,   , XRQA,   0,  79N, 1763E,  45,    0, TS
WP, 27, 1972102112,   , XRQA,   0,  79N, 1756E,  50,    0, TS
WP, 27, 1972102118,   , XRQA,   0,  79N, 1749E,  50,    0, TS
WP, 27, 1972102200,   , XRQA,   0,  81N, 1745E,  45,    0, TS
WP, 27, 1972102206,   , XRQA,   0,  82N, 1739E,  50,    0, TS
WP, 27, 1972102212,   , XRQA,   0,  86N, 1734E,  55,    0, TS
WP, 27, 1972102218,   , XRQA,   0,  90N, 1729E,  45,    0, TS
WP, 27, 1972102300,   , XRQA,   0,  93N, 1722E,  40,    0, TS
WP, 27, 1972102306,   , XRQA,   0,  96N, 1714E,  45,    0, TS
WP, 27, 1972102312,   , XRQA,   0, 100N, 1704E,  45,    0, TS
WP, 27, 1972102318,   , XRQA,   0, 105N, 1694E,  50,    0, TS
WP, 27, 1972102400,   , XRQA,   0, 111N, 1683E,  50,    0, TS
WP, 27, 1972102406,   , XRQA,   0, 118N, 1672E,  45,    0, TS
WP, 27, 1972102412,   , XRQA,   0, 121N, 1656E,  40,    0, TS
WP, 27, 1972102418,   , XRQA,   0, 121N, 1640E,  45,    0, TS
WP, 27, 1972102500,   , XRQA,   0, 126N, 1626E,  50,    0, TS
WP, 27, 1972102506,   , XRQA,   0, 134N, 1612E,  50,    0, TS
WP, 27, 1972102512,   , XRQA,   0, 137N, 1593E,  50,    0, TS
WP, 27, 1972102518,   , XRQA,   0, 137N, 1580E,  55,    0, TS
WP, 27, 1972102600,   , XRQA,   0, 139N, 1569E,  65,    0, TY
WP, 27, 1972102606,   , XRQA,   0, 144N, 1554E,  65,    0, TY
WP, 27, 1972102612,   , XRQA,   0, 151N, 1535E,  75,    0, TY
WP, 27, 1972102618,   , XRQA,   0, 159N, 1515E,  85,    0, TY
WP, 27, 1972102700,   , XRQA,   0, 166N, 1496E,  95,    0, TY
WP, 27, 1972102706,   , XRQA,   0, 174N, 1477E, 100,    0, TY
WP, 27, 1972102712,   , XRQA,   0, 183N, 1464E, 105,    0, TY
WP, 27, 1972102718,   , XRQA,   0, 194N, 1452E, 115,    0, TY
WP, 27, 1972102800,   , XRQA,   0, 206N, 1442E, 105,    0, TY
WP, 27, 1972102806,   , XRQA,   0, 218N, 1436E,  95,    0, TY
WP, 27, 1972102812,   , XRQA,   0, 231N, 1432E,  90,    0, TY
WP, 27, 1972102818,   , XRQA,   0, 248N, 1432E, 105,    0, TY
WP, 27, 1972102900,   , XRQA,   0, 272N, 1441E, 100,    0, TY
WP, 27, 1972102906,   , XRQA,   0, 300N, 1456E,  85,    0, TY
WP, 27, 1972102912,   , XRQA,   0, 331N, 1479E,  65,    0, TY
WP, 27, 1972102918,   , XRQA,   0, 369N, 1510E,  65,    0, EX
WP, 27, 1972103000,   , XRQA,   0, 405N, 1550E,  65,    0, EX
WP, 27, 1972103006,   , XRQA,   0, 443N, 1596E,  65,    0, EX
WP, 27, 1972103012,   , XRQA,   0, 465N, 1636E,  65,    0, EX
WP, 27, 1972103018,   , XRQA,   0, 474N, 1674E,  65,    0, EX
WP, 27, 1972103100,   , XRQA,   0, 478N, 1711E,  65,    0, EX
WP, 27, 1972103106,   , XRQA,   0, 481N, 1759E,  65,    0, EX
WP, 27, 1972103112,   , XRQA,   0, 483N, 1790E,  65,    0, EX
WP, 27, 1972103118,   , XRQA,   0, 485N, 1770W,  65,    0, EX
