WP, 26, 1972101218,   , XRQA,   0, 126N, 1756W,  15,    0, DB
WP, 26, 1972101300,   , XRQA,   0, 126N, 1770W,  15,    0, DB
WP, 26, 1972101306,   , XRQA,   0, 127N, 1785W,  15,    0, DB
WP, 26, 1972101312,   , XRQA,   0, 127N, 1799W,  20,    0, DB
WP, 26, 1972101318,   , XRQA,   0, 128N, 1787E,  20,    0, DB
WP, 26, 1972101400,   , XRQA,   0, 130N, 1773E,  25,    0, TD
WP, 26, 1972101406,   , XRQA,   0, 133N, 1760E,  25,    0, TD
WP, 26, 1972101412,   , XRQA,   0, 136N, 1748E,  30,    0, TD
WP, 26, 1972101418,   , XRQA,   0, 138N, 1738E,  30,    0, TD
WP, 26, 1972101500,   , XRQA,   0, 141N, 1729E,  35,    0, TS
WP, 26, 1972101506,   , XRQA,   0, 145N, 1721E,  40,    0, TS
WP, 26, 1972101512,   , XRQA,   0, 150N, 1715E,  40,    0, TS
WP, 26, 1972101518,   , XRQA,   0, 153N, 1708E,  35,    0, TS
WP, 26, 1972101600,   , XRQA,   0, 156N, 1701E,  45,    0, TS
WP, 26, 1972101606,   , XRQA,   0, 157N, 1695E,  45,    0, TS
WP, 26, 1972101612,   , XRQA,   0, 158N, 1688E,  50,    0, TS
WP, 26, 1972101618,   , XRQA,   0, 158N, 1677E,  50,    0, TS
WP, 26, 1972101700,   , XRQA,   0, 158N, 1665E,  55,    0, TS
WP, 26, 1972101706,   , XRQA,   0, 159N, 1655E,  65,    0, TY
WP, 26, 1972101712,   , XRQA,   0, 161N, 1644E,  70,    0, TY
WP, 26, 1972101718,   , XRQA,   0, 164N, 1630E,  80,    0, TY
WP, 26, 1972101800,   , XRQA,   0, 168N, 1618E,  95,    0, TY
WP, 26, 1972101806,   , XRQA,   0, 174N, 1608E, 115,    0, TY
WP, 26, 1972101812,   , XRQA,   0, 181N, 1599E, 120,    0, TY
WP, 26, 1972101818,   , XRQA,   0, 189N, 1590E, 110,    0, TY
WP, 26, 1972101900,   , XRQA,   0, 197N, 1584E,  95,    0, TY
WP, 26, 1972101906,   , XRQA,   0, 208N, 1580E,  85,    0, TY
WP, 26, 1972101912,   , XRQA,   0, 216N, 1579E,  65,    0, TY
WP, 26, 1972101918,   , XRQA,   0, 223N, 1580E,  50,    0, TS
WP, 26, 1972102000,   , XRQA,   0, 230N, 1583E,  40,    0, TS
WP, 26, 1972102006,   , XRQA,   0, 236N, 1587E,  45,    0, TS
WP, 26, 1972102012,   , XRQA,   0, 241N, 1592E,  40,    0, TS
WP, 26, 1972102018,   , XRQA,   0, 245N, 1598E,  35,    0, TS
WP, 26, 1972102100,   , XRQA,   0, 248N, 1605E,  45,    0, TS
WP, 26, 1972102106,   , XRQA,   0, 252N, 1614E,  50,    0, TS
WP, 26, 1972102112,   , XRQA,   0, 255N, 1623E,  50,    0, TS
WP, 26, 1972102118,   , XRQA,   0, 257N, 1629E,  40,    0, TS
WP, 26, 1972102200,   , XRQA,   0, 259N, 1635E,  35,    0, TS
WP, 26, 1972102206,   , XRQA,   0, 258N, 1637E,  30,    0, TD
WP, 26, 1972102212,   , XRQA,   0, 257N, 1638E,  30,    0, TD
WP, 26, 1972102218,   , XRQA,   0, 255N, 1638E,  35,    0, TS
WP, 26, 1972102300,   , XRQA,   0, 252N, 1635E,  40,    0, TS
WP, 26, 1972102306,   , XRQA,   0, 250N, 1625E,  35,    0, TS
WP, 26, 1972102312,   , XRQA,   0, 248N, 1612E,  30,    0, TD
WP, 26, 1972102318,   , XRQA,   0, 245N, 1600E,  30,    0, TD
WP, 26, 1972102400,   , XRQA,   0, 246N, 1583E,  30,    0, TD
WP, 26, 1972102406,   , XRQA,   0, 248N, 1566E,  30,    0, TD
WP, 26, 1972102412,   , XRQA,   0, 245N, 1538E,  30,    0, TD
WP, 26, 1972102418,   , XRQA,   0, 239N, 1513E,  30,    0, TD
WP, 26, 1972102500,   , XRQA,   0, 231N, 1489E,  35,    0, TS
WP, 26, 1972102506,   , XRQA,   0, 218N, 1465E,  35,    0, TS
WP, 26, 1972102512,   , XRQA,   0, 207N, 1442E,  40,    0, TS
WP, 26, 1972102518,   , XRQA,   0, 195N, 1418E,  45,    0, TS
WP, 26, 1972102600,   , XRQA,   0, 185N, 1396E,  50,    0, TS
WP, 26, 1972102606,   , XRQA,   0, 175N, 1376E,  45,    0, TS
WP, 26, 1972102612,   , XRQA,   0, 166N, 1358E,  50,    0, TS
WP, 26, 1972102618,   , XRQA,   0, 157N, 1343E,  45,    0, TS
WP, 26, 1972102700,   , XRQA,   0, 149N, 1330E,  50,    0, TS
WP, 26, 1972102706,   , XRQA,   0, 146N, 1321E,  50,    0, TS
WP, 26, 1972102712,   , XRQA,   0, 142N, 1313E,  45,    0, TS
WP, 26, 1972102718,   , XRQA,   0, 138N, 1307E,  45,    0, TS
WP, 26, 1972102800,   , XRQA,   0, 136N, 1302E,  40,    0, TS
WP, 26, 1972102806,   , XRQA,   0, 133N, 1299E,  50,    0, TS
WP, 26, 1972102812,   , XRQA,   0, 130N, 1295E,  40,    0, TS
WP, 26, 1972102818,   , XRQA,   0, 127N, 1292E,  35,    0, TS
WP, 26, 1972102900,   , XRQA,   0, 125N, 1290E,  30,    0, TD
WP, 26, 1972102906,   , XRQA,   0, 120N, 1289E,  30,    0, TD
WP, 26, 1972102912,   , XRQA,   0, 118N, 1291E,  30,    0, TD
WP, 26, 1972102918,   , XRQA,   0, 119N, 1296E,  35,    0, TS
WP, 26, 1972103000,   , XRQA,   0, 125N, 1311E,  40,    0, TS
WP, 26, 1972103006,   , XRQA,   0, 133N, 1334E,  30,    0, TD
WP, 26, 1972103012,   , XRQA,   0, 151N, 1364E,  30,    0, TD
WP, 26, 1972103018,   , XRQA,   0, 175N, 1402E,  25,    0, TD
WP, 26, 1972103100,   , XRQA,   0, 201N, 1431E,  20,    0, DB
WP, 26, 1972103106,   , XRQA,   0, 225N, 1447E,  20,    0, DB
WP, 26, 1972103112,   , XRQA,   0, 241N, 1455E,  15,    0, DB
WP, 26, 1972103118,   , XRQA,   0, 257N, 1462E,  15,    0, DB
