WP, 65, 1970082400,   , XRQA,   0, 234N, 1696E,  15,    0, DB
WP, 65, 1970082406,   , XRQA,   0, 236N, 1691E,  15,    0, DB
WP, 65, 1970082412,   , XRQA,   0, 239N, 1686E,  20,    0, DB
WP, 65, 1970082418,   , XRQA,   0, 244N, 1681E,  25,    0, TD
WP, 65, 1970082500,   , XRQA,   0, 251N, 1675E,  25,    0, TD
WP, 65, 1970082506,   , XRQA,   0, 259N, 1669E,  30,    0, MD
WP, 65, 1970082512,   , XRQA,   0, 271N, 1675E,  35,    0, MD
WP, 65, 1970082518,   , XRQA,   0, 279N, 1689E,  30,    0, TD
WP, 65, 1970082600,   , XRQA,   0, 290N, 1697E,  35,    0, TS
WP, 65, 1970082606,   , XRQA,   0, 299N, 1700E,  40,    0, TS
WP, 65, 1970082612,   , XRQA,   0, 308N, 1696E,  35,    0, TS
WP, 65, 1970082618,   , XRQA,   0, 315N, 1689E,  35,    0, SS
WP, 65, 1970082700,   , XRQA,   0, 321N, 1680E,  35,    0, SS
WP, 65, 1970082706,   , XRQA,   0, 329N, 1674E,  30,    0, SS
WP, 65, 1970082712,   , XRQA,   0, 337N, 1673E,  30,    0, SS
WP, 65, 1970082718,   , XRQA,   0, 346N, 1671E,  30,    0, SS
WP, 65, 1970082800,   , XRQA,   0, 352N, 1670E,  25,    0, TD
WP, 65, 1970082806,   , XRQA,   0, 359N, 1671E,  25,    0, TD
WP, 65, 1970082812,   , XRQA,   0, 365N, 1674E,  25,    0, TD
WP, 65, 1970082818,   , XRQA,   0, 371N, 1675E,  20,    0, DB
WP, 65, 1970082900,   , XRQA,   0, 376N, 1676E,  20,    0, DB
WP, 65, 1970082906,   , XRQA,   0, 378N, 1678E,  20,    0, DB
WP, 65, 1970082912,   , XRQA,   0, 383N, 1679E,  25,    0, TD
WP, 65, 1970082918,   , XRQA,   0, 387N, 1680E,  25,    0, TD
WP, 65, 1970083000,   , XRQA,   0, 391N, 1681E,  30,    0, TD
WP, 65, 1970083006,   , XRQA,   0, 395N, 1682E,  30,    0, TD
WP, 65, 1970083012,   , XRQA,   0, 400N, 1684E,  35,    0, TS
WP, 65, 1970083018,   , XRQA,   0, 404N, 1686E,  40,    0, TS
WP, 65, 1970083100,   , XRQA,   0, 410N, 1689E,  40,    0, TS
WP, 65, 1970083106,   , XRQA,   0, 419N, 1694E,  35,    0, TS
WP, 65, 1970083112,   , XRQA,   0, 431N, 1703E,  35,    0, SS
WP, 65, 1970083118,   , XRQA,   0, 445N, 1714E,  35,    0, SS
WP, 65, 1970090100,   , XRQA,   0, 455N, 1734E,  30,    0, SS
WP, 65, 1970090106,   , XRQA,   0, 462N, 1755E,  35,    0, EX
WP, 65, 1970090112,   , XRQA,   0, 469N, 1781E,  35,    0, EX
WP, 65, 1970090118,   , XRQA,   0, 474N, 1783W,  35,    0, EX
