EP, 05, 2023080812,   , XRQA,   0, 115N, 1552W, 115,    0, TY
EP, 05, 2023080818,   , XRQA,   0, 115N, 1571W, 125,    0, TY
EP, 05, 2023080900,   , XRQA,   0, 114N, 1592W, 115,    0, TY
EP, 05, 2023080906,   , XRQA,   0, 114N, 1612W, 105,    0, TY
EP, 05, 2023080912,   , XRQA,   0, 114N, 1631W, 120,    0, TY
EP, 05, 2023080918,   , XRQA,   0, 115N, 1651W, 130,    0, ST
EP, 05, 2023081000,   , XRQA,   0, 116N, 1669W, 115,    0, TY
EP, 05, 2023081006,   , XRQA,   0, 119N, 1689W, 105,    0, TY
EP, 05, 2023081012,   , XRQA,   0, 121N, 1707W,  95,    0, TY
EP, 05, 2023081018,   , XRQA,   0, 125N, 1722W, 105,    0, TY
EP, 05, 2023081100,   , XRQA,   0, 129N, 1738W, 120,    0, TY
EP, 05, 2023081106,   , XRQA,   0, 135N, 1755W, 115,    0, TY
EP, 05, 2023081112,   , XRQA,   0, 142N, 1771W, 105,    0, TY
EP, 05, 2023081118,   , XRQA,   0, 148N, 1786W,  95,    0, TY
EP, 05, 2023081200,   , XRQA,   0, 156N, 1799W,  95,    0, TY
EP, 05, 2023081206,   , XRQA,   0, 164N, 1790E,  85,    0, TY
EP, 05, 2023081212,   , XRQA,   0, 171N, 1780E,  80,    0, TY
EP, 05, 2023081218,   , XRQA,   0, 177N, 1768E,  65,    0, TY
EP, 05, 2023081300,   , XRQA,   0, 180N, 1753E,  55,    0, TS
EP, 05, 2023081306,   , XRQA,   0, 181N, 1741E,  45,    0, TS
EP, 05, 2023081312,   , XRQA,   0, 181N, 1727E,  30,    0, TD
EP, 05, 2023081318,   , XRQA,   0, 183N, 1714E,  30,    0, TD
EP, 05, 2023081400,   , XRQA,   0, 187N, 1702E,  30,    0, TD
EP, 05, 2023081406,   , XRQA,   0, 193N, 1692E,  40,    0, TS
EP, 05, 2023081412,   , XRQA,   0, 197N, 1686E,  45,    0, TS
EP, 05, 2023081418,   , XRQA,   0, 202N, 1681E,  40,    0, TS
EP, 05, 2023081500,   , XRQA,   0, 206N, 1678E,  30,    0, TD
EP, 05, 2023081506,   , XRQA,   0, 214N, 1677E,  40,    0, TS
EP, 05, 2023081512,   , XRQA,   0, 226N, 1679E,  35,    0, TS
EP, 05, 2023081518,   , XRQA,   0, 236N, 1682E,  35,    0, TS
EP, 05, 2023081600,   , XRQA,   0, 244N, 1684E,  30,    0, TD
EP, 05, 2023081606,   , XRQA,   0, 254N, 1686E,  30,    0, TD
