WP, 05, 2023071900,   , XRQA,   0, 106N, 1350E,  15,    0, DB
WP, 05, 2023071906,   , XRQA,   0, 109N, 1348E,  15,    0, DB
WP, 05, 2023071912,   , XRQA,   0, 113N, 1345E,  20,    0, DB
WP, 05, 2023071918,   , XRQA,   0, 118N, 1343E,  20,    0, DB
WP, 05, 2023072000,   , XRQA,   0, 122N, 1340E,  25,    0, TD
WP, 05, 2023072006,   , XRQA,   0, 127N, 1337E,  25,    0, TD
WP, 05, 2023072012,   , XRQA,   0, 131N, 1335E,  30,    0, TD
WP, 05, 2023072018,   , XRQA,   0, 136N, 1332E,  35,    0, MD
WP, 05, 2023072100,   , XRQA,   0, 138N, 1328E,  35,    0, TS
WP, 05, 2023072106,   , XRQA,   0, 140N, 1325E,  30,    0, MD
WP, 05, 2023072112,   , XRQA,   0, 142N, 1322E,  35,    0, MD
WP, 05, 2023072118,   , XRQA,   0, 142N, 1318E,  35,    0, MD
WP, 05, 2023072200,   , XRQA,   0, 143N, 1313E,  35,    0, TS
WP, 05, 2023072206,   , XRQA,   0, 144N, 1308E,  35,    0, TS
WP, 05, 2023072212,   , XRQA,   0, 144N, 1303E,  50,    0, TS
WP, 05, 2023072218,   , XRQA,   0, 146N, 1297E,  50,    0, TS
WP, 05, 2023072300,   , XRQA,   0, 148N, 1290E,  55,    0, TS
WP, 05, 2023072306,   , XRQA,   0, 149N, 1283E,  65,    0, TY
WP, 05, 2023072312,   , XRQA,   0, 150N, 1277E,  75,    0, TY
WP, 05, 2023072318,   , XRQA,   0, 151N, 1270E,  80,    0, TY
WP, 05, 2023072400,   , XRQA,   0, 153N, 1266E,  90,    0, TY
WP, 05, 2023072406,   , XRQA,   0, 157N, 1263E, 105,    0, TY
WP, 05, 2023072412,   , XRQA,   0, 165N, 1258E, 125,    0, TY
WP, 05, 2023072418,   , XRQA,   0, 169N, 1251E, 130,    0, ST
WP, 05, 2023072500,   , XRQA,   0, 176N, 1246E, 130,    0, ST
WP, 05, 2023072506,   , XRQA,   0, 183N, 1237E, 115,    0, TY
WP, 05, 2023072512,   , XRQA,   0, 189N, 1227E, 105,    0, TY
WP, 05, 2023072518,   , XRQA,   0, 190N, 1216E, 110,    0, TY
WP, 05, 2023072600,   , XRQA,   0, 189N, 1214E,  95,    0, TY
WP, 05, 2023072606,   , XRQA,   0, 193N, 1210E,  85,    0, TY
WP, 05, 2023072612,   , XRQA,   0, 196N, 1206E,  70,    0, TY
WP, 05, 2023072618,   , XRQA,   0, 200N, 1200E,  80,    0, TY
WP, 05, 2023072700,   , XRQA,   0, 207N, 1197E,  80,    0, TY
WP, 05, 2023072706,   , XRQA,   0, 211N, 1193E,  85,    0, TY
WP, 05, 2023072712,   , XRQA,   0, 218N, 1191E, 110,    0, TY
WP, 05, 2023072715,   , XRQA,   0, 222N, 1191E, 115,    0, TY
WP, 05, 2023072718,   , XRQA,   0, 228N, 1190E, 110,    0, TY
WP, 05, 2023072800,   , XRQA,   0, 242N, 1188E,  85,    0, TY
WP, 05, 2023072806,   , XRQA,   0, 255N, 1183E,  65,    0, TY
WP, 05, 2023072812,   , XRQA,   0, 271N, 1177E,  45,    0, TS
WP, 05, 2023072818,   , XRQA,   0, 287N, 1171E,  30,    0, TD
WP, 05, 2023072900,   , XRQA,   0, 303N, 1158E,  25,    0, TD
WP, 05, 2023072906,   , XRQA,   0, 319N, 1149E,  25,    0, TD
WP, 05, 2023072912,   , XRQA,   0, 330N, 1145E,  25,    0, TD
WP, 05, 2023072918,   , XRQA,   0, 340N, 1143E,  25,    0, TD
WP, 05, 2023073000,   , XRQA,   0, 355N, 1138E,  20,    0, DB
WP, 05, 2023073006,   , XRQA,   0, 360N, 1135E,  20,    0, DB
WP, 05, 2023073012,   , XRQA,   0, 365N, 1129E,  20,    0, DB
WP, 05, 2023073018,   , XRQA,   0, 368N, 1132E,  20,    0, DB
WP, 05, 2023073100,   , XRQA,   0, 374N, 1134E,  20,    0, DB
