WP, 22, 2000082900,   , XRQA,   0, 109N, 1618E,  15,    0, DB
WP, 22, 2000082906,   , XRQA,   0, 109N, 1614E,  15,    0, DB
WP, 22, 2000082912,   , XRQA,   0, 110N, 1611E,  15,    0, DB
WP, 22, 2000082918,   , XRQA,   0, 110N, 1606E,  15,    0, DB
WP, 22, 2000083000,   , XRQA,   0, 111N, 1599E,  15,    0, DB
WP, 22, 2000083006,   , XRQA,   0, 112N, 1593E,  20,    0, DB
WP, 22, 2000083012,   , XRQA,   0, 114N, 1586E,  20,    0, DB
WP, 22, 2000083018,   , XRQA,   0, 116N, 1579E,  20,    0, DB
WP, 22, 2000083100,   , XRQA,   0, 119N, 1575E,  20,    0, DB
WP, 22, 2000083106,   , XRQA,   0, 124N, 1571E,  25,    0, TD
WP, 22, 2000083112,   , XRQA,   0, 129N, 1568E,  25,    0, TD
WP, 22, 2000083118,   , XRQA,   0, 135N, 1569E,  30,    0, TD
WP, 22, 2000090100,   , XRQA,   0, 142N, 1570E,  30,    0, TD
WP, 22, 2000090106,   , XRQA,   0, 148N, 1570E,  30,    0, TD
WP, 22, 2000090112,   , XRQA,   0, 155N, 1571E,  40,    0, TS
WP, 22, 2000090118,   , XRQA,   0, 159N, 1575E,  35,    0, TS
WP, 22, 2000090200,   , XRQA,   0, 161N, 1577E,  40,    0, TS
WP, 22, 2000090206,   , XRQA,   0, 163N, 1572E,  45,    0, TS
WP, 22, 2000090212,   , XRQA,   0, 161N, 1564E,  40,    0, TS
WP, 22, 2000090218,   , XRQA,   0, 160N, 1556E,  50,    0, TS
WP, 22, 2000090300,   , XRQA,   0, 158N, 1549E,  65,    0, TY
WP, 22, 2000090306,   , XRQA,   0, 159N, 1542E,  70,    0, TY
WP, 22, 2000090312,   , XRQA,   0, 159N, 1535E,  70,    0, TY
WP, 22, 2000090318,   , XRQA,   0, 160N, 1526E,  70,    0, TY
WP, 22, 2000090400,   , XRQA,   0, 160N, 1517E,  65,    0, TY
WP, 22, 2000090406,   , XRQA,   0, 161N, 1508E,  70,    0, TY
WP, 22, 2000090412,   , XRQA,   0, 162N, 1499E,  55,    0, TS
WP, 22, 2000090418,   , XRQA,   0, 161N, 1490E,  50,    0, TS
WP, 22, 2000090500,   , XRQA,   0, 160N, 1481E,  40,    0, TS
WP, 22, 2000090506,   , XRQA,   0, 158N, 1477E,  30,    0, TD
WP, 22, 2000090512,   , XRQA,   0, 150N, 1476E,  35,    0, TS
WP, 22, 2000090518,   , XRQA,   0, 143N, 1478E,  45,    0, TS
WP, 22, 2000090600,   , XRQA,   0, 136N, 1479E,  55,    0, TS
WP, 22, 2000090606,   , XRQA,   0, 138N, 1475E,  45,    0, TS
WP, 22, 2000090612,   , XRQA,   0, 142N, 1472E,  45,    0, TS
WP, 22, 2000090618,   , XRQA,   0, 148N, 1468E,  45,    0, TS
WP, 22, 2000090700,   , XRQA,   0, 158N, 1459E,  50,    0, TS
WP, 22, 2000090706,   , XRQA,   0, 167N, 1448E,  45,    0, TS
WP, 22, 2000090712,   , XRQA,   0, 173N, 1436E,  45,    0, TS
WP, 22, 2000090718,   , XRQA,   0, 178N, 1422E,  40,    0, TS
WP, 22, 2000090800,   , XRQA,   0, 183N, 1412E,  55,    0, TS
WP, 22, 2000090806,   , XRQA,   0, 190N, 1404E,  65,    0, TY
WP, 22, 2000090812,   , XRQA,   0, 197N, 1395E,  70,    0, TY
